0.49,0.03,0.15,-7.21,-1.50,-0.43|0.06,-0.23,0.95,-3.00,1.76,0.07|0.17,0.17,0.42,-5.85,-4.17,-5.39
0.49,0.03,0.15,-8.11,-2.27,-0.92|0.07,-0.23,0.94,-2.60,3.00,-0.47|0.17,0.19,0.42,-5.56,-4.23,-9.98
0.49,0.03,0.15,-8.12,-2.01,-0.83|0.07,-0.23,0.94,-2.31,4.01,-1.34|0.17,0.19,0.42,-4.79,-4.64,-6.74
0.50,0.02,0.15,-8.26,-0.57,-1.02|0.08,-0.24,0.95,-2.28,3.64,-0.32|0.18,0.19,0.42,-3.35,-4.39,-5.71
0.49,0.02,0.15,-7.72,-3.15,-1.47|0.07,-0.24,0.95,-3.72,3.65,-2.34|0.18,0.20,0.42,-4.85,-3.92,-5.08
0.49,0.03,0.15,-7.49,-2.32,-1.53|0.07,-0.23,0.95,-3.92,3.44,-3.57|0.17,0.19,0.42,-5.27,-4.07,0.37
0.49,0.03,0.15,-6.88,-2.50,-1.69|0.07,-0.23,0.95,-3.45,2.80,-3.27|0.17,0.19,0.42,-4.24,-4.07,-2.11
0.49,0.03,0.15,-6.65,-3.32,-1.37|0.07,-0.23,0.95,-2.85,2.87,-2.62|0.17,0.19,0.42,-3.26,-3.37,-0.24
0.49,0.02,0.14,-5.85,-1.77,-1.46|0.07,-0.23,0.95,-2.21,2.76,-0.47|0.17,0.18,0.41,-4.00,-3.69,-1.85
0.49,0.03,0.15,-7.30,-2.82,-1.57|0.08,-0.23,0.95,-1.73,3.32,-0.92|0.17,0.18,0.43,-5.61,-3.48,-2.76
0.49,0.03,0.15,-8.70,-2.34,-1.71|0.08,-0.24,0.95,-1.15,3.65,-0.73|0.17,0.18,0.42,-5.47,-4.05,-3.40
0.49,0.03,0.15,-10.50,-2.61,-2.50|0.08,-0.24,0.94,-1.85,4.27,-1.27|0.17,0.18,0.42,-5.76,-4.15,-3.80
0.50,0.02,0.15,-12.56,-3.05,-3.17|0.08,-0.25,0.94,-3.57,6.98,-4.75|0.16,0.18,0.42,-6.25,-5.22,-4.84
0.49,0.02,0.15,-15.02,-3.45,-3.17|0.08,-0.25,0.94,-4.61,8.37,-9.02|0.17,0.18,0.43,-8.11,-6.26,-7.65
0.49,0.02,0.15,-14.40,-1.23,-3.64|0.08,-0.24,0.94,-5.46,8.76,-11.08|0.16,0.18,0.42,-7.76,-7.17,-11.26
0.50,0.02,0.14,-14.87,-1.88,-3.27|0.07,-0.23,0.95,-5.89,9.28,-12.37|0.16,0.20,0.41,-7.34,-7.62,-11.69
0.49,0.02,0.15,-16.01,-4.27,-3.95|0.07,-0.22,0.95,-5.18,9.08,-12.13|0.17,0.20,0.42,-7.67,-7.70,-10.11
0.49,0.02,0.14,-16.06,-2.99,-4.09|0.07,-0.22,0.95,-3.50,8.50,-10.52|0.17,0.18,0.42,-6.98,-7.69,-10.67
0.49,0.02,0.15,-15.42,-2.49,-4.41|0.07,-0.23,0.95,-2.43,8.40,-9.70|0.17,0.19,0.42,-7.21,-8.17,-10.95
