0.49,0.00,0.02,40.67,-2.05,-5.10|0.07,0.13,1.00,16.39,15.80,29.20|0.04,-0.32,0.31,8.64,-36.78,46.61
0.50,0.00,0.03,31.81,-1.82,-5.15|0.06,0.15,1.00,19.27,18.60,38.79|0.04,-0.33,0.34,3.63,-26.66,36.33
0.51,-0.00,0.03,24.69,-1.79,-4.68|0.08,0.14,1.00,18.30,14.58,27.91|0.04,-0.35,0.35,3.22,-22.25,30.89
0.50,0.01,0.04,16.56,-4.08,-3.59|0.09,0.14,1.00,17.32,11.15,19.22|0.04,-0.34,0.33,3.09,-10.61,14.56
0.51,0.03,0.04,9.09,-0.61,-1.82|0.10,0.15,1.00,14.56,8.23,15.14|0.03,-0.35,0.37,0.65,-3.15,5.97
0.51,0.06,0.02,-0.31,-5.37,-2.49|0.11,0.15,1.00,9.52,6.12,5.92|0.04,-0.33,0.37,-3.55,2.32,-6.21
0.53,0.05,0.03,-3.37,-6.74,-6.01|0.13,0.19,1.00,1.93,6.18,4.13|0.02,-0.34,0.37,-6.43,0.87,-7.55
0.49,0.06,0.02,-9.11,-7.44,-6.36|0.12,0.20,1.00,-8.27,9.30,9.72|0.01,-0.32,0.38,-8.48,0.24,-14.83
0.50,0.01,0.04,-1.48,-6.99,-7.44|0.10,0.17,1.00,-13.53,10.38,15.53|0.02,-0.28,0.34,-15.21,-1.06,-8.80
0.51,-0.01,0.03,7.71,-0.78,-3.03|0.10,0.16,1.00,-16.86,9.47,9.42|0.02,-0.27,0.38,-20.72,-4.27,-5.96
0.52,0.03,0.03,6.26,2.44,1.21|0.08,0.22,1.00,-24.99,6.15,9.09|0.03,-0.28,0.43,-22.62,-15.07,14.60
0.49,0.02,0.02,1.85,2.21,-0.11|0.08,0.18,1.00,-27.25,1.98,10.81|0.05,-0.29,0.37,-22.51,-17.91,34.18
0.49,0.02,0.03,-1.45,2.30,-1.67|0.08,0.15,1.00,-26.00,1.68,2.96|0.06,-0.34,0.32,-20.82,2.76,16.76
0.50,-0.00,0.03,-1.02,0.66,-1.66|0.09,0.14,1.00,-17.27,-0.98,-2.96|0.05,-0.34,0.34,-15.44,18.53,-11.78
0.51,0.00,0.03,-3.09,-1.85,-1.72|0.08,0.17,1.00,-9.56,3.18,-0.47|0.05,-0.30,0.37,-8.33,7.71,-3.50
0.50,0.00,0.02,-4.69,-0.92,-1.02|0.07,0.15,1.00,-0.21,4.10,4.61|0.05,-0.32,0.36,-4.35,-2.83,9.95
0.50,-0.01,0.03,-3.16,0.34,-1.05|0.06,0.16,1.00,3.82,4.23,-0.08|0.07,-0.32,0.35,-2.56,4.18,-1.21
0.50,-0.00,0.03,-2.66,-1.47,-0.40|0.07,0.17,1.00,6.13,3.63,0.52|0.07,-0.31,0.36,-1.81,0.34,-1.42
0.51,-0.00,0.03,-3.50,0.74,-0.94|0.07,0.17,1.00,5.37,3.18,2.89|0.06,-0.31,0.37,-1.10,-4.01,3.02
0.50,-0.00,0.03,-3.98,1.05,-0.21|0.07,0.15,1.00,6.11,2.53,1.21|0.05,-0.34,0.35,1.02,-4.10,0.88
0.51,-0.00,0.03,-2.98,0.15,-0.27|0.07,0.16,1.00,6.63,3.88,0.98|0.06,-0.33,0.35,3.34,-4.56,-2.06
0.50,-0.00,0.03,-4.61,-1.08,0.04|0.07,0.15,1.00,6.84,3.34,1.87|0.06,-0.31,0.35,0.83,-6.53,1.37
0.51,-0.01,0.03,-4.25,-0.73,-0.82|0.06,0.16,1.00,3.34,3.24,-0.67|0.05,-0.33,0.36,0.01,-4.44,0.45
0.50,-0.01,0.03,-4.38,-2.15,-0.55|0.06,0.17,1.00,0.41,2.25,-0.47|0.05,-0.32,0.36,-2.08,-4.77,0.68
0.50,-0.01,0.03,-4.41,-0.35,-0.66|0.07,0.16,1.00,-2.88,2.24,2.27|0.05,-0.32,0.36,-4.27,-2.72,0.60
0.50,-0.00,0.04,-5.12,-1.80,-0.79|0.06,0.16,1.00,-4.59,2.63,-0.50|0.06,-0.31,0.36,-6.44,-2.95,3.52
