0.54,-0.01,0.05,-17.37,15.48,0.08|0.07,0.28,1.00,-36.28,28.02,66.07|0.04,-0.42,0.42,44.17,33.89,-50.66
0.65,-0.08,0.14,-20.87,-39.00,0.72|0.07,0.21,1.00,-37.18,32.56,115.53|0.16,-0.38,0.34,22.69,11.12,-69.87
0.50,-0.04,0.07,-13.72,-11.92,1.27|0.09,0.03,1.00,-12.49,-13.96,76.29|0.06,-0.29,0.22,-3.98,14.50,-108.27
0.45,0.03,0.09,-5.48,-1.65,-2.82|0.05,-0.07,1.00,13.77,-33.89,-21.34|0.01,-0.13,0.30,-30.18,-18.17,-50.93
0.48,-0.04,-0.01,-3.66,8.61,-0.73|0.04,0.05,1.00,29.42,-36.92,-91.92|-0.00,-0.30,0.42,-35.73,-47.53,20.72
0.48,-0.01,-0.03,-1.19,5.19,-3.07|0.05,0.31,1.00,26.79,-21.98,-50.96|0.02,-0.38,0.43,-13.91,-49.79,19.52
0.58,-0.03,0.08,-12.84,-3.90,-2.87|0.08,0.13,1.00,29.53,-16.28,-12.38|0.07,-0.29,0.30,-20.56,-17.91,-6.56
0.47,-0.01,0.05,-11.70,27.02,-2.45|0.06,0.15,1.00,28.34,2.15,-15.39|0.10,-0.24,0.39,-42.57,-1.42,10.39
0.49,-0.04,0.05,-5.92,21.95,-2.08|0.04,0.19,1.00,25.44,14.06,21.67|0.06,-0.27,0.36,-48.01,22.89,-5.55
0.55,-0.04,0.11,-3.33,24.52,-2.51|0.04,0.12,1.00,24.02,25.18,31.57|0.06,-0.21,0.34,-64.90,22.82,8.87
0.47,0.00,0.07,-5.14,19.64,-3.79|0.06,0.16,1.00,14.48,13.66,2.35|0.09,-0.25,0.42,-67.88,24.87,37.09
0.52,-0.06,0.11,2.09,31.19,-2.39|0.06,0.18,1.00,2.24,12.15,7.42|0.01,-0.17,0.37,-64.18,16.54,40.82
0.48,-0.03,0.08,4.23,15.85,-1.84|0.06,0.20,1.00,-2.98,11.96,20.60|0.06,-0.43,0.33,-54.90,-38.12,108.01
0.49,-0.02,0.09,2.57,21.37,3.50|0.04,0.15,1.00,-10.21,10.61,21.50|0.09,-0.41,0.29,-7.61,-34.18,64.60
0.48,-0.04,0.09,8.57,10.75,2.79|0.06,0.14,1.00,-9.99,15.31,-0.66|0.12,-0.47,0.25,20.20,-46.88,37.03
0.52,-0.02,0.14,6.46,9.15,4.14|0.05,0.16,1.00,-5.24,17.39,-9.73|0.09,-0.41,0.29,38.69,-52.50,13.69
0.48,-0.02,0.08,2.82,11.92,5.97|0.06,0.20,1.00,-13.98,18.81,-15.53|0.09,-0.43,0.39,53.80,-67.66,2.08
0.51,-0.05,0.15,-0.73,-6.53,6.51|0.07,0.18,1.00,-14.66,16.14,-11.17|0.08,-0.33,0.33,57.78,-70.81,-2.06
0.50,-0.04,0.15,5.37,-6.24,5.11|0.05,0.18,1.00,-19.76,20.60,3.15|0.09,-0.32,0.39,50.51,-54.03,-10.41
0.53,-0.04,0.14,4.92,-0.34,6.06|0.06,0.23,1.00,-22.72,12.44,-1.18|0.08,-0.31,0.37,33.91,-47.38,13.50
0.47,-0.06,0.08,9.37,-9.81,6.10|0.06,0.22,1.00,-29.31,4.27,-0.70|0.07,-0.30,0.38,25.77,-34.24,11.60
0.50,-0.05,0.12,12.08,-20.90,4.19|0.04,0.24,1.00,-27.80,-3.43,22.51|0.05,-0.32,0.31,17.28,-24.14,16.43
0.51,-0.04,0.10,14.07,-21.75,0.14|0.03,0.18,1.00,-29.49,-2.63,36.21|0.06,-0.33,0.37,14.12,-7.25,8.74
0.50,-0.03,0.14,15.07,-24.61,-3.41|0.05,0.13,1.00,-22.24,-11.32,20.56|0.08,-0.29,0.34,2.85,-9.45,13.12
0.51,-0.05,0.13,15.18,-13.05,-1.92|0.05,0.11,1.00,-8.94,-10.38,5.85|0.08,-0.27,0.38,-2.99,-28.55,61.19
0.52,-0.04,0.11,6.19,-1.63,-0.96|0.04,0.13,1.00,2.97,-11.87,0.21|0.09,-0.40,0.31,-6.64,-17.66,50.21
0.48,-0.04,0.08,0.22,-2.01,-4.08|0.03,0.10,1.00,12.30,-17.17,-23.11|0.11,-0.39,0.28,-8.36,-0.19,19.27
0.47,-0.04,0.08,-3.79,-5.63,-5.42|0.04,0.15,1.00,18.06,-16.27,-43.71|0.10,-0.37,0.28,-9.08,10.73,-6.37
0.49,-0.06,0.08,-1.66,-7.87,-6.60|0.03,0.16,1.00,23.54,-8.68,-23.63|0.08,-0.33,0.33,-13.17,9.23,-4.68
0.50,-0.07,0.08,0.22,-12.21,-7.02|0.04,0.16,1.00,23.32,-1.99,-13.95|0.11,-0.30,0.38,-21.56,4.89,3.98
0.49,-0.06,0.09,0.76,-12.13,-5.51|0.02,0.16,1.00,20.53,1.53,-7.79|0.11,-0.29,0.34,-32.92,12.09,6.52
0.49,-0.04,0.06,-5.64,-13.11,-4.13|0.02,0.16,1.00,12.00,-0.99,-13.80|0.08,-0.31,0.31,-36.85,26.43,-1.10
0.52,-0.03,0.08,-7.28,-12.09,-7.59|0.03,0.20,1.00,-0.51,-2.21,-3.43|0.05,-0.34,0.35,-29.94,34.88,-7.92
0.48,-0.03,0.06,-1.77,-15.80,-8.57|0.04,0.15,1.00,-7.39,-1.75,0.56|0.04,-0.32,0.34,-23.31,37.98,-13.46
0.48,0.01,0.05,-4.68,-20.61,-7.00|0.06,0.15,1.00,-10.91,2.73,-0.31|0.03,-0.29,0.37,-14.29,30.24,-2.31
0.51,-0.01,0.06,-5.79,-14.05,-10.52|0.07,0.19,1.00,-12.41,10.34,14.13|0.02,-0.32,0.35,0.30,21.85,1.37
0.51,0.00,0.06,-1.95,-11.85,-8.76|0.10,0.19,1.00,-15.08,17.08,28.69|0.01,-0.36,0.36,12.51,0.63,20.64
0.51,0.02,0.06,-3.08,-11.03,-5.63|0.12,0.18,1.00,-17.12,10.82,23.75|-0.00,-0.35,0.36,24.63,7.89,-5.92
