0.48,-0.06,-0.07,-5.69,-2.52,-2.23|0.02,-0.29,0.92,7.47,0.08,4.41|0.17,0.17,0.43,0.39,-3.73,2.97
0.50,-0.05,-0.06,-7.37,-3.73,-2.66|0.02,-0.29,0.92,9.56,2.64,-3.56|0.16,0.17,0.44,-2.73,-5.66,6.38
0.50,-0.05,-0.06,-7.86,-2.51,-3.14|0.02,-0.28,0.93,9.73,4.58,-7.50|0.16,0.16,0.43,-5.44,-7.98,0.91
0.49,-0.05,-0.06,-8.34,-1.66,-2.15|0.03,-0.27,0.93,5.99,4.25,-4.50|0.16,0.17,0.43,-6.38,-9.08,-3.88
0.50,-0.05,-0.07,-7.96,-1.16,-1.27|0.03,-0.27,0.93,0.60,4.42,-1.08|0.16,0.17,0.42,-7.13,-7.20,-3.49
0.49,-0.05,-0.06,-6.12,0.16,-1.43|0.03,-0.27,0.93,-4.83,5.16,0.11|0.16,0.18,0.42,-9.36,-4.96,-2.77
0.50,-0.06,-0.06,-4.97,1.11,-1.89|0.03,-0.28,0.93,-9.40,5.55,0.53|0.16,0.18,0.42,-10.50,-2.17,0.34
0.49,-0.05,-0.06,-3.83,2.41,-1.82|0.02,-0.27,0.93,-11.90,5.97,1.20|0.16,0.17,0.42,-10.85,-0.86,0.08
0.49,-0.05,-0.06,-4.04,0.67,-1.28|0.02,-0.28,0.93,-12.45,6.35,2.01|0.16,0.18,0.43,-10.64,-0.33,-0.53
0.49,-0.05,-0.06,-5.43,-1.85,-1.40|0.02,-0.28,0.93,-10.70,7.56,-2.24|0.17,0.18,0.43,-9.44,-0.66,-0.28
0.50,-0.05,-0.06,-6.91,-5.65,-0.50|0.02,-0.28,0.93,-6.95,6.36,-5.34|0.16,0.18,0.43,-7.32,-0.63,2.79
0.49,-0.05,-0.07,-6.85,-6.63,0.41|0.02,-0.28,0.93,-3.02,3.99,-3.63|0.16,0.17,0.42,-5.76,-0.96,-1.94
0.49,-0.04,-0.06,-6.70,-4.31,0.44|0.03,-0.27,0.92,-2.11,4.34,-6.31|0.16,0.19,0.42,-4.65,-1.11,4.13
0.50,-0.04,-0.07,-8.89,-4.32,0.80|0.03,-0.27,0.93,-1.44,4.08,-6.90|0.16,0.16,0.44,-2.98,-0.77,7.19
0.49,-0.05,-0.07,-8.67,-1.79,0.69|0.03,-0.28,0.93,-0.41,0.91,-3.10|0.17,0.15,0.44,1.06,-3.67,-2.02
0.49,-0.06,-0.07,-7.22,-0.70,0.59|0.02,-0.27,0.93,-0.41,-0.73,-2.32|0.16,0.17,0.42,3.40,-5.12,-4.21
0.50,-0.05,-0.07,-5.55,0.15,0.64|0.03,-0.27,0.93,-1.32,0.80,-3.11|0.16,0.18,0.43,2.20,-4.41,2.02
0.50,-0.05,-0.06,-5.63,1.99,0.56|0.03,-0.26,0.93,-3.66,1.78,-0.02|0.16,0.16,0.43,-1.47,-5.67,-0.72
0.49,-0.05,-0.06,-5.38,1.19,0.46|0.03,-0.28,0.92,-4.03,1.98,3.58|0.16,0.17,0.43,-3.12,-5.14,-3.58
0.49,-0.05,-0.06,-5.05,0.77,0.18|0.02,-0.28,0.93,-3.69,2.73,0.13|0.16,0.17,0.43,-3.10,-3.79,0.53
0.49,-0.05,-0.06,-4.11,-0.77,-0.42|0.03,-0.27,0.92,-2.33,1.95,1.73|0.16,0.17,0.43,-5.65,-2.85,-1.22
0.49,-0.05,-0.07,-4.86,-1.71,-0.12|0.02,-0.28,0.93,-1.76,2.77,0.83|0.16,0.18,0.42,-7.80,-1.42,0.39
