0.13,0.05,0.05,-4.32,-3.90,2.35|0.10,0.01,0.38,-7.74,2.21,0.24|0.13,0.18,0.43,-4.50,-1.71,3.40
0.13,0.04,0.13,-6.53,-2.92,2.56|0.00,0.01,0.38,-3.89,1.53,0.52|0.12,0.18,0.44,-3.88,-2.58,2.31
0.13,0.04,0.06,-7.79,-3.91,0.11|0.10,0.00,0.38,-3.89,0.73,0.76|0.13,0.18,0.43,-3.80,-3.03,1.05
0.13,0.04,0.05,-3.91,-3.42,0.69|0.00,0.00,0.38,-5.55,4.05,0.61|0.13,0.19,0.43,-4.00,-2.27,1.19
0.13,0.04,0.05,-5.34,-3.89,3.98|0.00,0.01,0.38,-5.24,2.20,1.13|0.13,0.18,0.43,-5.03,-1.44,3.75
0.13,0.04,0.05,-7.69,-1.76,0.49|0.00,0.00,0.38,-7.23,2.09,0.37|0.13,0.19,0.44,-4.47,-1.70,2.13
0.13,0.05,0.13,-3.91,-2.79,2.93|0.00,0.00,0.38,-3.82,0.02,1.95|0.13,0.18,0.44,-3.29,-2.82,2.30
0.13,0.04,0.05,-3.86,-3.57,0.24|0.00,0.01,0.38,-3.56,1.11,0.73|0.13,0.19,0.43,-3.82,-2.06,0.93
0.13,0.05,0.05,-7.57,-3.66,2.51|0.00,0.01,0.38,-3.91,0.49,0.09|0.13,0.18,0.43,-3.59,-1.95,2.40
0.13,0.04,0.13,-7.82,-3.88,2.20|0.00,0.00,0.38,-3.74,0.50,0.26|0.13,0.19,0.43,-3.56,-1.61,2.25
0.13,0.05,0.05,-7.50,-3.54,1.59|0.00,0.01,0.43,-3.62,1.96,1.11|0.13,0.18,0.43,-3.36,-1.75,1.76
0.13,0.04,0.13,-7.82,-3.66,0.99|0.00,0.01,0.43,-3.86,0.21,1.25|0.13,0.19,0.43,-3.52,-1.80,1.33
0.13,0.04,0.13,-7.68,-2.93,1.28|0.00,0.01,0.43,-3.90,0.02,0.98|0.13,0.18,0.43,-3.10,-2.23,1.05
0.13,0.04,0.05,-7.56,-2.72,0.56|0.00,0.00,0.38,-3.16,0.98,0.04|0.13,0.18,0.43,-3.11,-2.42,0.47
0.13,0.00,0.06,-7.02,0.05,-0.47|0.00,0.02,0.38,-6.95,1.13,0.49|0.13,0.19,0.43,-4.12,-2.14,-0.14
0.13,0.05,0.06,-7.79,-3.89,0.62|0.00,0.00,0.43,-3.63,2.02,0.53|0.13,0.18,0.43,-3.47,-1.96,0.52
0.00,0.05,0.06,-7.82,-1.94,0.58|0.10,0.01,0.38,-3.91,0.98,0.58|0.13,0.18,0.43,-3.79,-2.18,0.79
0.12,0.03,0.05,-7.57,-2.93,-0.85|0.10,0.00,0.38,-3.83,1.05,1.02|0.13,0.18,0.43,-3.53,-2.69,-1.02
0.12,0.04,0.06,-7.69,-2.90,0.10|0.00,0.00,0.38,-4.15,0.79,0.19|0.13,0.19,0.43,-3.76,-2.71,-0.18
