0.44,-0.03,0.05,-19.80,0.11,0.76|-0.03,-0.56,1.00,95.69,53.86,-22.49|0.12,0.40,-0.02,99.21,-101.53,55.00
0.51,-0.11,0.08,-4.56,-3.08,-4.95|-0.04,-0.62,0.83,17.53,19.26,62.71|0.06,0.33,0.04,32.92,-86.16,65.24
0.49,-0.02,0.01,29.67,0.31,8.49|-0.02,-0.70,0.59,-47.89,37.95,37.89|-0.00,0.27,0.10,-78.31,-40.62,56.05
0.41,-0.01,0.00,18.18,-27.50,5.24|-0.06,-0.66,0.15,-128.60,38.04,23.93|-0.03,0.14,0.20,-128.71,-6.83,51.78
0.43,-0.00,0.04,11.18,-17.03,8.26|-0.04,-0.56,0.31,-195.27,58.20,-9.15|-0.00,0.35,0.32,-153.60,26.24,14.73
0.48,-0.01,0.04,-0.71,-20.92,9.60|-0.05,-0.59,0.40,-205.29,62.74,-18.87|0.04,0.41,0.49,-167.44,87.53,24.14
0.53,0.04,0.04,-0.83,-7.90,-3.34|0.01,-0.53,0.60,-174.92,19.40,-52.18|0.12,0.52,0.47,-144.79,90.21,0.13
0.59,-0.00,0.12,-5.71,-21.45,-5.33|-0.04,-0.42,0.70,-53.25,-28.14,-69.96|0.13,0.76,0.38,-66.18,126.26,-51.81
0.65,-0.01,0.09,-9.58,0.21,9.98|-0.05,-0.30,0.79,73.31,-44.07,-49.79|0.29,0.76,0.13,19.72,109.77,-72.11
0.56,0.01,0.07,-21.47,9.38,0.81|0.00,-0.29,0.92,185.20,-53.35,-46.49|0.41,0.85,0.01,99.34,33.59,-67.92
0.46,-0.04,0.04,-18.29,2.09,1.45|0.04,-0.39,1.00,189.90,18.31,-19.61|0.35,0.62,-0.25,170.73,-28.42,-17.49
0.48,-0.00,0.06,-5.87,11.03,-9.06|-0.01,-0.30,0.97,156.63,50.27,-13.42|0.19,0.57,-0.12,198.02,-82.04,40.77
0.48,-0.02,0.04,-11.04,2.35,-10.53|-0.06,-0.54,0.93,90.15,85.59,-33.46|0.12,0.39,-0.02,159.18,-94.86,78.55
0.47,-0.03,-0.01,-3.02,-7.53,-7.19|-0.06,-0.75,0.77,37.81,69.53,93.63|0.04,0.32,0.06,71.01,-80.86,64.20
0.54,-0.03,0.04,-5.09,0.58,1.10|0.07,-0.75,0.46,-72.90,58.18,65.22|-0.04,0.27,0.19,-24.55,-48.83,53.88
0.43,-0.05,0.01,-0.74,-0.28,-0.82|0.06,-0.77,0.19,-167.07,44.15,37.29|-0.00,0.22,0.31,-120.19,-11.67,66.75
0.46,-0.02,0.09,56.67,-207.15,0.37|0.10,-0.58,0.39,-236.76,39.79,-40.03|-0.02,0.20,0.31,-179.34,35.33,50.11
0.51,0.00,0.15,6.08,-5.91,1.08|0.01,-0.48,0.51,-220.37,-14.37,-50.69|0.08,0.40,0.42,-158.58,75.02,17.69
0.55,0.05,0.12,3.48,-0.59,-6.90|-0.02,-0.41,0.57,-144.25,-35.02,-53.45|0.13,0.63,0.50,-149.90,101.60,5.87
0.55,-0.07,0.06,6.62,-3.15,4.48|-0.05,-0.37,0.64,-9.24,-63.13,-51.36|0.16,0.82,0.38,-59.06,135.31,-41.24
0.66,0.02,0.06,-19.87,-46.11,14.96|-0.06,-0.38,0.73,127.73,-81.60,-66.48|0.28,0.82,0.19,47.42,116.60,-69.22
0.57,0.03,0.10,-18.92,-16.21,6.66|0.00,-0.19,0.80,234.24,-41.28,-6.34|0.51,0.74,-0.05,103.74,50.18,-64.82
0.44,-0.04,0.05,-17.32,5.08,-1.32|0.01,-0.57,0.95,237.42,-2.73,-33.40|0.43,0.64,-0.20,176.31,-18.25,24.93
0.42,-0.02,0.03,-9.76,10.17,0.73|-0.04,-0.46,0.97,163.51,116.07,-92.28|0.20,0.43,-0.16,175.26,-97.28,37.44
0.42,-0.03,-0.02,-3.95,-1.19,-8.27|-0.03,-0.39,0.93,54.50,118.56,-14.40|0.11,0.40,0.00,131.27,-103.59,88.72
0.50,0.02,0.03,-3.36,-0.93,-8.19|-0.00,-0.65,0.89,-18.18,66.48,95.56|0.05,0.29,0.07,21.72,-73.76,67.69
0.51,-0.05,0.01,1.43,-2.93,-11.26|0.07,-0.80,0.44,-96.57,37.29,84.72|-0.03,0.29,0.18,-79.58,-49.63,92.89
0.49,-0.06,0.00,4.60,-5.51,3.48|0.05,-0.73,0.30,-184.32,23.66,40.11|-0.01,0.16,0.41,-166.47,4.56,72.26
0.49,0.01,0.05,3.34,-8.53,2.99|0.08,-0.54,0.35,-239.95,23.04,-11.28|0.01,0.25,0.46,-131.66,53.36,14.84
0.48,-0.01,0.05,9.47,-8.83,-2.68|0.02,-0.44,0.50,-0.01,-0.01,-0.01|0.05,0.53,0.55,-139.66,83.96,22.00
