0.53,-0.00,-0.01,71.36,-3.63,1.97|-0.24,0.41,1.00,126.42,134.28,-18.79|-0.23,-0.49,-0.24,-4.62,-7.27,42.23
0.46,-0.02,-0.02,90.30,-5.89,8.45|-0.16,0.43,1.00,97.11,130.04,-30.76|-0.19,-0.47,-0.21,-50.79,91.16,-12.14
0.47,0.06,-0.02,86.57,-24.18,9.39|-0.13,0.41,1.00,10.31,128.67,-34.09|-0.23,-0.58,-0.04,-130.18,108.11,-21.67
0.52,0.10,-0.01,57.78,-11.44,3.41|-0.07,0.33,1.00,-128.18,28.26,3.10|-0.27,-0.54,0.02,-200.80,92.57,-15.61
0.49,0.04,-0.00,9.09,-27.72,-5.66|-0.04,0.32,1.00,-250.14,-40.36,-8.79|-0.25,-0.51,-0.08,-250.14,43.50,6.85
0.51,0.01,-0.02,-6.69,-36.21,-11.65|-0.11,0.70,1.00,-244.41,-54.13,29.95|-0.23,-0.47,0.12,-238.37,18.37,-10.44
0.48,-0.00,-0.01,-8.09,-31.29,-9.17|-0.25,0.81,1.00,-193.30,-199.79,-16.69|-0.38,-0.27,0.44,-157.01,31.49,24.72
0.54,0.13,-0.04,-12.18,-32.70,-33.20|-0.24,0.69,1.00,-107.21,-46.24,-8.08|-0.30,-0.32,0.93,140.40,-116.76,17.21
0.46,-0.12,-0.07,8.20,-45.89,-31.26|-0.12,0.72,1.00,136.76,-50.04,-0.67|-0.39,-0.53,0.51,250.13,-171.97,35.20
0.46,-0.07,-0.15,43.92,-36.31,-18.85|-0.45,0.50,1.00,214.40,102.69,-41.54|-0.46,-0.62,0.24,250.13,-164.20,-36.27
0.43,0.17,-0.15,36.08,-45.66,-14.29|-0.19,0.51,1.00,250.13,180.95,-31.21|-0.43,-1.00,0.31,215.17,-149.76,99.88
0.60,-0.18,-0.30,46.60,-31.48,15.21|-0.21,0.20,1.00,177.07,82.08,56.47|-0.28,-0.70,-0.81,-59.13,-18.56,56.19
0.48,0.07,-0.09,52.52,-19.48,10.13|0.00,0.43,1.00,-133.35,164.16,6.36|-0.17,-0.56,-0.53,-198.02,79.36,15.80
0.47,0.05,-0.16,28.21,-3.28,0.54|-0.06,0.33,1.00,-236.94,-124.26,47.70|-0.34,-0.48,-0.24,-250.14,156.34,1.53
0.47,0.05,-0.17,-9.76,7.33,-8.15|0.08,0.20,1.00,-250.14,-29.47,11.98|-0.48,-0.59,0.25,-250.14,152.65,-14.86
0.49,0.05,-0.09,-29.47,1.74,-5.11|-0.04,0.69,1.00,-147.44,-238.67,31.14|0.05,-0.21,1.00,-99.78,110.29,29.27
0.55,0.28,-0.11,-90.54,20.92,20.89|-0.29,0.36,1.00,-93.24,-47.35,-31.56|-0.06,-0.23,0.83,-3.44,103.50,12.12
0.46,0.05,-0.13,-126.96,22.02,13.27|-0.18,0.49,1.00,-0.64,-62.40,-78.49|-0.21,-0.41,0.10,208.99,40.33,49.08
0.45,0.11,-0.13,-147.59,26.83,21.43|-0.26,0.30,1.00,33.27,-106.98,-107.73|-0.30,-0.75,-0.20,250.13,-145.25,-68.98
0.53,0.13,-0.18,-190.41,27.79,20.60|-0.30,0.19,1.00,108.56,-120.26,-134.35|-0.24,-0.60,-0.21,250.13,-26.41,-43.67
0.48,0.12,-0.16,-221.04,27.98,24.32|-0.32,0.22,1.00,161.56,-142.67,-156.63|-0.25,-0.58,-0.10,242.34,177.11,-154.62
0.51,0.10,-0.16,-242.52,31.73,29.58|-0.24,0.26,1.00,157.37,-176.27,-183.90|-0.50,-0.53,-0.25,108.79,171.42,-117.82
0.42,0.17,-0.15,-250.14,26.41,42.56|-0.14,0.31,1.00,134.01,-211.40,-178.21|-0.37,-0.49,-0.04,19.68,144.56,-149.66
0.45,0.12,-0.13,-250.14,29.12,44.89|-0.19,0.42,1.00,112.42,-237.77,-177.02|-0.74,-0.47,-0.11,32.53,154.58,-169.76
0.46,0.12,-0.10,-250.14,24.54,40.49|-0.24,0.37,1.00,60.95,-250.14,-172.27|-0.92,-0.08,-0.07,-11.61,250.13,-155.75
0.46,0.15,-0.11,-250.14,21.75,34.02|-0.29,0.44,1.00,48.28,-212.31,-140.20|-0.99,-0.29,-0.15,17.35,250.13,-137.89
0.51,0.05,-0.15,-250.14,20.43,24.53|-0.32,0.43,1.00,35.44,-159.69,-142.79|-0.84,-0.16,0.09,-49.55,250.13,-42.45
0.57,-0.03,-0.08,-250.14,5.92,27.79|-0.36,0.46,1.00,17.49,-161.47,-108.76|-0.64,-0.24,0.24,-44.68,238.33,-5.13
0.49,-0.06,-0.07,-229.03,9.14,26.34|-0.38,0.46,1.00,-0.06,-161.24,-144.71|-0.52,-0.29,0.23,2.95,189.24,1.81
0.48,-0.18,-0.08,-200.40,6.28,25.43|-0.35,0.53,1.00,3.41,-164.93,-102.65|-0.19,-0.32,0.54,79.69,184.05,-33.46
0.53,-0.13,-0.03,-174.88,-5.02,25.27|-0.24,0.64,1.00,82.37,-121.95,-98.56|-0.07,-0.43,0.61,197.33,126.24,-54.89
0.40,-0.07,-0.05,-139.04,-19.24,14.50|-0.09,0.60,1.00,204.12,-51.79,-73.57|0.01,-0.30,0.55,250.13,41.07,-59.39
0.46,-0.09,-0.03,-132.26,-31.09,16.21|-0.11,0.59,1.00,250.13,-23.04,-58.34|-0.12,-0.57,0.63,250.13,-46.43,-34.60
0.36,0.03,-0.10,-125.32,-34.95,-19.69|-0.20,0.55,1.00,250.13,-82.18,-31.78|-0.22,-1.00,0.41,210.63,-208.30,37.65
0.46,-0.34,-0.20,-68.53,-73.93,-5.40|-0.10,0.27,1.00,89.57,-101.37,61.54|0.26,0.12,-0.33,-44.69,250.13,-170.56
0.52,0.07,-0.01,-67.79,-35.37,19.01|-0.13,0.20,1.00,-175.02,-127.03,51.99|-0.37,-0.45,-0.83,-98.98,184.16,-90.27
0.48,-0.15,-0.18,-44.60,-28.69,-3.38|-0.06,0.66,1.00,-250.14,-29.73,31.22|-0.60,-0.63,-0.25,-250.14,250.13,-4.73
0.47,-0.09,-0.06,-38.49,-39.24,-10.56|-0.39,0.67,1.00,-250.14,-105.82,19.82|-0.78,-1.00,0.28,-250.14,207.10,-102.75
0.60,-0.06,-0.07,-17.13,17.81,13.65|-0.27,0.76,1.00,-155.07,38.48,23.32|-0.34,-0.20,1.00,-209.65,72.60,-20.36
0.51,0.09,-0.18,-42.34,4.63,-15.15|-0.19,0.75,1.00,-88.16,5.56,-16.39|-0.17,-0.46,1.00,2.82,0.82,12.30
0.43,-0.17,-0.16,-26.74,-10.06,-12.72|-0.11,0.59,1.00,23.61,-25.39,-52.69|-0.17,-0.33,0.62,213.93,-95.89,29.06
0.49,-0.08,-0.09,2.67,3.14,-6.63|-0.12,0.43,1.00,170.19,79.52,-37.80|-0.29,-0.55,0.39,250.13,-128.95,21.61
0.46,0.07,-0.10,-14.90,-7.02,-9.37|-0.17,0.57,1.00,250.13,127.14,-9.73|-0.35,-0.64,0.38,239.05,-68.92,42.36
0.51,-0.07,-0.16,-16.70,-16.51,-8.67|-0.34,0.49,1.00,229.96,79.15,32.59|-0.18,-1.00,0.18,166.79,-66.22,102.05
0.51,-0.12,-0.14,25.69,-14.81,-2.37|-0.16,0.14,1.00,103.12,46.93,-8.63|-0.24,-0.58,-0.78,-20.31,69.11,37.06
0.48,-0.04,-0.08,33.05,-10.27,4.05|-0.06,0.42,1.00,-112.81,-33.40,42.08|-0.21,-0.61,-0.46,-201.40,136.27,-4.36
0.47,0.02,-0.13,27.30,1.30,3.66|-0.15,0.30,1.00,-250.14,-95.76,53.65|-0.25,-0.52,-0.05,-246.11,114.75,-31.32
0.49,-0.05,-0.12,33.54,4.54,-12.31|-0.15,0.73,1.00,-250.14,10.90,40.15|-0.36,-0.49,0.42,-233.12,49.74,-60.05
0.52,-0.11,-0.09,59.48,-1.27,1.23|-0.17,0.50,1.00,-138.39,33.69,19.89|-0.29,-0.41,0.73,-85.56,-19.31,-35.61
0.57,0.05,-0.16,76.40,22.85,1.23|-0.15,0.50,1.00,-82.89,-45.11,23.05|-0.12,-0.28,0.69,-1.89,-57.79,-43.85
0.46,-0.17,-0.12,94.47,3.37,-11.85|-0.41,0.91,1.00,-45.53,87.08,9.53|-0.08,-0.50,0.82,117.34,-209.77,-31.92
0.45,-0.17,-0.15,140.90,9.18,-18.76|-0.09,0.66,1.00,-12.51,127.51,44.05|-0.39,-0.51,0.35,123.63,-176.08,-11.15
0.46,-0.21,-0.15,185.51,10.53,-21.67|-0.10,0.63,1.00,16.40,173.93,141.64|-0.50,-0.49,0.22,36.80,-172.67,56.75
0.45,-0.18,-0.17,211.88,3.76,-19.08|-0.42,0.56,1.00,0.31,174.95,190.92|-0.45,-0.32,0.08,-47.31,-232.54,61.10
0.45,-0.12,-0.20,238.98,0.32,-21.95|-0.71,0.39,1.00,64.50,201.28,236.05|-0.46,-0.34,0.09,-88.74,-185.89,95.25
0.46,-0.09,-0.12,250.13,-2.20,-38.34|-0.65,0.34,1.00,-122.79,199.60,219.43|-0.46,-0.21,0.13,-123.37,-215.89,113.73
0.44,-0.10,-0.13,250.13,-14.41,-48.12|-0.54,0.31,1.00,-35.87,161.31,186.15|-0.52,-0.24,0.00,-147.75,-238.11,130.60
0.47,-0.07,-0.11,250.13,-15.47,-48.53|-0.52,0.33,1.00,-62.15,250.13,197.85|-0.52,-0.38,-0.07,-185.40,-250.14,120.19
0.49,-0.06,-0.14,250.13,-27.84,-44.60|-0.46,0.36,1.00,-36.30,227.15,158.47|-0.50,-0.37,-0.12,-202.43,-250.14,104.09
0.46,0.01,-0.14,250.13,-31.25,-40.00|-0.39,0.34,1.00,-82.23,235.37,160.50|-0.51,-0.23,-0.07,-195.60,-250.14,74.61
0.52,0.06,-0.09,236.58,-25.09,-41.24|-0.46,0.36,1.00,-20.49,246.54,119.31|-0.56,-0.10,-0.06,-158.98,-250.14,85.72
0.54,0.07,-0.05,218.08,-11.04,-49.01|-0.58,0.38,1.00,38.60,242.96,85.07|-0.56,-0.34,-0.01,-30.50,-250.14,80.46
0.54,0.02,-0.08,208.85,-9.55,-49.72|-0.49,0.31,1.00,75.12,250.13,36.35|-0.49,-0.45,0.28,142.46,-250.14,62.25
0.45,0.05,-0.14,199.56,-12.68,-38.31|-0.26,0.39,1.00,111.80,233.19,50.59|-0.55,-0.31,0.49,165.50,-160.71,140.58
0.44,0.15,-0.12,163.37,-55.45,-29.34|-0.46,0.45,1.00,100.08,198.37,118.56|-0.41,-0.85,-0.39,38.27,-87.68,99.99
0.46,0.15,-0.12,118.19,-31.05,12.79|-0.55,-0.14,1.00,-110.48,118.53,28.16|-0.19,-0.78,-0.96,-100.08,-11.77,26.91
0.46,0.02,-0.13,66.27,-20.55,-6.48|-0.13,0.26,1.00,-250.14,-59.91,32.69|-0.30,-0.76,-0.50,-250.14,117.44,33.59
0.48,0.14,-0.09,21.80,-20.08,-1.31|-0.02,0.26,1.00,-250.14,2.60,-34.79|-0.34,-0.62,-0.04,-250.14,141.16,0.91
0.48,0.02,-0.04,10.13,-10.28,12.20|-0.19,0.74,1.00,-199.74,17.40,-29.30|-0.17,-0.50,0.79,-223.24,37.02,-67.63
0.65,0.26,-0.08,-54.68,10.86,5.06|-0.04,0.71,1.00,-42.60,2.66,-74.80|0.18,-0.14,1.00,65.22,-54.55,-3.58
0.45,-0.07,-0.11,-39.32,-22.34,-11.28|-0.22,0.10,1.00,64.95,70.02,13.91|-0.14,-0.22,0.84,250.13,-101.40,-41.93
0.54,-0.01,-0.08,-15.98,-19.94,-3.49|0.06,0.43,1.00,250.13,-151.63,-15.78|-0.20,-0.65,0.73,250.13,-108.97,-11.85
0.43,0.03,-0.14,-10.24,7.53,-2.98|-0.52,0.11,1.00,213.16,-115.56,-35.11|-0.40,-0.89,0.47,175.97,-83.07,88.88
0.56,-0.11,-0.27,36.84,15.37,9.26|-0.09,0.30,1.00,241.68,111.90,-44.90|-0.34,-0.99,-0.38,111.57,-106.89,39.87
0.44,0.09,-0.12,5.60,-19.79,21.82|-0.02,0.41,1.00,243.82,-93.64,38.72|-0.03,-0.56,-0.72,-112.15,128.30,-13.12
0.45,-0.04,-0.08,19.42,-2.07,-6.46|0.47,0.06,1.00,-250.14,250.13,156.21|-0.15,-0.59,-0.28,-242.79,192.70,-0.97
0.42,0.10,-0.21,-3.26,-15.95,-4.67|-0.05,0.24,1.00,-250.14,-63.43,58.27|-0.29,-0.52,0.05,-250.14,145.47,-52.62
0.45,0.01,-0.12,-30.97,-16.11,-9.20|-0.15,0.78,1.00,-250.14,1.96,23.93|-0.43,-0.54,0.46,-250.14,97.87,-69.08
0.58,0.10,-0.07,-61.68,-4.24,18.63|-0.18,0.39,1.00,-201.19,-1.84,9.13|-0.31,-0.16,0.80,-84.64,42.54,14.05
0.50,0.18,-0.15,-123.09,-1.66,20.50|-0.29,0.43,1.00,-70.54,-19.19,-82.28|-0.03,-0.33,0.55,95.97,-4.04,-25.98
0.47,0.11,-0.10,-178.64,6.88,20.25|-0.27,0.33,1.00,11.09,-90.56,-94.47|-0.09,-0.53,0.16,193.76,3.39,41.14
0.49,0.17,-0.15,-205.69,13.04,27.85|-0.42,0.22,1.00,83.64,-178.44,-113.81|-0.23,-0.67,-0.04,250.13,28.65,-43.07
0.50,0.15,-0.16,-231.79,10.40,38.15|-0.42,0.15,1.00,136.56,-206.49,-171.17|-0.31,-0.68,-0.06,250.13,122.69,-77.61
0.46,0.10,-0.18,-246.32,9.73,43.48|-0.34,0.27,1.00,147.97,-241.10,-192.94|-0.35,-0.45,0.09,221.84,154.42,-146.05
0.49,0.15,-0.15,-250.14,16.64,62.42|-0.31,0.34,1.00,142.04,-210.07,-193.73|-0.24,-0.52,-0.07,93.45,203.69,-102.25
0.45,0.18,-0.10,-250.14,11.34,67.60|-0.27,0.46,1.00,138.21,-202.98,-191.75|-0.24,-0.46,-0.06,16.89,81.08,-188.18
0.44,0.19,-0.17,-250.14,14.53,56.60|-0.23,0.44,1.00,106.03,-217.31,-175.89|-0.87,-0.61,-0.17,64.82,250.13,-205.46
0.47,0.10,-0.20,-250.14,16.91,43.18|-0.30,0.51,1.00,84.08,-209.21,-137.95|-0.84,-0.16,0.01,12.45,250.13,-198.19
0.49,-0.01,-0.19,-250.14,4.89,42.57|-0.28,0.46,1.00,63.37,-204.50,-102.58|-0.86,-0.24,0.03,-35.21,250.13,-121.36
0.50,-0.10,-0.15,-250.14,4.34,43.82|-0.31,0.56,1.00,66.93,-162.82,-106.07|-0.58,-0.32,0.35,-28.62,250.13,-101.46
0.51,-0.07,-0.07,-225.77,-1.02,41.27|-0.24,0.59,1.00,147.99,-168.42,-95.93|-0.29,-0.32,0.84,87.59,227.62,-170.94
0.46,-0.05,-0.13,-200.79,-7.72,36.63|-0.12,0.49,1.00,250.13,-216.56,-75.38|-0.11,0.01,0.77,209.07,135.37,-80.47
0.42,-0.08,-0.17,-186.37,-17.75,33.34|-0.19,0.41,1.00,213.85,-171.17,13.78|-0.37,-0.61,-0.03,186.02,38.74,-40.37
0.55,-0.17,-0.17,-146.98,-27.79,34.24|-0.36,0.30,1.00,43.05,-221.02,-8.37|-0.28,-0.54,-0.72,29.11,192.38,-14.40
0.42,-0.09,-0.17,-110.00,-20.21,25.12|-0.09,0.22,1.00,-118.93,-182.42,-17.08|-0.28,-0.42,-0.34,-132.47,250.13,-31.33
0.47,-0.04,-0.13,-87.69,-23.91,21.11|-0.07,0.58,1.00,-250.14,-134.09,13.17|-0.43,-0.53,0.00,-176.87,216.11,-76.63
0.46,-0.12,-0.12,-60.01,-36.62,2.39|-0.19,0.55,1.00,-229.20,-32.03,15.79|-0.58,-0.52,0.46,-175.20,158.04,-88.57
0.59,0.03,-0.06,-67.60,-17.03,6.98|-0.29,0.68,1.00,-92.95,-44.29,-11.29|-0.30,-0.08,0.61,-62.66,83.70,-55.53
0.53,0.01,-0.09,-84.79,1.63,-7.64|-0.30,0.68,1.00,-29.42,-24.24,-53.89|-0.30,-0.43,0.98,132.92,-26.66,27.71
