0.47,-0.18,-0.02,-36.36,-25.53,24.21|-0.16,-0.50,0.66,-157.11,60.95,-52.67|0.19,0.76,0.66,-114.97,94.82,-16.64
0.72,-0.10,-0.09,-20.45,-26.36,-8.70|-0.21,-0.45,0.78,-99.34,18.91,-35.40|0.24,0.84,0.43,3.89,39.58,-102.13
0.71,-0.10,-0.12,-21.17,6.40,-4.21|-0.22,-0.50,0.96,6.33,-49.28,-32.37|0.26,0.83,0.09,108.82,0.84,-53.19
0.52,-0.10,-0.08,-37.47,5.66,11.29|-0.05,-0.42,0.96,114.83,-53.47,-60.73|0.27,0.58,-0.16,162.51,-55.21,-1.98
0.36,-0.10,-0.05,-24.77,5.47,1.79|-0.00,-0.25,0.89,155.05,-10.86,-35.24|0.22,0.28,-0.08,179.08,-108.13,73.45
0.33,-0.11,-0.05,-11.77,13.10,-3.24|-0.14,-0.41,0.83,149.03,30.50,-5.39|0.08,0.18,0.01,111.24,-132.69,60.40
0.40,-0.11,-0.08,4.92,9.34,6.17|-0.18,-0.38,0.76,142.74,66.90,-4.76|-0.06,0.17,0.07,-47.30,-82.89,7.99
0.43,-0.08,-0.11,0.33,-16.30,5.81|-0.14,-0.35,0.76,75.74,13.63,81.12|-0.02,0.19,0.38,-215.58,15.22,-37.02
0.55,-0.18,-0.04,5.23,11.35,11.58|-0.21,-0.72,0.55,-21.68,17.41,92.18|0.00,0.69,0.65,-250.14,116.01,80.18
0.59,-0.21,-0.05,3.48,0.56,15.47|-0.15,-0.68,0.46,-130.60,43.07,69.88|0.08,0.20,0.89,-89.37,203.51,103.22
0.62,-0.09,-0.12,8.76,0.69,-1.98|-0.13,-0.72,0.50,-168.63,68.97,-4.88|0.11,0.75,0.51,-13.47,151.56,-36.85
0.51,-0.05,-0.08,-12.23,4.20,-8.33|-0.14,-0.47,0.56,-143.76,75.02,-61.95|0.32,0.59,0.33,85.14,-7.49,-87.72
