0.00,0.01,-0.18,71.37,31.36,46.90|0.00,0.14,0.58,42.67,31.63,3.93|0.12,0.14,-0.14,105.11,33.82,44.30
0.02,0.01,-0.12,66.93,79.18,8.90|0.00,0.08,0.04,0.49,70.50,9.88|0.03,0.24,0.03,96.43,73.09,9.21
0.38,0.00,0.13,14.90,2.24,2.10|0.13,0.07,0.08,8.79,62.56,0.02|-0.12,0.44,0.23,10.78,76.02,6.17
0.50,0.07,0.35,18.78,62.91,-26.84|0.09,0.00,0.13,-109.25,21.74,2.14|-0.13,0.46,0.35,-79.89,62.69,-28.72
0.41,0.00,0.54,7.88,78.56,9.79|0.22,0.11,0.05,-117.24,63.10,-38.10|-0.01,0.37,0.61,-114.24,78.25,-32.69
0.00,0.01,0.19,-91.36,70.41,10.32|0.00,0.25,0.32,-118.88,62.96,-56.66|0.09,0.41,0.48,-98.16,80.69,-48.18
0.00,0.00,0.63,-124.58,15.91,-38.95|0.03,0.50,0.04,-124.39,80.71,-46.15|0.17,0.66,0.70,-119.08,79.89,-31.17
0.14,0.15,0.54,-108.58,0.27,1.04|0.19,0.03,0.50,11.73,5.88,2.58|0.28,0.71,0.61,-52.61,-1.90,5.03
0.02,0.00,0.25,0.95,0.75,2.93|0.13,0.25,0.20,0.05,15.76,0.25|0.36,0.75,0.53,8.42,32.08,10.62
0.09,0.08,0.09,40.09,-62.21,0.13|0.16,0.33,0.07,39.69,0.53,15.66|0.21,0.45,0.09,43.68,-43.92,-4.04
0.16,0.04,-0.21,1.10,-60.55,7.08|0.13,0.01,0.88,9.89,0.67,0.00|0.15,0.28,-0.09,90.44,-45.00,3.89
0.05,0.00,-0.17,0.03,-35.18,16.63|0.04,0.05,0.70,94.08,78.41,31.78|0.10,0.11,-0.04,102.51,-34.24,49.84
0.32,0.07,-0.24,0.53,17.72,30.79|0.01,0.13,0.50,0.31,10.08,31.27|-0.24,-0.17,-0.04,109.46,85.51,-27.81
0.04,0.19,-0.25,0.50,48.98,17.72|0.10,0.58,0.28,-39.08,13.44,1.98|-0.55,0.72,-0.28,-33.02,-66.58,68.89
0.03,0.07,0.53,-52.52,16.61,2.93|0.03,0.01,0.01,-108.14,16.74,2.22|0.04,0.31,0.47,-41.27,-39.34,36.85
0.13,0.02,0.26,-58.02,0.15,1.27|0.14,0.01,0.33,-123.11,7.39,-114.31|0.15,0.44,0.44,-48.78,8.45,-51.64
0.11,0.04,0.52,-112.36,19.54,4.90|0.13,0.52,0.07,-184.55,16.14,25.59|0.13,0.61,0.57,-44.62,14.56,30.92
0.01,0.08,0.27,-167.01,54.72,31.37|0.06,0.00,0.31,-182.63,16.21,0.28|0.07,0.49,0.32,-39.34,-6.10,30.57
0.00,0.02,0.32,-175.76,17.59,0.98|0.05,0.41,0.07,-113.25,17.65,-76.17|0.07,0.47,0.31,-49.40,-36.79,-16.63
0.02,0.00,0.00,-182.53,19.94,9.77|0.01,0.39,0.25,-119.02,17.59,-52.21|0.04,0.52,0.31,-56.06,-77.27,-51.44
0.39,0.05,0.00,-183.39,8.32,0.37|0.06,0.00,0.06,-121.16,126.61,-92.82|0.02,0.41,0.21,-56.49,-111.25,-77.59
0.02,0.00,0.03,-187.59,0.09,0.18|0.00,0.00,0.00,-125.07,25.04,-78.05|-0.01,0.40,0.15,-58.37,-159.85,-76.29
0.41,0.00,0.08,-218.60,8.07,2.95|0.02,0.14,0.03,-84.76,23.94,7.94|-0.07,0.42,0.11,-66.33,-194.58,-117.05
0.39,0.01,0.19,-230.47,-250.10,-114.27|-0.12,0.04,0.02,-75.34,0.00,10.75|-0.11,0.54,0.21,-76.52,-250.14,-109.80
0.42,0.14,0.13,-224.70,-250.14,-132.86|-0.09,0.39,0.03,-75.70,0.00,19.79|-0.06,0.47,0.19,-64.68,-250.14,-138.13
0.02,0.07,0.00,-239.02,-250.14,-187.56|0.00,0.01,0.02,-108.94,0.00,0.01|0.03,0.59,0.20,-45.07,-250.14,-182.76
0.00,0.03,0.00,-202.26,-250.14,3.08|0.13,0.03,0.07,-59.42,0.00,0.02|0.14,0.66,0.23,-10.47,-250.14,-151.84
