0.49,-0.01,0.13,-14.66,-0.37,-3.60|0.18,0.37,0.04,109.35,-158.20,244.89|0.39,-0.09,-0.27,-81.37,130.35,-125.59
0.43,-0.01,0.13,2.35,0.31,-1.00|0.08,-0.90,0.64,76.68,67.92,-77.33|0.13,0.45,-0.10,-56.09,72.43,-65.33
0.41,-0.01,0.14,31.14,-10.61,-8.72|0.18,0.03,0.19,-46.25,31.19,-250.14|0.21,0.28,-0.50,62.18,5.13,149.58
0.54,0.01,0.14,28.98,-4.50,-6.61|0.28,0.05,0.13,0.33,36.10,86.97|0.21,-0.15,-0.53,45.98,12.92,-105.73
0.54,0.02,0.13,42.57,-6.65,1.78|0.21,-0.60,0.30,24.88,-8.53,47.79|0.11,0.38,-0.43,51.87,28.22,-145.60
0.47,0.00,0.06,56.35,-6.98,8.44|0.29,-0.35,0.15,13.40,-11.02,-98.80|0.12,0.20,-0.46,65.73,35.27,-35.45
0.51,-0.00,0.14,69.24,-6.04,11.63|0.21,-0.21,0.23,80.70,4.72,-4.66|0.17,0.15,-0.46,48.43,87.69,-85.14
0.52,0.01,0.08,90.05,0.08,17.76|0.31,-0.55,0.20,98.58,-18.38,-60.92|0.13,0.13,-0.46,36.18,96.89,-131.43
0.50,0.00,0.09,101.05,-3.73,19.88|0.32,-0.44,0.24,142.25,-47.38,-77.93|0.26,0.41,-0.42,43.02,121.98,-105.15
0.51,0.01,0.14,125.70,-4.02,23.54|0.29,-0.43,0.19,116.57,-84.24,-41.45|0.21,0.31,-0.42,44.85,115.27,-117.61
0.51,0.00,0.11,134.74,-3.86,29.60|0.31,-0.80,0.23,73.21,-136.46,-34.35|0.43,0.41,-0.37,77.14,108.54,-88.40
0.55,-0.00,0.13,147.11,2.33,35.50|0.26,-0.65,0.07,4.25,-163.18,-120.69|0.45,0.44,-0.47,104.76,85.01,-119.12
0.56,0.04,0.13,145.11,9.91,41.46|0.16,-0.44,0.01,17.24,-132.91,-73.08|0.50,0.46,-0.34,114.05,55.49,-86.74
0.52,0.06,0.13,140.18,8.59,38.28|0.07,-0.66,0.23,-14.01,-131.56,-143.60|0.50,0.38,-0.31,133.85,15.43,-56.15
0.48,0.00,0.15,135.08,7.73,32.82|-0.03,-0.21,0.06,-27.81,-130.21,-141.21|0.44,0.37,-0.32,149.62,-22.86,-77.53
0.46,0.03,0.13,129.63,8.99,30.29|0.03,-0.41,0.04,-45.72,-99.18,-110.20|0.41,0.28,-0.32,164.03,-61.42,-41.24
0.48,0.05,0.14,118.55,5.05,24.56|0.01,-0.27,0.05,-90.73,-131.05,-160.08|0.33,0.16,-0.37,143.95,-72.68,-49.31
0.47,0.05,0.12,96.95,2.41,20.31|-0.01,-0.11,-0.04,-83.18,-93.04,-94.54|0.31,0.13,-0.39,140.76,-95.00,-42.65
0.47,0.02,0.15,83.02,-0.57,14.05|-0.05,-0.15,0.05,-69.08,-84.59,-125.39|0.22,0.03,-0.43,109.63,-80.63,-70.75
0.51,0.01,0.10,86.69,9.42,9.54|-0.11,0.17,-0.11,-27.53,-64.53,-108.69|0.12,-0.04,-0.51,85.45,-76.82,-63.25
0.49,0.04,0.14,69.53,5.95,10.12|-0.07,-0.03,-0.00,107.74,-63.86,-65.02|0.11,-0.02,-0.44,-25.76,-24.89,-59.08
0.48,0.06,0.12,50.27,21.08,-0.69|-0.10,-0.16,0.04,152.29,28.91,-82.95|0.10,0.00,-0.37,-130.38,54.09,-43.33
0.58,0.03,0.10,44.63,23.28,-9.20|0.21,-0.31,0.13,61.79,41.60,-66.16|0.39,0.24,-0.31,-81.93,132.79,10.68
0.48,0.06,0.20,22.72,10.17,-0.85|0.03,0.26,0.31,78.25,3.27,139.10|0.42,-0.41,-0.26,-99.65,162.38,-37.15
0.38,0.07,0.14,24.89,18.69,-9.24|0.09,-0.63,0.50,-12.56,45.84,-60.69|0.32,0.55,0.01,-49.67,36.38,-42.08
0.42,0.05,0.21,10.97,-2.63,-10.74|0.11,-0.03,-0.08,-191.08,-24.52,-87.39|0.51,0.22,-0.34,107.80,-67.80,16.10
0.54,0.07,0.21,1.49,-15.63,-0.29|0.03,-0.01,-0.16,-195.20,-6.62,144.22|0.29,0.10,-0.47,149.95,-108.11,-163.23
0.49,0.03,0.16,-2.78,-27.08,4.95|0.03,-0.15,-0.10,-201.54,1.74,26.25|0.08,0.32,-0.58,187.09,-91.24,-5.19
0.51,0.05,0.15,3.67,-14.50,-0.09|0.02,0.48,-0.22,5.58,-13.68,-69.35|0.01,-0.41,-0.90,45.56,-75.47,62.21
0.57,0.06,0.10,2.40,-7.34,-2.76|0.25,-0.40,-0.06,250.13,-23.59,-113.97|0.19,0.02,-0.54,-147.65,-7.58,28.95
0.50,0.08,0.14,-8.91,1.52,-4.63|0.24,-0.11,0.09,144.05,-20.48,39.46|0.19,0.14,-0.57,-109.53,132.17,7.13
0.50,0.07,0.16,-23.72,5.09,-5.38|0.18,0.00,0.12,136.58,14.57,133.23|0.44,0.10,-0.26,-124.31,140.08,94.63
0.44,0.03,0.15,-33.85,6.19,-2.66|-0.16,-0.36,0.11,100.18,23.60,10.54|0.18,-0.14,-0.05,-116.74,97.58,-70.27
0.39,0.05,0.12,-40.00,-1.90,-5.92|-0.12,-0.26,0.29,-39.34,69.08,-204.66|0.50,0.66,-0.01,-33.94,7.17,161.98
0.48,0.06,0.17,-43.25,-8.80,-9.07|-0.00,0.25,-0.17,-92.69,48.62,89.65|0.48,-0.20,-0.32,25.13,-59.76,52.50
0.53,0.07,0.13,-66.04,-7.95,-5.60|-0.15,-0.36,-0.04,-82.46,78.02,204.30|0.36,0.36,-0.27,25.19,-71.92,-120.31
0.51,0.09,0.14,-88.72,-18.00,-7.82|-0.07,-0.27,-0.02,-72.18,81.45,29.48|0.30,0.43,-0.37,30.47,-54.48,125.44
0.48,0.08,0.13,-109.72,-13.77,-22.24|-0.03,-0.07,-0.11,-69.98,83.05,166.88|0.34,0.09,-0.46,-1.70,-54.45,121.33
0.49,0.08,0.12,-124.64,-15.66,-25.85|-0.06,-0.37,-0.12,-61.84,122.76,204.86|0.33,0.18,-0.43,-38.83,-30.85,65.50
0.51,0.09,0.11,-156.11,-18.59,-32.04|0.07,-0.34,-0.01,-57.50,95.98,110.61|0.28,0.22,-0.49,-64.53,-39.84,122.33
0.50,0.07,0.10,-160.60,-14.63,-34.79|0.08,-0.17,0.01,-40.85,77.13,181.80|0.28,0.15,-0.38,-105.60,-30.88,119.31
0.50,0.04,0.08,-171.34,-13.86,-38.02|0.08,-0.48,0.08,-18.80,80.69,168.46|0.23,0.20,-0.51,-119.70,-15.61,112.22
0.52,0.04,0.11,-178.06,-13.18,-39.30|0.15,-0.32,0.08,-20.55,73.40,111.73|0.26,0.23,-0.48,-136.33,5.81,126.56
0.53,0.02,0.12,-164.73,-12.53,-38.71|0.14,-0.52,0.05,-5.24,75.01,106.12|0.28,0.25,-0.52,-144.31,7.05,138.98
0.55,0.00,0.11,-149.92,-9.06,-35.15|0.21,-0.45,0.07,-25.21,59.46,50.63|0.30,0.33,-0.59,-111.55,-22.31,134.03
0.47,0.03,0.15,-135.24,-10.27,-29.72|0.26,-0.44,0.08,-59.46,63.35,95.74|0.33,0.30,-0.54,-86.60,-37.19,127.63
0.49,0.01,0.13,-120.63,-2.95,-28.39|0.23,-0.39,0.03,-97.18,36.96,81.69|0.27,0.26,-0.56,-47.23,-67.65,147.48
0.49,-0.02,0.14,-99.08,-6.18,-22.67|0.21,-0.43,0.13,-105.86,33.15,73.51|0.24,0.20,-0.45,-27.84,-83.21,110.34
0.48,-0.01,0.13,-76.82,-5.36,-14.47|0.20,-0.26,0.10,-112.86,34.33,53.71|0.15,0.12,-0.46,19.77,-96.18,106.48
0.46,-0.00,0.12,-61.04,-4.59,-9.05|0.22,-0.22,0.12,-95.40,35.79,51.73|0.08,0.07,-0.50,24.64,-99.82,79.58
0.46,0.01,0.11,-46.08,-1.95,-4.67|0.25,-0.10,0.14,-56.77,23.34,29.78|0.03,-0.08,-0.55,-15.78,-72.15,77.83
0.47,0.03,0.10,-43.39,3.63,-7.24|0.27,-0.07,0.10,51.95,-5.21,6.54|-0.01,-0.06,-0.66,-84.08,-27.32,75.91
0.59,0.02,0.14,-36.44,16.37,-4.92|0.24,-0.23,0.21,72.93,41.89,-12.89|0.08,0.17,-0.39,-144.71,82.24,82.96
0.50,-0.01,0.11,-28.98,-0.50,-2.31|0.44,-0.30,0.11,54.51,0.82,38.56|0.37,0.05,-0.50,-89.76,131.11,42.18
0.50,0.01,0.16,-29.08,11.92,-2.63|0.15,-0.00,0.29,78.80,-46.04,218.66|0.02,-0.07,-0.36,-78.02,85.44,-35.89
0.43,-0.01,0.14,-17.87,12.40,6.57|0.20,-0.88,0.59,18.65,30.05,-50.44|0.32,0.80,-0.08,-22.11,-1.11,57.32
0.46,-0.02,0.14,-0.53,0.76,0.67|0.17,0.08,-0.11,-124.96,-21.76,-129.10|0.36,-0.29,-0.53,102.57,-92.75,46.82
0.52,0.03,0.16,-1.38,-6.85,1.78|0.13,-0.15,-0.02,-95.17,17.15,163.69|0.21,0.35,-0.54,76.67,-88.53,-139.97
0.51,0.02,0.13,-0.11,-14.75,3.34|0.11,-0.40,0.05,-103.26,-10.76,-56.66|0.06,0.06,-0.55,98.85,-87.65,37.58
0.51,0.02,0.12,3.49,-13.68,-0.35|0.15,0.25,-0.28,45.81,9.75,-84.98|0.03,-0.18,-0.84,-38.48,-28.68,48.49
0.56,0.01,0.12,0.33,4.65,5.64|0.25,-0.51,0.02,141.68,8.29,-78.56|0.15,0.20,-0.48,-145.50,61.23,54.20
0.51,-0.00,-0.00,-0.01,-0.01,-0.01|0.35,-0.03,-0.06,121.92,5.54,28.37|0.27,0.12,-0.70,-92.83,91.63,-28.18
0.48,0.02,0.16,-6.04,-5.89,5.82|0.06,-0.29,0.45,103.65,-43.00,193.04|0.19,0.03,-0.05,-54.30,64.40,-100.61
0.40,-0.02,0.11,1.94,2.13,2.82|0.12,-0.53,0.62,59.66,52.64,-211.95|0.17,0.46,-0.07,-64.67,52.70,-7.56
0.43,-0.02,0.14,22.41,0.45,-7.70|0.25,0.08,0.14,-36.69,6.18,-136.91|0.36,0.22,-0.30,43.46,12.04,131.50
0.54,0.03,0.14,18.28,-0.41,-6.14|0.25,-0.04,0.14,-10.72,-5.37,171.58|0.30,-0.12,-0.47,47.07,-3.55,-89.77
0.53,0.02,0.14,20.89,-4.42,-3.53|0.18,-0.77,0.08,-14.94,-16.89,35.65|0.31,0.45,-0.44,46.96,11.09,-100.33
0.50,0.02,0.16,19.09,-14.40,2.40|0.19,-0.11,0.16,-26.21,-9.38,-35.11|0.23,0.15,-0.42,53.08,15.08,3.27
0.47,-0.01,0.10,30.75,-2.90,2.47|0.27,-0.48,0.13,-60.46,-14.31,52.00|0.30,0.27,-0.40,99.72,7.86,-60.27
0.50,0.00,0.14,44.02,-17.31,4.84|0.19,-0.34,0.13,-40.70,-8.04,-7.46|0.21,0.04,-0.50,95.27,22.23,-55.14
0.50,-0.00,0.10,52.11,-12.47,8.04|0.20,-0.39,0.19,-65.09,-31.23,-80.61|0.19,0.24,-0.43,115.65,10.50,-40.98
0.50,-0.03,0.11,68.42,-11.61,8.38|0.14,-0.17,0.20,-20.04,-50.37,5.30|0.11,-0.07,-0.50,86.15,22.27,-130.07
0.49,-0.01,0.10,89.92,-13.72,15.79|0.22,-0.47,0.04,-18.27,-57.23,-84.55|0.18,0.27,-0.55,124.39,31.50,-112.21
0.56,-0.01,0.10,96.77,-5.57,20.45|0.19,-0.36,0.14,19.74,-69.38,-96.97|0.23,0.03,-0.52,80.21,31.90,-151.11
0.51,-0.02,0.09,125.26,-2.14,22.95|0.18,-0.33,-0.03,56.63,-71.21,-104.71|0.22,0.19,-0.61,89.55,41.50,-167.22
0.51,-0.03,0.11,139.22,1.34,23.55|0.11,-0.52,-0.19,38.40,-82.69,-177.41|0.40,0.32,-0.57,88.16,35.88,-122.78
0.54,-0.01,0.09,149.58,11.13,24.98|-0.00,-0.40,-0.02,26.11,-86.50,-178.00|0.34,0.24,-0.57,91.77,16.95,-150.27
0.51,0.02,0.10,159.74,8.37,26.92|-0.08,-0.25,-0.10,7.47,-72.91,-171.04|0.30,0.26,-0.50,117.97,-4.53,-125.95
0.50,0.04,0.11,150.78,1.75,26.03|-0.13,-0.24,0.07,-23.56,-76.18,-188.66|0.27,0.31,-0.38,105.89,-18.40,-121.12
0.49,0.02,0.11,146.11,2.60,24.51|-0.07,-0.00,0.11,-2.53,-78.02,-129.06|0.19,0.06,-0.41,98.47,-9.88,-128.47
0.46,0.02,0.10,141.08,6.86,18.72|-0.02,-0.06,0.05,37.98,-90.15,-158.75|0.20,0.25,-0.37,47.67,12.81,-110.50
0.49,0.03,0.10,130.32,12.00,20.54|-0.01,-0.08,0.05,120.43,-101.39,-156.21|0.28,0.04,-0.46,-6.12,68.28,-66.54
0.49,0.06,0.09,111.50,15.61,17.99|-0.07,-0.32,-0.17,154.03,-29.40,-141.31|0.51,0.25,-0.28,-25.01,94.97,-34.57
0.52,0.06,0.13,95.02,14.64,7.69|0.31,0.00,0.07,138.75,-23.57,14.93|0.01,-0.30,-0.41,-54.31,110.82,-154.79
0.48,0.06,0.16,74.78,13.43,10.22|-0.10,-0.59,0.38,130.80,-13.52,5.39|0.44,0.92,0.16,-36.24,-1.75,-46.97
0.40,0.10,0.15,47.97,1.69,6.49|-0.09,-0.23,0.18,-141.64,-13.50,-138.63|0.34,-0.02,-0.27,135.30,-46.07,-5.34
0.48,0.01,0.15,39.50,6.85,-2.63|-0.05,-0.26,-0.01,-152.85,14.73,80.47|0.22,0.23,-0.25,136.13,-49.07,-125.08
0.49,0.00,0.14,36.85,-8.15,4.08|-0.00,-0.22,0.12,-169.99,23.10,-58.76|0.13,0.16,-0.30,150.71,-32.63,22.07
0.52,0.08,0.13,35.67,-6.53,6.65|0.02,0.16,0.08,-86.71,8.50,-69.34|0.26,-0.14,-0.34,42.60,-18.53,7.35
0.52,0.09,0.07,19.38,5.95,-3.31|0.23,-0.24,0.20,70.39,-25.10,-63.78|0.39,-0.11,-0.59,-11.25,53.50,-83.24
0.56,0.07,0.10,15.96,-1.34,-5.46|0.27,0.27,-0.21,195.67,9.33,110.15|0.72,0.01,-0.46,-112.54,101.06,-197.35
0.53,0.04,0.15,12.54,-0.24,-2.54|-0.19,-0.77,0.06,164.89,-62.34,57.66|0.30,0.69,-0.30,-83.45,35.56,-57.38
0.49,0.07,0.17,-2.02,-11.08,1.05|-0.11,-0.27,0.05,-8.89,-4.16,-129.04|0.33,0.24,-0.22,-5.61,28.01,77.46
0.48,0.05,0.06,-11.76,-7.43,-0.56|-0.05,-0.21,0.08,11.83,15.12,119.65|0.21,0.09,-0.24,-8.25,11.44,-90.89
0.47,0.04,0.06,-21.21,-12.60,2.91|-0.02,-0.36,-0.09,9.47,3.56,28.44|0.41,0.33,-0.33,-43.00,3.80,-64.35
