0.50,-0.04,0.20,-17.31,10.60,-4.62|-0.14,0.24,1.00,-61.19,52.31,51.74|0.04,-0.25,-0.25,-106.59,6.66,-42.08
0.48,-0.04,0.21,-12.31,9.40,-13.60|0.32,0.07,1.00,-56.97,25.79,-53.81|0.27,0.51,-0.10,53.95,-48.31,218.92
0.41,-0.04,0.18,-22.39,-17.73,-13.47|0.08,0.11,1.00,13.48,19.89,28.49|0.08,-0.11,-0.17,-86.15,28.58,69.42
0.46,-0.01,0.20,-31.62,-9.26,-17.87|0.18,0.01,1.00,52.08,28.66,69.50|-0.08,-0.10,-0.31,-107.89,87.63,44.11
0.49,-0.02,0.20,-48.05,-8.85,-19.83|0.18,0.23,1.00,46.47,6.40,-8.67|-0.09,-0.20,-0.38,-155.95,34.62,165.39
0.50,-0.00,0.21,-65.98,-10.82,-17.31|0.03,0.36,1.00,-0.24,25.12,-1.02|-0.17,-0.11,-0.35,-76.92,72.05,154.11
0.42,0.03,0.14,-77.27,-15.75,-16.84|-0.06,0.52,1.00,-29.02,-116.45,-26.45|-0.17,-0.21,-0.75,-29.82,85.78,206.73
0.51,0.03,0.18,-97.69,2.82,-19.17|-0.18,0.58,1.00,-107.73,-49.02,24.86|-0.30,-0.23,-0.55,56.16,100.51,240.42
0.49,0.12,0.17,-140.73,-7.23,-24.39|-0.27,0.63,1.00,-118.37,-147.86,26.59|-0.18,-0.22,-0.50,91.58,134.10,250.13
0.51,0.09,0.15,-188.74,-4.53,-32.56|-0.44,0.65,1.00,-102.75,-223.41,64.71|-0.19,-0.46,-0.40,181.29,177.64,250.13
0.51,0.15,0.06,-245.27,5.40,-45.56|-0.49,0.69,1.00,-47.24,-250.14,89.63|-0.21,-0.57,-0.31,126.05,201.50,250.13
0.52,0.13,0.04,-250.14,11.47,-48.99|-0.60,0.62,1.00,-28.60,-250.14,173.27|-0.10,-0.69,-0.30,88.93,193.72,248.27
0.56,0.03,-0.01,-250.14,19.46,-65.65|-0.49,0.62,1.00,81.09,-243.82,133.02|-0.11,-0.75,-0.65,15.45,229.22,186.16
0.60,-0.04,-0.02,-250.14,38.28,-62.81|-0.43,0.54,1.00,160.08,-213.19,127.50|-0.24,-0.78,-0.58,-79.78,244.49,118.98
0.51,-0.11,0.03,-234.31,33.92,-50.72|-0.28,0.49,1.00,215.91,-158.37,121.00|-0.19,-0.73,-0.55,-164.34,216.91,83.49
0.49,-0.10,0.04,-202.89,33.31,-38.44|-0.38,0.49,1.00,228.66,-150.06,126.78|-0.10,-0.72,-0.46,-223.64,178.98,34.35
0.55,-0.10,0.10,-166.61,42.19,-43.94|-0.37,0.47,1.00,213.79,-80.85,154.00|-0.03,-0.65,-0.45,-210.27,134.43,-13.02
0.49,-0.16,0.07,-129.57,26.93,-35.11|-0.35,0.34,1.00,150.50,-31.50,189.63|0.03,-0.52,-0.32,-120.21,79.21,-55.40
