0.47,-0.17,0.06,32.13,-30.40,2.95|-0.02,-0.41,-0.08,5.31,-38.85,-9.95|0.52,0.24,-0.36,6.26,-23.40,-28.83
0.49,-0.15,0.03,18.37,-22.52,-1.21|0.05,-0.28,-0.03,-12.66,8.20,-73.41|0.34,0.25,-0.37,57.69,-37.85,-78.93
0.50,-0.14,0.04,6.90,-9.95,-0.82|0.13,-0.09,0.08,-30.95,-23.24,10.98|0.25,0.27,-0.39,28.17,0.34,25.98
0.48,-0.15,0.02,-2.63,0.29,-0.39|0.02,-0.25,0.01,2.76,-11.02,12.53|0.32,-0.03,-0.34,13.22,7.24,47.97
0.48,-0.14,0.02,-9.44,8.02,-1.99|0.10,-0.11,0.07,8.22,8.85,-43.18|0.31,0.05,-0.31,7.41,4.58,-4.02
0.48,-0.14,0.03,-21.63,15.50,1.50|0.15,0.06,0.08,-25.35,12.17,47.69|0.39,0.10,-0.33,17.60,12.30,50.40
0.48,-0.14,0.03,-39.79,25.15,7.56|0.02,-0.03,0.07,-31.81,-19.98,169.30|0.40,-0.07,-0.35,13.24,15.39,67.77
0.49,-0.15,0.05,-57.04,31.12,2.82|-0.10,-0.08,0.01,-15.69,1.32,130.56|0.33,-0.04,-0.18,7.97,37.26,76.31
0.45,-0.14,0.03,-79.02,38.69,-2.06|-0.08,-0.14,-0.01,-17.74,43.99,96.24|0.47,-0.04,-0.10,16.19,-0.15,55.48
0.47,-0.14,0.05,-96.48,40.65,-10.20|-0.12,-0.16,-0.05,-56.18,59.89,133.34|0.60,0.11,-0.24,8.93,-55.65,71.85
0.51,-0.14,0.04,-118.69,36.21,-14.08|-0.12,-0.23,-0.15,-91.47,65.80,160.22|0.53,0.17,-0.42,-8.94,-78.11,58.40
0.52,-0.18,0.03,-128.46,37.60,-16.37|-0.08,-0.22,-0.07,-109.57,69.84,148.54|0.38,0.22,-0.55,-47.60,-106.94,81.18
0.47,-0.19,0.03,-132.54,32.55,-11.13|-0.03,-0.20,-0.08,-114.66,61.67,155.44|0.22,0.20,-0.54,-61.59,-104.89,134.61
0.46,-0.20,0.05,-121.34,36.19,-11.18|-0.00,-0.16,0.00,-100.90,68.36,149.88|0.10,0.14,-0.54,-48.40,-86.05,134.74
0.46,-0.18,0.03,-110.37,34.63,-11.56|0.03,-0.13,0.03,-92.69,66.44,126.63|0.01,0.08,-0.45,-21.65,-59.75,129.35
0.48,-0.20,0.04,-99.66,35.60,-12.44|0.04,-0.07,0.20,-66.15,63.15,138.41|-0.07,0.07,-0.48,5.40,-16.18,104.79
0.46,-0.17,0.02,-83.93,36.51,-10.50|0.04,-0.08,0.15,-42.05,52.17,145.51|-0.06,-0.01,-0.39,1.03,18.65,69.16
0.43,-0.15,0.02,-73.31,31.81,-13.28|0.09,-0.08,0.23,6.52,27.39,178.48|-0.04,-0.05,-0.43,-26.32,52.95,24.03
0.41,-0.18,0.03,-69.93,28.24,-14.56|0.12,-0.17,0.03,33.94,-11.47,197.31|0.06,-0.11,-0.64,-44.59,104.49,-39.98
0.43,-0.20,0.10,-58.53,18.40,-5.11|0.23,-0.32,-0.28,37.80,-19.72,163.08|0.31,-0.05,-0.77,-36.39,92.15,-54.15
0.53,-0.22,0.08,-49.43,12.27,-3.11|0.29,-0.29,-0.33,11.94,-1.71,100.30|0.43,-0.06,-0.68,-54.21,36.18,9.33
0.57,-0.19,0.04,-49.24,14.58,-3.32|0.26,-0.25,-0.31,-21.23,20.06,54.08|0.46,0.08,-0.59,-38.15,-3.63,62.74
0.53,-0.14,0.07,-55.97,24.21,-3.64|0.20,-0.08,-0.33,-59.80,42.60,28.95|0.48,0.09,-0.56,-22.34,-23.50,112.11
0.47,-0.14,0.04,-64.08,26.82,-0.88|0.10,0.00,-0.30,-90.92,47.62,18.57|0.40,0.06,-0.56,2.12,-45.47,171.17
0.48,-0.11,0.03,-75.32,27.66,-2.57|0.03,0.01,-0.25,-98.82,39.92,33.62|0.27,0.01,-0.57,-24.31,-69.37,197.82
0.48,-0.10,0.04,-88.99,35.94,-9.85|-0.01,-0.05,-0.06,-74.13,29.13,28.40|0.13,-0.02,-0.61,-68.78,-59.32,192.85
0.49,-0.13,0.03,-103.24,40.36,-11.33|0.05,-0.11,0.08,-17.73,-8.11,14.63|0.05,-0.05,-0.63,-123.33,-11.14,151.48
0.48,-0.17,0.03,-109.93,40.66,-7.72|0.07,-0.15,0.12,51.72,-46.76,34.82|0.02,0.07,-0.52,-152.05,38.08,116.98
0.46,-0.18,0.04,-108.02,43.24,-6.68|0.10,-0.19,0.14,100.86,-53.06,29.09|0.03,0.19,-0.41,-174.60,51.79,126.70
0.44,-0.21,0.05,-102.91,39.54,-5.38|0.15,-0.30,0.25,110.68,-34.31,-5.15|0.06,0.14,-0.29,-167.85,70.31,152.88
0.43,-0.22,0.06,-87.66,35.77,-2.85|0.23,-0.18,0.14,94.36,-11.37,-14.33|0.10,0.11,-0.49,-77.35,40.23,161.95
0.43,-0.28,-0.10,-92.78,0.74,-5.01|0.20,-0.14,0.36,76.69,-41.50,52.89|0.01,0.00,-0.30,-61.63,77.10,103.27
0.42,-0.22,0.05,-63.66,18.98,-6.49|0.23,-0.07,0.16,29.18,7.45,-16.70|0.23,-0.15,-0.32,-60.76,-24.40,-62.60
0.41,-0.22,0.07,-46.92,16.10,-9.42|0.19,-0.25,0.09,-37.65,9.57,57.63|0.13,0.19,-0.64,-58.98,-3.21,20.37
0.44,-0.26,0.08,-28.14,0.63,-8.63|0.02,-0.33,0.01,-5.38,26.23,49.44|0.39,0.29,-0.38,-60.94,-3.73,35.90
0.45,-0.23,0.08,-15.98,-8.71,-2.92|0.14,-0.36,-0.03,14.22,38.64,-92.74|0.33,0.16,-0.35,18.14,-20.18,-22.08
0.47,-0.17,0.06,-15.79,-3.53,1.74|0.20,-0.14,0.11,-24.47,11.56,12.95|0.15,0.25,-0.55,12.21,-21.09,-21.39
0.47,-0.19,0.04,-15.15,-4.85,2.24|0.09,-0.36,-0.04,-36.11,16.78,39.11|0.19,0.18,-0.46,-7.27,14.18,58.21
0.45,-0.22,0.06,-8.44,-6.08,4.28|0.13,-0.20,0.08,-1.08,33.31,-53.47|0.24,0.04,-0.41,-5.17,13.58,0.86
0.45,-0.21,0.05,-1.40,-5.82,5.40|0.19,-0.13,0.10,3.89,16.18,-9.51|0.26,0.18,-0.40,-4.61,13.02,-17.85
0.45,-0.19,0.05,6.82,-3.90,3.83|0.22,-0.24,0.06,-3.82,13.21,4.44|0.33,0.18,-0.39,17.12,10.15,29.21
0.47,-0.22,0.07,4.21,-8.77,5.17|0.25,-0.19,0.04,-34.40,25.27,3.32|0.40,0.06,-0.45,53.64,-22.70,-14.18
0.47,-0.21,0.05,11.63,-9.87,2.08|0.17,-0.02,0.18,19.37,-17.99,44.33|0.14,0.05,-0.38,10.64,14.11,-52.98
0.40,-0.19,0.02,17.98,-12.82,-5.93|0.27,-0.28,0.13,-0.85,-10.40,17.94|0.17,0.05,-0.29,15.07,-13.19,-62.13
0.43,-0.22,0.08,26.05,-19.79,-11.27|0.26,-0.13,0.20,-81.18,32.16,-2.56|0.24,0.04,-0.29,92.95,-56.46,-74.43
0.44,-0.26,0.08,39.07,-25.66,-4.31|0.23,-0.33,0.12,-84.82,34.06,-9.94|0.14,0.21,-0.48,108.83,-58.91,-88.79
0.49,-0.25,0.06,58.36,-31.68,-1.51|0.24,-0.28,0.09,-84.09,19.24,-41.79|0.10,0.18,-0.63,141.20,-69.52,-67.74
0.47,-0.21,0.04,67.44,-36.80,-3.50|0.17,-0.16,0.05,-81.91,14.85,-28.59|0.10,0.09,-0.59,146.47,-49.76,-75.36
0.47,-0.21,0.04,71.79,-33.22,-4.56|0.15,-0.16,-0.05,-66.71,13.44,-29.38|0.07,-0.02,-0.60,92.79,-38.07,-88.85
0.45,-0.22,0.04,70.79,-28.19,-2.34|0.15,-0.07,0.02,-37.55,10.96,-52.36|0.08,-0.02,-0.51,85.21,-27.45,-81.38
0.47,-0.21,0.05,74.31,-31.83,0.11|0.06,0.03,0.07,10.06,4.64,-36.88|0.10,-0.03,-0.45,55.69,-10.27,-96.48
0.46,-0.20,0.03,78.31,-23.51,-1.76|0.03,0.04,0.18,37.57,4.18,-12.91|0.07,-0.09,-0.37,18.10,15.92,-129.44
0.46,-0.14,0.02,71.75,-20.96,-1.34|0.04,0.03,0.19,82.00,-27.53,43.83|0.05,-0.02,-0.31,-50.29,59.15,-179.34
0.42,-0.12,0.04,56.62,-17.62,-2.71|0.09,-0.06,-0.07,96.76,-48.47,58.06|0.23,0.08,-0.53,-76.94,54.55,-164.89
0.44,-0.14,0.08,41.17,-18.55,4.54|0.20,-0.22,-0.32,85.12,-44.50,42.79|0.36,0.13,-0.73,-69.15,31.79,-145.14
0.55,-0.20,0.07,34.07,-18.31,7.31|0.25,-0.33,-0.32,48.82,-34.55,12.61|0.37,0.15,-0.74,-14.61,21.06,-91.88
0.55,-0.21,0.07,44.96,-25.24,2.14|0.29,-0.44,-0.29,8.15,-14.96,-52.86|0.31,0.14,-0.76,29.42,8.11,-63.16
0.43,-0.22,0.08,68.80,-33.40,-2.37|0.24,-0.45,-0.21,-39.34,4.85,-129.31|0.24,0.04,-0.83,90.97,9.60,-53.82
0.42,-0.24,0.08,94.80,-36.44,-2.59|0.15,-0.37,-0.12,-74.92,2.47,-195.86|0.12,0.11,-0.77,147.77,7.69,-44.69
0.49,-0.26,0.06,112.24,-35.44,2.89|0.08,-0.26,-0.04,-72.85,-4.21,-233.05|0.10,0.09,-0.64,170.88,1.92,-49.41
0.46,-0.19,0.04,125.66,-36.18,3.27|0.07,-0.15,-0.10,-32.38,-5.81,-250.14|0.12,0.10,-0.58,130.41,-16.65,-56.98
0.43,-0.16,0.03,128.53,-42.51,4.32|0.01,-0.08,-0.06,35.08,-24.03,-239.07|0.17,0.10,-0.55,79.69,-27.21,-48.31
0.45,-0.17,0.03,124.08,-52.69,10.05|-0.15,-0.07,-0.09,96.98,-25.82,-248.35|0.21,0.02,-0.44,7.14,-10.25,-65.15
0.49,-0.18,0.03,123.30,-57.66,17.31|-0.17,0.02,0.04,154.86,-26.52,-225.26|0.21,0.07,-0.35,-53.27,23.56,-100.73
0.48,-0.14,0.01,119.52,-53.36,8.66|-0.22,-0.01,0.03,178.48,-23.05,-250.14|0.40,0.17,0.00,-69.80,19.02,-53.52
0.47,-0.14,0.01,108.79,-44.55,0.95|-0.14,-0.03,0.08,161.65,-3.72,-216.34|0.37,0.06,-0.27,-82.57,57.84,-51.65
0.50,-0.10,0.02,91.32,-34.90,-1.26|0.02,0.09,0.10,126.95,14.38,-202.84|0.34,0.05,-0.35,-60.17,88.47,-20.70
0.51,-0.09,0.03,71.31,-20.82,-2.08|0.13,0.05,0.12,104.79,-19.57,-55.25|0.36,-0.08,-0.05,-20.70,77.24,7.60
0.46,-0.09,0.03,41.87,-11.13,1.08|0.14,-0.15,0.14,29.43,25.94,-102.12|0.48,-0.11,-0.16,-11.34,2.38,-79.50
0.48,-0.14,0.07,28.76,-12.43,-0.31|0.17,-0.10,-0.05,3.11,-17.36,-25.19|0.36,0.14,-0.54,-29.55,-12.63,-85.85
0.50,-0.16,0.06,23.84,-18.57,-4.94|0.08,-0.36,-0.11,35.24,-61.69,18.25|0.48,0.35,-0.40,-3.40,-10.17,-18.21
0.50,-0.13,0.05,10.23,-15.08,1.31|0.12,-0.24,-0.04,18.71,-53.54,-24.41|0.42,0.17,-0.35,32.73,-25.96,-54.31
0.48,-0.12,0.03,-5.00,-7.32,3.69|0.15,-0.13,0.06,-31.27,-58.08,57.53|0.29,0.23,-0.44,39.82,-26.78,-36.42
0.47,-0.17,0.06,-9.31,-5.33,0.66|0.03,-0.31,0.00,-10.85,-20.93,29.88|0.26,0.13,-0.38,18.16,2.01,42.85
0.46,-0.17,0.05,-5.16,-2.97,-2.82|0.07,-0.14,0.05,14.61,6.18,-42.63|0.27,-0.02,-0.37,2.15,7.48,24.76
0.48,-0.15,0.04,-9.06,-1.37,-1.06|0.10,-0.09,0.11,15.44,20.10,-20.02|0.28,0.04,-0.32,-0.60,15.14,22.69
0.47,-0.14,0.03,-20.42,4.89,5.48|0.08,-0.23,-0.01,-11.15,28.08,23.34|0.38,0.07,-0.36,-1.69,38.01,59.50
0.47,-0.14,0.04,-33.66,8.07,7.85|0.09,-0.04,0.01,47.18,17.56,51.23|0.39,0.02,-0.31,14.92,51.00,122.66
0.49,-0.13,0.04,-46.18,17.20,3.15|-0.01,-0.07,0.15,51.44,9.93,69.24|0.42,-0.26,-0.08,37.53,51.13,68.47
0.48,-0.14,0.07,-67.82,23.61,-5.39|-0.02,-0.24,0.10,-78.92,45.22,121.95|0.50,-0.03,-0.03,43.24,-23.46,-45.97
0.49,-0.15,0.05,-81.14,32.79,-8.56|-0.09,-0.21,-0.04,-111.36,51.98,208.27|0.49,0.07,-0.24,29.61,-97.90,24.89
