0.09,0.00,0.01,71.82,4.50,2.24|0.07,0.01,0.06,7.95,-57.16,18.08|0.11,-0.01,-0.42,85.65,-56.91,89.50
0.09,-0.11,0.06,64.50,2.61,0.08|0.04,0.00,0.01,0.26,-46.90,2.10|0.12,-0.10,-0.39,64.02,-45.11,72.57
0.07,-0.13,0.04,39.09,1.98,0.00|0.07,0.13,0.02,35.34,-38.67,7.95|0.09,-0.12,-0.44,60.00,-34.95,57.15
0.07,-0.25,0.00,36.10,0.21,1.95|0.07,0.00,0.04,5.37,-23.45,0.01|0.07,-0.22,-0.46,35.70,-21.96,55.86
0.04,-0.25,0.02,4.40,-15.63,8.79|0.01,0.26,0.00,5.86,-15.35,7.86|0.04,-0.24,-0.50,4.98,-12.13,38.47
0.03,-0.22,0.19,-13.44,0.99,11.82|0.02,0.25,0.17,-14.14,1.05,4.18|0.03,-0.22,-0.52,-14.68,4.40,27.30
0.03,-0.12,0.06,-31.25,7.82,2.31|0.06,0.25,0.04,4.40,7.98,0.07|0.07,-0.11,-0.43,-25.74,8.49,19.50
0.09,-0.05,0.01,20.06,7.86,11.97|0.02,0.27,0.00,10.02,6.38,23.45|0.12,-0.09,-0.44,28.27,5.66,-11.18
0.14,-0.35,0.00,0.02,0.27,0.49|0.02,0.01,0.01,1.96,-46.41,125.74|0.15,-0.31,-0.46,0.04,-44.44,-110.41
0.28,-0.12,0.00,-44.76,12.34,2.22|-0.22,0.31,0.01,16.16,2.43,125.20|-0.18,-0.03,-0.22,-40.37,23.74,-118.00
0.01,0.25,0.03,31.33,7.95,8.32|0.01,0.22,0.00,31.40,4.91,0.00|0.07,0.19,-0.43,43.27,12.34,186.16
0.02,-0.75,0.05,-21.47,-11.16,1.97|0.04,0.01,0.00,-30.66,-15.62,26.38|0.03,-0.70,-0.71,-29.53,-4.12,44.87
0.24,0.17,0.00,0.50,-62.27,4.70|0.00,0.13,0.00,-62.53,-58.32,5.37|0.17,0.21,-0.54,-47.44,-58.45,56.37
0.05,-0.24,0.02,62.79,18.29,1.72|0.00,0.63,0.01,1.96,3.91,31.45|0.04,-0.30,-0.68,64.81,20.22,-31.98
0.00,-0.38,0.13,0.01,3.97,-167.76|0.11,0.13,0.19,-68.40,-54.35,1.47|0.11,-0.31,-0.32,-64.33,-49.29,-172.82
0.32,-0.05,0.01,-61.75,0.03,-140.61|-0.21,0.00,0.26,0.07,0.27,18.56|-0.13,0.06,-0.17,-55.57,12.10,-127.39
0.02,0.15,0.20,2.24,0.55,99.66|0.00,0.06,0.50,25.53,14.31,74.03|0.02,0.09,-0.32,-5.33,14.60,110.50
0.09,-0.31,0.16,4.02,0.27,39.33|0.08,0.20,0.04,0.54,5.75,36.21|0.09,-0.30,-0.34,-27.29,21.81,28.99
0.07,-0.11,0.13,9.31,0.26,-91.84|0.00,0.01,0.05,-22.47,32.44,1.95|0.07,-0.06,-0.38,-21.73,32.69,-84.72
0.06,0.00,0.00,17.93,0.98,-77.68|0.08,0.00,0.02,23.87,35.54,31.79|0.08,0.01,-0.45,-37.16,59.87,-71.08
0.09,-0.03,0.17,0.02,86.01,-93.27|0.09,0.14,0.16,0.26,70.36,8.31|0.12,-0.05,-0.52,-56.99,88.34,-97.34
0.16,-0.11,0.13,15.70,128.06,-159.67|0.04,0.00,0.13,22.60,7.82,86.63|0.16,-0.09,-0.59,-104.91,135.10,-166.64
0.25,0.00,0.13,3.91,109.47,-207.11|0.26,0.02,0.00,0.24,83.57,11.73|0.27,0.19,-0.38,-146.47,112.92,-203.98
0.33,0.14,0.00,15.63,141.74,-184.66|0.31,0.15,0.02,19.06,15.73,0.12|0.34,0.15,-0.48,-156.71,144.18,-187.11
0.44,0.32,0.14,19.57,97.71,0.37|0.44,0.09,0.06,49.04,32.03,0.56|0.44,0.36,-0.29,-201.86,91.17,-182.66
0.30,0.34,0.07,15.63,93.95,0.00|0.00,0.09,0.02,47.77,1.04,109.59|0.30,0.37,-0.39,-199.95,109.08,-135.91
0.38,0.58,0.04,8.18,99.24,0.26|0.39,0.57,0.00,12.23,113.34,43.06|0.39,0.59,-0.21,-173.33,116.25,-77.83
0.00,0.52,0.04,36.18,126.11,0.12|0.28,0.50,0.28,124.09,129.10,63.51|0.34,0.51,-0.20,-123.08,132.52,-30.30
0.36,0.49,0.13,33.11,129.73,1.04|0.30,0.13,0.26,41.53,126.55,64.82|0.35,0.49,-0.10,-65.00,128.16,-39.20
0.32,0.57,0.13,31.76,125.56,8.10|0.25,0.50,0.26,98.69,127.16,65.27|0.32,0.58,-0.08,-22.14,127.56,-3.37
0.31,0.47,0.13,0.01,97.96,11.73|0.25,0.06,0.31,16.61,68.64,12.03|0.32,0.47,-0.06,25.88,114.85,11.50
0.28,0.46,0.13,39.12,109.83,0.01|0.27,0.05,0.34,43.50,62.66,0.78|0.28,0.49,-0.03,44.59,109.47,19.40
0.25,0.50,0.00,34.96,93.80,2.93|0.07,0.50,0.01,38.60,63.60,4.05|0.26,0.51,0.01,54.71,96.67,44.18
0.00,0.44,0.04,38.85,67.66,2.08|0.07,0.07,0.03,19.14,66.45,31.40|0.24,0.44,0.03,54.17,76.18,39.21
0.00,0.46,0.03,33.32,50.81,0.24|0.06,0.07,0.02,5.87,0.98,17.92|0.25,0.46,0.04,44.94,57.21,26.04
0.01,0.47,0.00,31.30,33.37,3.53|0.26,0.09,0.50,31.82,33.25,16.03|0.25,0.46,-0.03,47.33,39.32,26.53
0.31,0.46,0.02,0.80,0.51,5.92|0.27,0.09,0.50,6.47,1.47,15.67|0.31,0.50,-0.12,70.32,19.59,22.54
0.01,0.53,0.05,35.31,0.52,5.86|0.39,0.50,0.25,31.32,1.22,18.20|0.41,0.56,-0.20,111.85,5.09,30.50
0.00,0.58,0.04,11.31,7.82,4.09|0.00,0.06,0.04,157.76,-178.56,31.35|0.40,0.59,-0.32,159.28,-20.11,51.67
0.42,0.66,0.00,15.69,12.72,1.22|0.41,0.17,0.00,189.56,-184.66,65.71|0.43,0.67,-0.24,216.22,-53.34,82.16
0.40,0.53,0.03,48.92,5.42,0.00|0.38,0.55,0.04,142.81,-246.12,64.02|0.39,0.56,-0.22,239.86,-90.97,95.11
0.33,0.01,0.16,59.81,1.47,4.95|0.26,0.13,0.10,118.89,-249.53,63.27|0.33,0.43,-0.27,249.97,-122.15,98.01
0.29,0.01,0.19,41.10,11.73,11.73|0.28,0.07,0.07,96.18,-248.23,70.61|0.28,0.32,-0.30,232.85,-123.19,74.82
0.21,0.02,0.16,18.16,0.49,0.24|0.20,0.01,0.06,80.73,-250.08,15.64|0.19,0.15,-0.28,204.53,-123.26,52.38
0.13,0.02,0.13,47.54,0.99,0.12|0.13,0.05,0.00,31.54,-119.08,20.52|0.16,0.04,-0.33,172.25,-118.81,53.79
0.17,0.00,0.14,54.90,1.95,5.15|0.05,-0.08,0.16,113.36,-116.51,34.20|0.19,-0.06,-0.33,119.69,-110.34,48.95
0.00,0.00,0.04,16.69,2.56,0.98|0.04,0.00,0.01,15.88,-101.10,-136.76|0.17,-0.11,-0.38,83.35,-96.00,-11.05
0.13,0.02,0.00,10.38,0.06,0.12|0.01,0.00,0.02,62.93,0.34,-113.33|0.14,-0.24,-0.41,71.63,-64.56,-36.47
0.19,0.00,0.01,0.31,-15.18,0.00|0.19,0.03,0.00,0.03,17.83,-123.93|0.19,-0.22,-0.49,20.76,-10.35,-31.94
0.21,0.01,0.00,3.93,0.37,0.05|0.20,0.26,0.00,1.10,16.87,0.01|0.20,-0.23,-0.47,-25.75,31.27,0.48
0.27,0.03,0.13,1.96,8.22,0.98|0.00,0.13,0.02,35.68,1.98,-62.52|0.29,-0.04,-0.35,-16.87,58.30,-23.73
0.06,0.06,0.13,0.12,1.04,0.28|0.00,0.01,0.26,74.33,-60.55,49.12|0.67,-0.23,-0.12,73.42,-68.04,-77.63
