0.44,0.12,0.06,27.64,-19.52,-20.54|-0.32,-0.12,0.08,-42.55,62.40,-60.59|0.53,0.27,-0.14,-8.95,15.44,-44.27
0.60,0.11,0.13,14.38,-12.98,1.56|-0.34,-0.27,0.06,-7.16,50.41,-2.05|0.38,0.27,-0.28,-32.75,-80.06,2.55
0.52,0.05,0.06,-11.06,-1.24,3.15|-0.26,-0.12,-0.04,-19.76,36.15,-16.88|0.37,0.16,-0.37,-7.11,-38.62,-7.92
0.54,0.15,0.07,-13.60,-10.72,5.21|-0.24,-0.22,0.05,10.05,33.67,17.44|0.38,0.30,-0.34,-51.52,-54.29,4.63
0.47,0.14,0.04,-16.41,-4.24,-9.76|-0.20,-0.27,0.04,-2.53,39.54,3.10|0.39,0.19,-0.37,-23.23,-31.73,16.33
0.49,0.12,0.08,-16.18,-2.31,-13.12|-0.20,-0.23,0.16,0.02,47.90,23.27|0.36,0.24,-0.34,-27.43,-41.92,12.15
0.49,0.13,0.06,-19.82,3.02,-8.72|-0.20,-0.23,0.15,-3.63,32.99,14.26|0.37,0.22,-0.33,-23.58,-29.78,27.54
0.51,0.10,0.06,-19.25,5.87,-7.33|-0.22,-0.30,0.10,-7.11,24.35,21.93|0.37,0.22,-0.34,-15.61,-35.76,22.09
0.52,0.10,0.06,-23.61,-1.28,-0.48|-0.20,-0.29,0.05,-18.66,33.97,25.26|0.39,0.22,-0.31,-27.66,-38.02,22.60
0.49,0.11,0.04,-25.97,-0.93,3.08|-0.25,-0.25,-0.09,-6.98,84.18,25.44|0.39,0.21,-0.35,-13.79,-63.10,48.05
0.48,0.11,0.04,-35.65,3.70,4.66|-0.23,-0.18,-0.07,-30.02,105.63,60.34|0.39,0.22,-0.36,-23.66,-79.41,40.69
0.49,0.11,0.06,-37.35,1.12,4.49|-0.21,-0.20,-0.01,-16.89,140.92,47.33|0.37,0.23,-0.21,-8.71,-139.34,65.51
0.48,0.12,0.07,-31.23,7.10,3.40|-0.04,-0.19,0.17,-2.29,168.03,63.98|0.12,0.10,-0.34,-20.95,-150.27,59.95
