0.49,0.12,0.13,5.37,-3.92,-2.78|-0.26,-0.31,0.21,6.22,60.04,-38.37|0.33,0.03,-0.40,-8.08,-8.29,-7.18
0.51,0.08,0.10,-4.09,-2.72,-0.99|-0.25,-0.37,0.11,5.76,54.06,6.20|0.31,0.04,-0.44,-2.02,-17.61,3.52
0.48,0.09,0.12,-6.52,-3.87,-2.70|-0.22,-0.44,0.14,-15.24,63.85,-29.18|0.32,0.04,-0.43,-8.79,-38.91,15.05
0.50,0.08,0.11,-2.82,-1.35,-7.96|-0.12,-0.37,0.16,-33.31,50.34,-27.33|0.28,0.06,-0.49,-18.92,-14.89,16.35
0.50,0.09,0.10,-7.40,4.95,-9.24|-0.09,-0.40,0.17,-109.05,63.80,-42.08|0.28,0.09,-0.45,-13.02,-5.07,9.89
0.50,0.09,0.10,-5.02,2.14,-14.73|-0.07,-0.17,0.14,-94.02,-12.81,3.05|0.27,0.07,-0.49,-13.62,5.39,9.74
0.50,0.06,0.12,-5.55,2.91,-12.02|-0.18,-0.19,-0.02,-85.33,-37.82,16.91|0.26,0.09,-0.46,3.38,15.53,2.79
0.49,0.07,0.11,1.50,1.77,-9.22|-0.14,-0.17,0.18,-57.06,-16.01,-53.82|0.29,0.01,-0.47,-11.69,24.63,-3.34
0.49,0.08,0.09,-3.04,-0.22,-5.82|-0.07,-0.05,-0.02,11.19,-69.04,-55.10|0.31,0.08,-0.45,-3.99,11.47,2.92
0.49,0.08,0.09,-0.49,3.51,-3.40|-0.20,-0.03,-0.12,108.15,-67.11,71.16|0.27,0.05,-0.47,9.23,6.99,4.10
0.48,0.05,0.15,-4.82,-8.77,-0.94|-0.20,-0.27,0.31,-38.82,-108.17,250.13|0.37,0.11,-0.27,17.05,-21.71,11.14
0.48,0.09,0.10,3.82,-2.56,-2.70|-0.74,-0.70,-0.01,139.42,79.41,-63.06|0.27,-0.02,-0.37,-11.91,-60.77,43.02
0.48,0.08,0.10,0.26,-9.01,-5.88|-0.32,-0.09,0.26,-21.64,158.12,-117.54|0.33,0.11,-0.29,-59.76,-103.84,42.54
0.51,0.12,0.09,-3.46,-6.64,-3.56|-0.25,-0.24,-0.17,-46.34,148.17,70.91|0.14,0.03,-0.50,-40.58,-126.25,82.43
0.50,0.12,0.10,-8.87,-2.68,1.28|-0.21,-0.27,-0.03,-50.47,189.88,73.73|0.16,0.04,-0.51,-91.83,-104.50,37.55
0.49,0.13,0.09,-17.05,-0.49,-0.32|-0.28,-0.15,-0.18,-55.52,207.81,108.05|0.16,-0.20,-0.55,-137.75,-110.11,74.45
0.48,0.16,0.08,-25.19,0.98,1.55|-0.07,-0.21,0.17,-40.65,217.37,108.56|0.10,0.12,-0.47,-174.18,-89.79,-5.73
0.47,0.16,0.08,-32.63,-0.86,7.31|0.07,-0.29,0.29,-22.01,203.85,122.52|0.16,0.78,-0.34,-170.05,-1.82,75.21
0.61,0.07,0.10,-44.42,-5.52,13.73|0.26,-0.13,0.46,-3.34,11.32,40.46|0.08,0.36,-0.66,36.40,80.95,48.24
0.49,0.14,0.09,-45.08,-3.76,10.25|0.12,-0.20,0.15,18.14,-132.22,-58.10|0.13,0.46,-0.55,116.63,119.87,46.62
0.51,0.13,0.08,-42.27,-4.63,1.56|-0.09,-0.33,0.23,-6.73,-196.01,-31.02|0.42,0.05,-0.24,178.79,54.77,71.96
0.53,0.07,0.10,-36.19,-13.44,-3.08|-0.34,0.08,-0.17,16.55,-165.18,-36.92|0.33,-0.10,-0.25,79.40,-56.27,30.60
0.52,-0.01,0.14,-29.28,-11.22,4.27|-0.29,-0.32,-0.17,13.39,-66.95,34.60|0.18,-0.14,-0.44,-54.33,-168.60,41.43
0.49,-0.03,0.11,-32.98,-7.05,5.89|-0.18,0.04,-0.28,16.13,42.75,26.18|0.03,0.10,-0.46,-109.24,-123.56,39.10
0.52,-0.02,0.13,-19.43,-2.36,-0.86|-0.03,-0.30,0.07,43.31,106.89,73.34|-0.07,0.15,-0.49,-153.92,-108.11,4.31
0.51,-0.06,0.12,-26.85,-6.71,4.37|-0.02,-0.31,-0.24,44.55,147.02,55.38|-0.12,0.32,-0.51,-169.13,-88.97,62.86
0.46,-0.06,0.10,-25.11,-1.43,-1.70|0.27,-0.22,-0.01,-8.79,152.02,119.99|-0.08,0.12,-0.55,-187.21,-71.55,-5.77
0.49,-0.01,0.13,-30.66,8.53,1.76|-0.02,-0.38,-0.03,-34.37,174.90,16.03|-0.07,0.43,0.05,-184.79,-72.29,-29.44
0.46,-0.06,0.10,-35.34,5.87,3.60|0.23,-0.01,0.43,23.01,238.61,150.74|-0.35,0.81,-0.39,-95.95,0.69,22.17
