0.46,-0.20,0.09,10.18,-9.17,-26.85|0.24,-0.02,-0.17,-115.04,13.36,34.16|-0.02,-0.17,-0.76,-138.94,-103.73,41.05
0.48,-0.10,0.09,12.45,-7.90,-21.60|0.20,0.17,-0.09,-202.95,46.37,21.84|0.05,0.12,-0.66,-127.15,-64.97,30.52
0.51,-0.02,0.09,2.76,-10.77,-25.53|0.43,0.38,0.40,-126.68,23.28,56.21|-0.05,0.18,-0.69,-102.52,11.01,27.28
0.54,-0.05,0.12,8.02,-10.09,-35.56|0.30,0.30,0.11,138.23,-136.73,-128.79|0.08,0.40,-0.20,-81.05,-15.47,-24.84
0.52,0.04,0.10,6.02,-9.57,-25.33|0.25,0.15,-0.20,178.77,-69.43,-73.77|-0.01,0.24,-0.44,64.85,103.45,-40.12
0.54,0.01,0.10,-1.56,-9.87,-22.85|0.10,-0.06,-0.18,177.69,-29.76,-26.48|0.24,0.19,-0.40,101.87,107.29,21.91
0.49,0.03,0.07,-11.03,-6.53,-14.13|0.10,-0.09,-0.07,202.10,-11.31,-66.37|0.34,-0.07,-0.44,100.28,71.60,-36.02
0.49,-0.01,0.08,-10.18,-3.96,-13.24|0.12,-0.12,0.19,209.59,-34.69,29.12|0.21,0.03,-0.41,83.76,109.85,10.64
0.50,0.03,0.07,-6.79,-2.52,-5.44|0.08,-0.47,0.33,133.05,-62.59,76.80|0.43,-0.30,-0.31,50.21,51.38,-16.75
0.52,0.03,0.08,-2.67,2.10,-9.08|-0.01,-0.47,0.25,95.98,-40.24,18.43|0.38,-0.13,-0.40,-29.20,-14.12,1.74
0.49,0.03,0.08,4.50,2.93,-12.44|0.03,-0.50,0.17,39.66,30.75,-21.41|0.31,-0.01,-0.49,-36.98,-22.92,13.03
0.49,0.04,0.08,4.93,1.06,-11.78|0.10,-0.34,0.06,13.95,15.00,4.00|0.25,-0.03,-0.55,-5.26,-1.48,17.99
0.50,0.04,0.08,4.98,-1.94,-6.07|0.08,-0.43,0.10,7.99,20.77,-8.82|0.26,-0.02,-0.44,11.83,15.81,-4.52
0.51,0.03,0.09,6.06,-1.46,-7.43|0.11,-0.39,0.17,15.60,-0.87,6.69|0.27,-0.06,-0.44,15.04,8.48,-3.57
0.50,0.06,0.08,5.44,-4.24,-1.98|0.10,-0.45,0.15,4.00,10.47,-19.85|0.31,-0.03,-0.39,13.37,-1.34,-6.25
0.48,0.04,0.08,4.12,-6.27,-0.51|0.11,-0.42,0.14,-12.55,11.12,-11.47|0.31,-0.08,-0.42,5.34,-2.48,-3.94
0.49,0.04,0.07,3.11,-3.49,1.49|0.09,-0.48,0.21,-40.87,13.88,-26.92|0.37,-0.10,-0.34,-27.39,-17.50,-8.78
0.51,0.04,0.09,-1.67,-0.45,2.93|0.11,-0.40,0.18,-105.95,7.17,1.08|0.42,-0.16,-0.30,-105.79,-50.01,-41.94
0.50,0.02,0.09,-0.99,0.68,2.06|0.08,-0.52,0.17,-153.92,4.92,-11.15|0.29,0.20,-0.35,-112.75,-130.63,34.53
0.50,0.03,0.07,-6.95,1.72,6.85|0.03,-0.31,-0.04,-242.82,37.35,6.48|0.16,-0.07,-0.53,-97.18,-138.82,14.18
0.51,0.07,0.08,-11.46,0.90,12.05|0.08,-0.07,-0.07,-250.14,70.60,44.87|0.09,0.13,-0.65,-104.82,-176.92,46.05
0.54,0.08,0.09,-7.94,2.69,13.15|0.18,0.26,-0.12,-201.65,78.28,63.09|0.22,0.10,-0.29,-78.65,-99.88,-5.21
0.46,0.07,0.10,-6.21,2.56,20.69|0.31,0.08,0.20,-4.29,2.66,1.00|-0.20,0.61,-0.43,92.58,25.13,-68.34
0.51,0.01,0.10,-14.63,4.13,31.92|0.23,0.15,-0.08,115.81,-32.43,-66.73|0.08,0.28,-0.46,106.56,151.40,32.71
0.51,0.02,0.09,-22.13,7.59,35.29|0.12,-0.06,-0.12,125.71,-8.94,-26.95|0.10,-0.16,-0.64,114.61,153.51,-102.92
0.51,-0.05,0.10,-26.21,12.10,35.02|0.21,-0.05,-0.03,113.73,-14.13,-47.84|0.21,0.28,-0.46,112.47,167.14,-32.82
0.49,-0.06,0.11,-24.32,8.43,42.15|0.13,-0.28,0.07,110.59,-26.92,-9.95|0.53,-0.31,-0.20,123.24,58.98,-4.28
0.57,-0.13,0.13,-28.97,15.73,43.15|0.21,-0.43,0.38,62.82,-23.86,-35.31|0.45,-0.17,-0.26,-50.76,-125.63,42.18
0.43,-0.19,0.06,-29.66,7.60,29.04|0.16,-0.26,0.03,-69.63,-4.11,0.68|0.22,-0.02,-0.60,-153.71,-178.72,69.44
0.43,-0.23,0.13,-18.49,-2.79,20.96|0.17,-0.19,0.14,-153.93,11.66,8.66|-0.02,0.18,-0.63,-169.56,-169.60,53.30
0.46,-0.20,0.11,-9.84,3.72,10.34|0.17,-0.02,0.00,-214.38,-4.47,-22.77|-0.11,0.09,-0.63,-153.96,-104.95,58.91
0.46,-0.18,0.11,-10.24,6.69,10.17|0.07,0.02,0.07,-250.14,6.63,38.44|-0.20,0.40,-0.53,-93.02,-72.31,3.02
0.46,-0.18,0.08,-17.84,4.56,7.44|0.20,0.53,0.13,-186.97,13.95,-1.25|0.01,0.09,-0.32,-92.44,-83.82,-49.65
0.52,-0.25,0.12,-13.63,5.64,2.90|0.14,0.25,0.08,92.91,-43.01,-67.13|-0.23,0.34,-0.30,-94.96,-147.38,-44.23
0.41,-0.10,0.14,-16.69,4.05,1.49|0.12,-0.01,-0.01,28.14,25.20,2.70|-0.26,0.36,-0.19,-68.18,-69.41,-47.47
0.44,-0.22,0.12,-16.40,3.26,0.04|0.14,0.16,0.07,-18.89,15.98,4.66|-0.25,0.43,-0.41,-51.45,-14.95,36.31
