0.53,-0.12,0.03,-18.54,-5.80,0.69|-0.42,-0.13,0.10,-34.14,80.83,34.78|-0.03,0.29,-0.50,-11.99,-37.90,26.06
0.50,-0.11,0.04,-18.99,0.34,-1.85|-0.33,-0.04,0.07,-30.55,88.45,55.75|-0.02,0.28,-0.52,-20.56,-36.48,26.24
0.47,-0.11,0.01,-16.98,2.91,-3.92|-0.34,-0.07,0.02,-20.79,79.12,68.12|-0.06,0.23,-0.51,-36.15,-23.06,21.30
0.49,-0.10,0.01,-17.95,3.30,-4.41|-0.31,-0.05,0.07,-13.69,96.98,70.90|-0.02,0.18,-0.40,-83.99,-23.85,14.38
0.48,-0.09,0.00,-22.18,2.09,-1.98|-0.31,-0.10,0.10,-19.51,106.45,85.85|-0.10,0.40,-0.31,-105.92,7.15,16.21
0.48,-0.07,0.03,-20.95,6.96,5.20|-0.25,-0.07,0.17,6.24,92.56,76.30|-0.09,0.54,-0.20,-13.27,50.87,34.66
0.53,-0.11,0.03,-24.60,6.91,7.05|-0.20,-0.19,0.22,54.93,-11.82,23.45|0.02,0.27,-0.36,-7.63,14.56,41.18
0.50,-0.10,0.01,-31.56,11.71,7.30|-0.14,-0.08,0.08,81.28,-56.89,-30.17|0.03,0.46,-0.47,49.49,-11.61,-9.47
0.50,-0.10,0.03,-33.11,12.44,8.34|-0.22,-0.16,0.17,83.95,-119.34,-53.01|0.01,0.40,-0.59,98.24,-3.96,2.12
0.51,-0.12,0.04,-27.62,14.44,-0.81|-0.37,-0.09,-0.01,84.99,-113.18,-35.34|-0.00,0.31,-0.44,105.94,32.30,-19.92
0.51,-0.15,0.04,-24.02,14.85,-11.63|-0.48,-0.22,-0.06,11.78,-4.12,40.70|0.06,0.13,-0.29,8.69,-47.37,23.31
0.50,-0.15,0.02,-29.34,10.44,-6.96|-0.28,-0.15,0.09,-12.33,26.67,31.84|-0.04,0.21,-0.43,-47.24,-80.63,33.49
0.45,-0.11,0.03,-31.95,11.24,-1.29|-0.32,-0.12,0.20,-17.22,-33.41,32.73|-0.05,0.26,-0.42,-57.88,-59.21,13.51
0.46,-0.15,0.04,-33.56,7.98,-8.12|-0.33,-0.23,0.10,-55.87,21.91,40.98|-0.09,0.39,-0.34,-94.92,-44.24,8.62
0.45,-0.19,0.04,-25.34,4.45,-7.56|-0.25,-0.09,0.06,-32.26,16.75,41.40|-0.10,0.40,-0.38,-61.21,-21.86,5.79
0.43,-0.18,0.06,-18.44,3.47,-1.00|-0.23,-0.11,-0.06,-30.99,32.25,33.34|-0.08,0.30,-0.29,-64.59,-25.54,4.11
0.46,-0.20,0.08,-18.57,2.36,2.03|-0.24,-0.13,-0.05,-49.69,54.55,35.73|-0.10,0.40,-0.04,-91.27,-40.05,6.37
0.54,-0.22,0.08,-11.47,2.87,8.69|-0.24,-0.10,0.08,-51.60,69.35,33.05|-0.21,0.60,-0.30,-18.67,-17.28,5.98
0.52,-0.21,0.06,-7.81,8.24,7.88|-0.17,-0.00,-0.06,15.31,-23.43,-42.15|-0.13,0.42,-0.32,-8.34,-28.40,20.02
0.44,-0.17,0.06,-6.71,8.20,7.60|-0.20,-0.05,-0.02,27.91,0.45,-7.66|-0.12,0.40,-0.30,-20.33,-24.37,-0.44
0.41,-0.19,0.06,-10.00,2.69,6.01|-0.26,-0.02,0.04,-5.15,14.73,-22.11|-0.12,0.43,-0.32,-27.51,-26.15,2.57
0.45,-0.22,0.06,-10.28,-1.21,6.02|-0.23,-0.00,0.08,-5.18,24.51,0.49|-0.13,0.44,-0.20,-18.82,-4.98,-1.99
0.45,-0.21,0.06,0.17,-5.48,6.55|-0.19,-0.03,0.07,2.50,3.11,3.80|-0.16,0.46,-0.22,-16.27,7.08,11.92
0.44,-0.19,0.05,7.02,-7.50,2.53|-0.19,-0.04,0.02,6.01,0.27,7.95|-0.16,0.41,-0.24,-10.29,11.46,1.22
0.43,-0.19,0.07,-1.88,-12.18,2.79|-0.19,-0.10,-0.05,-10.73,8.56,-0.77|-0.19,0.53,-0.31,13.13,24.96,-1.02
0.52,-0.23,0.09,2.63,-13.02,4.12|-0.18,-0.09,-0.03,-25.81,10.62,-13.73|-0.20,0.54,-0.33,54.92,22.82,-13.32
0.53,-0.23,0.08,10.65,-10.65,2.07|-0.15,-0.07,-0.00,-11.24,1.91,-40.53|-0.14,0.49,-0.26,90.11,56.72,0.84
0.45,-0.20,0.06,16.76,-9.98,-2.62|-0.14,-0.03,0.13,21.36,-53.41,-67.89|-0.08,0.35,-0.23,74.87,60.41,-22.73
0.44,-0.20,0.04,14.95,-5.39,-1.15|-0.23,-0.08,0.15,77.81,-89.59,-71.27|-0.07,0.34,-0.30,53.76,25.07,-38.07
0.43,-0.20,0.05,14.15,-5.64,2.30|-0.34,-0.12,0.09,100.15,-96.91,-42.92|-0.04,0.34,-0.30,48.02,23.53,-22.84
0.44,-0.19,0.05,14.24,-1.98,0.01|-0.41,-0.20,0.04,16.98,-28.16,4.49|-0.07,0.34,-0.39,31.34,28.29,-21.69
0.48,-0.16,0.05,11.83,-2.85,-4.22|-0.33,-0.16,0.05,-20.82,5.81,5.69|-0.04,0.33,-0.39,39.82,16.77,-33.46
0.48,-0.17,0.04,10.74,-5.13,-2.90|-0.31,-0.13,0.26,-10.20,-15.95,16.88|-0.02,0.26,-0.38,9.13,-14.79,-14.24
0.47,-0.18,0.06,12.81,-10.18,-6.62|-0.38,-0.26,0.03,-52.19,25.11,12.18|-0.08,0.25,-0.47,-39.29,-39.05,11.63
0.46,-0.18,0.05,13.18,-11.79,-12.78|-0.29,-0.12,0.03,-58.54,52.63,19.09|-0.11,0.32,-0.47,-53.34,-24.66,6.18
0.45,-0.20,0.05,15.53,-12.24,-9.93|-0.25,-0.09,-0.01,-38.60,62.29,23.10|-0.12,0.36,-0.44,-52.47,-0.18,4.25
0.50,-0.19,0.03,10.87,-10.27,-6.09|-0.29,-0.14,-0.01,-31.25,74.78,21.88|-0.11,0.38,-0.36,-30.34,8.36,6.53
0.48,-0.16,0.05,9.27,-13.02,-5.94|-0.23,-0.11,-0.03,-63.08,84.08,12.05|-0.14,0.33,-0.23,-52.23,-4.20,-18.14
0.48,-0.17,0.08,7.55,-5.07,-1.60|-0.19,-0.13,0.13,-64.92,84.60,8.96|-0.20,0.60,-0.33,15.44,-8.65,-17.98
0.52,-0.22,0.05,10.55,-0.19,3.10|-0.13,-0.04,0.12,-8.40,-14.34,-67.38|-0.07,0.38,-0.28,18.96,24.40,15.05
0.47,-0.18,0.05,11.86,-6.77,3.27|-0.12,-0.01,0.11,16.73,-60.30,-71.72|-0.06,0.29,-0.33,27.72,-7.56,-12.27
0.44,-0.14,0.05,17.00,-2.73,0.03|-0.24,-0.07,0.18,35.61,-117.98,-102.06|-0.11,0.39,-0.40,25.04,-8.56,-20.84
0.42,-0.12,0.01,17.38,-5.89,-3.44|-0.30,-0.01,0.17,59.69,-140.98,-57.25|-0.10,0.26,-0.41,33.63,2.53,-15.99
0.42,-0.10,0.02,14.44,-14.08,-6.36|-0.41,-0.19,0.11,40.63,-93.05,0.81|-0.11,0.28,-0.52,22.35,45.06,-32.19
0.52,-0.16,0.05,14.11,-10.76,-10.69|-0.40,-0.22,0.09,16.82,-31.63,-4.10|-0.05,0.29,-0.44,19.71,76.04,-26.56
0.57,-0.14,0.04,6.44,-18.05,-3.60|-0.29,-0.19,0.38,53.06,-59.31,-19.45|-0.02,0.20,-0.48,-37.83,40.12,-5.08
0.52,-0.11,0.05,1.95,-3.82,-6.72|-0.49,-0.26,0.13,18.76,-80.02,-7.97|-0.03,0.38,-0.45,-22.21,14.11,-6.90
0.48,-0.10,0.05,-1.18,-1.31,-10.21|-0.44,-0.22,0.24,14.84,-19.53,-19.38|-0.02,0.31,-0.43,6.93,12.79,-1.30
0.48,-0.10,0.02,0.32,-4.34,-10.10|-0.41,-0.16,0.24,-7.37,-4.95,-2.11|-0.02,0.23,-0.43,-9.47,18.69,3.21
0.47,-0.07,0.01,-5.21,-1.27,-9.31|-0.44,-0.22,0.24,-13.45,18.55,10.74|-0.01,0.28,-0.44,-20.90,26.14,5.24
