0.19,0.13,0.14,1.95,0.73,-62.00|0.21,0.19,0.13,4.66,-171.48,0.24|0.23,0.27,-0.58,-118.05,-16.25,-26.52
0.07,0.00,0.00,73.29,-4.75,16.74|0.04,-0.26,0.01,90.20,-171.91,17.60|0.06,-0.03,-0.75,-28.73,1.97,45.59
0.21,0.02,0.16,17.96,0.02,-45.60|0.21,0.00,0.00,0.04,23.82,4.64|0.21,0.10,-0.52,25.12,24.33,-9.44
0.15,0.00,0.02,2.24,31.40,-23.44|0.05,0.00,0.07,0.05,35.22,-60.55|0.19,0.01,-0.40,40.62,34.53,-25.46
0.25,0.07,0.05,4.95,3.18,-15.51|0.01,0.02,0.00,13.34,7.88,-61.43|0.26,0.11,-0.40,28.60,9.40,-5.94
0.43,0.07,0.20,16.61,-54.68,1.02|0.16,0.01,0.00,3.98,2.99,2.56|0.42,0.07,-0.29,18.77,-64.52,37.71
0.00,0.03,0.19,-58.56,0.02,0.02|0.21,-0.49,0.03,-124.85,62.53,76.21|0.24,-0.23,-0.55,-59.95,-129.14,90.99
0.14,0.13,0.16,-156.20,0.00,0.49|0.02,0.00,0.00,-246.23,1.49,2.45|0.14,0.02,-0.59,-151.35,-91.31,14.80
0.03,0.05,0.13,-169.03,0.00,14.14|0.01,0.13,0.01,-187.35,47.31,8.08|0.09,0.15,-0.54,-168.94,-67.91,-0.18
0.03,0.02,0.01,-187.60,-54.03,0.13|0.00,0.30,-0.47,-186.63,62.69,16.63|-0.02,0.38,-0.47,-141.18,-50.82,18.47
0.01,0.14,0.09,-117.24,-7.79,16.19|0.00,0.44,-0.35,-240.31,99.94,62.92|0.04,0.47,-0.32,-78.91,-1.66,-7.95
0.42,0.16,0.00,16.22,32.25,15.63|0.10,0.17,0.02,0.12,1.00,50.84|-0.03,0.67,0.00,41.51,32.63,51.21
0.44,0.05,0.06,136.79,80.24,24.67|0.22,0.00,0.03,140.84,11.79,16.47|0.00,0.44,-0.39,144.47,91.80,59.44
0.00,0.04,0.03,222.78,0.85,0.56|0.06,0.02,0.00,0.00,23.45,8.31|0.08,0.13,-0.51,224.21,87.24,26.40
0.14,0.04,0.00,219.40,105.68,2.04|0.02,0.38,-0.73,94.07,45.01,-61.73|0.14,-0.11,-0.70,230.03,109.65,-47.85
0.13,0.01,0.17,197.44,148.90,0.71|0.13,-0.33,-0.84,76.25,126.10,8.14|0.18,-0.30,-0.84,199.21,161.38,-146.59
0.09,-0.66,0.03,109.56,142.67,7.82|0.41,-0.24,-0.03,79.76,137.37,7.82|0.55,-0.22,0.04,103.36,142.22,-72.79
0.38,0.13,0.16,4.01,16.28,0.02|0.44,-0.20,0.00,15.73,13.94,0.00|0.43,-0.09,-0.38,-42.60,-81.37,84.98
0.32,0.00,0.07,-77.44,-70.11,54.91|0.32,-0.25,0.06,35.73,0.00,31.40|0.35,-0.14,-0.41,-73.79,-70.56,55.01
0.32,0.02,0.10,-108.15,-119.21,74.47|0.25,0.01,0.03,-111.36,2.00,0.31|0.35,0.07,-0.38,-111.71,-125.37,82.91
0.31,0.05,0.13,-155.82,-186.81,125.24|0.05,-0.12,-0.37,-166.08,0.12,26.67|0.30,-0.08,-0.39,-159.48,-189.26,123.13
0.11,0.08,0.09,-214.96,0.98,0.00|0.02,-0.02,-0.50,-222.69,62.66,11.89|0.11,-0.01,-0.36,-189.35,-184.13,40.53
0.06,0.07,0.13,-164.15,0.55,11.85|0.05,0.07,0.02,-241.22,66.44,10.14|0.06,0.12,-0.36,-163.37,-181.91,12.46
0.54,0.19,0.13,-154.32,2.23,36.11|-0.09,0.14,-0.48,82.12,-163.96,-76.35|-0.04,0.23,-0.36,-134.21,-158.92,-3.02
0.38,0.01,0.20,-164.07,2.21,47.05|0.01,0.27,-0.27,-138.08,2.45,-14.25|-0.10,0.30,-0.25,-128.64,-122.66,-8.22
0.29,0.32,0.16,-109.01,3.92,62.67|0.00,0.08,-0.30,-121.04,17.75,-30.74|-0.13,0.33,-0.27,-96.30,-105.08,-10.13
0.30,0.27,0.13,-117.11,-84.86,4.40|0.03,0.03,-0.04,-124.95,31.51,5.86|-0.15,0.28,-0.04,-118.31,-86.38,8.15
0.13,0.38,0.01,-108.93,-74.14,15.73|0.03,0.19,-0.15,-124.08,43.48,0.03|-0.34,0.49,-0.14,-89.18,-61.92,15.67
0.10,0.59,0.24,-62.01,0.00,31.27|0.09,0.13,0.16,-61.98,40.08,35.30|-0.38,0.63,-0.27,-42.10,-20.90,38.47
0.05,0.54,0.09,1.28,-12.68,12.21|0.06,0.00,0.09,0.01,0.01,8.03|-0.44,0.54,-0.42,2.55,-12.26,6.41
0.07,0.52,0.00,0.98,0.15,0.01|0.00,0.15,0.04,37.18,7.85,0.49|-0.42,0.71,-0.45,41.24,9.20,9.70
0.13,0.56,0.13,1.50,4.47,0.12|0.14,0.07,0.00,94.06,15.82,16.94|-0.36,0.59,-0.37,102.09,53.86,24.82
0.19,0.37,0.13,7.88,6.85,0.06|0.13,0.24,0.01,8.09,87.24,0.06|-0.27,0.49,-0.35,136.73,88.66,25.20
0.31,0.26,0.19,7.84,4.56,23.57|0.06,0.03,0.01,0.15,71.33,7.82|-0.18,0.36,-0.30,169.89,103.97,25.80
0.38,0.25,0.13,0.40,0.29,-43.85|0.00,0.00,0.00,63.63,127.46,-15.47|-0.10,0.28,-0.35,196.48,128.25,-11.36
0.38,0.13,0.06,15.63,140.77,-56.17|0.02,0.00,0.00,67.42,125.12,5.89|-0.05,0.19,-0.39,210.89,141.08,-48.93
0.00,-0.08,0.00,9.28,129.35,-109.44|0.00,-0.03,0.00,62.56,134.02,5.86|0.04,-0.04,-0.47,194.20,137.63,-82.05
0.09,-0.13,0.03,31.27,140.72,-163.97|0.10,-0.12,-0.50,50.93,148.76,7.92|0.09,-0.13,-0.46,177.32,147.17,-132.67
0.45,-0.23,0.09,23.57,24.19,-85.98|0.51,-0.21,0.16,0.02,12.11,-61.55|0.54,-0.19,0.19,4.73,-2.91,-49.18
0.23,0.01,0.00,10.76,-163.85,96.40|0.16,-0.25,-0.59,-181.92,23.94,0.03|0.21,-0.23,-0.56,-186.40,-161.44,94.48
0.13,-0.06,0.13,0.56,-77.62,-23.39|0.00,-0.13,-0.60,-245.13,49.24,3.55|0.13,-0.00,-0.61,-224.76,-74.08,-10.76
0.03,0.01,0.14,-216.64,-37.05,-51.77|0.03,0.20,-0.72,-246.11,28.46,12.70|0.06,0.25,-0.55,-205.95,-30.37,-32.79
