0.48,0.07,0.10,-17.06,3.95,2.01|0.02,-0.37,0.88,1.09,2.76,24.79|-0.22,0.34,-0.25,28.32,36.18,103.08
0.49,0.04,0.10,-28.63,9.27,7.39|0.03,-0.38,0.88,-6.50,10.88,8.52|-0.10,0.19,-0.28,67.23,100.83,93.31
0.53,0.07,0.13,-17.53,10.65,7.93|0.04,-0.37,0.86,-12.87,14.00,-2.69|0.02,0.24,-0.12,74.74,117.52,41.06
0.50,0.04,0.12,-22.22,0.19,6.01|0.01,-0.33,0.91,-12.51,14.54,-20.10|-0.08,0.27,-0.32,71.56,175.63,64.10
0.49,0.04,0.13,-20.08,10.37,-0.13|0.02,-0.27,0.90,-17.45,17.08,-26.86|0.09,0.24,-0.27,70.48,224.05,20.57
0.51,0.05,0.13,-12.90,-1.09,4.47|0.01,-0.30,0.93,-18.69,13.21,-19.95|0.04,0.01,-0.27,-7.74,250.13,-81.25
0.46,-0.02,0.12,-13.65,-1.44,-0.91|0.00,-0.31,0.95,-33.10,26.27,-17.58|0.12,0.31,-0.07,-81.98,250.13,-142.71
0.52,0.02,0.11,0.24,7.39,-0.80|0.03,-0.29,0.92,-40.03,19.83,-19.68|0.37,0.21,0.18,-182.93,250.13,-150.12
0.50,-0.01,0.18,11.40,-13.72,2.10|0.01,-0.32,0.96,-46.48,11.73,4.54|0.44,0.69,0.27,-127.50,238.56,-88.87
0.47,0.04,0.11,21.94,4.82,8.09|0.02,-0.34,0.90,-62.68,14.54,23.39|0.71,0.39,0.65,-125.19,207.29,-81.70
0.52,0.03,0.12,22.69,-9.53,8.24|0.01,-0.41,0.86,-64.85,4.05,14.32|0.43,0.69,0.40,-79.75,102.66,-103.01
0.49,0.06,0.12,21.56,-1.37,5.38|0.07,-0.35,0.79,-57.02,12.81,23.45|0.36,0.40,0.36,-56.30,89.02,-63.39
0.51,0.02,0.11,20.57,1.20,4.87|0.19,-0.73,0.84,-52.49,49.16,-53.08|0.41,0.47,0.46,-5.56,31.05,-65.24
0.52,0.03,0.10,14.68,0.45,9.60|0.29,-0.44,0.90,-30.80,13.37,-89.47|0.27,0.38,0.18,-19.85,-17.88,-68.70
0.47,0.04,0.11,17.42,5.02,4.19|0.35,-0.77,1.00,-98.29,-68.21,-92.84|0.19,0.53,0.23,6.51,-43.39,-0.66
0.53,0.00,0.12,8.37,9.40,1.83|0.29,-0.72,1.00,-165.72,-168.24,-123.34|0.14,0.39,0.26,4.85,-12.83,8.46
0.48,0.01,0.14,7.63,6.14,0.99|0.16,-0.67,0.87,-166.47,-248.60,-132.30|0.13,0.42,0.24,0.40,6.25,5.56
0.48,0.04,0.13,-0.44,6.53,1.78|0.10,-0.53,0.79,-173.02,-250.14,-155.31|0.15,0.40,0.30,-1.62,9.47,30.57
0.50,0.03,0.16,-16.15,-1.01,-1.11|0.05,-0.27,0.64,-155.42,-250.14,-100.44|0.12,0.38,0.29,-0.86,-1.50,9.69
0.50,0.02,0.14,-22.28,0.46,-0.71|-0.03,-0.19,0.45,-132.39,-250.14,-15.63|0.12,0.36,0.32,-4.15,-15.47,8.21
0.50,0.00,0.16,-22.21,0.70,-0.07|-0.24,-0.09,0.70,-118.02,-250.14,105.98|0.10,0.37,0.26,-3.67,-12.38,-14.11
0.50,-0.03,0.13,-17.25,0.03,1.66|-0.30,-0.10,0.08,-60.48,-250.14,133.27|0.11,0.38,0.25,-18.15,-13.29,-14.39
0.49,-0.01,0.14,-7.63,-5.78,3.78|-0.18,-0.19,0.26,-26.43,-201.86,166.99|0.13,0.42,0.21,-17.79,-10.95,-23.76
0.49,0.02,0.14,-5.82,-3.66,1.93|-0.05,-0.22,0.22,-34.00,-121.32,161.56|0.15,0.44,0.25,-9.37,-7.27,-12.25
0.47,0.00,0.12,0.34,3.57,-1.69|-0.15,-0.24,0.19,-7.31,59.63,27.81|0.15,0.43,0.24,-2.73,-2.82,-6.54
