0.50,-0.07,0.13,54.96,-4.36,21.17|0.59,-0.44,0.79,-75.02,-94.45,-179.94|0.16,0.42,-0.26,-54.45,206.89,-125.85
0.50,-0.05,0.13,43.56,-4.78,18.18|0.67,-0.30,0.82,-5.63,-150.16,-222.92|0.43,0.50,-0.04,-69.80,233.37,-156.34
0.52,-0.04,0.14,35.76,-0.05,20.17|0.60,-0.32,0.65,53.18,-169.83,-222.73|0.31,0.57,0.13,-94.09,249.19,-94.70
0.46,-0.04,0.16,18.65,-8.43,17.40|0.51,-0.21,0.52,124.90,-156.47,-250.14|0.43,0.58,0.24,-82.47,165.72,-47.03
0.51,-0.09,0.17,7.92,-1.45,24.20|0.32,-0.06,0.49,199.95,-148.21,-203.94|0.28,0.35,0.21,-90.48,105.07,-39.44
0.47,-0.07,0.11,-3.85,-4.08,28.58|0.18,-0.01,0.49,227.30,-144.89,-68.08|0.28,0.49,0.30,-103.53,56.28,-60.26
0.48,-0.08,0.12,-10.96,-3.11,26.65|0.13,-0.06,0.46,205.89,-158.97,14.83|0.22,0.47,0.24,-66.95,2.24,-61.36
0.47,-0.09,0.11,-13.06,-0.75,12.93|0.15,-0.16,0.34,141.45,-145.37,86.36|0.20,0.60,0.27,-35.31,7.82,-48.83
0.49,-0.10,0.12,-13.20,-4.51,7.39|0.19,-0.26,0.25,66.24,-113.57,51.58|0.18,0.49,0.21,-15.29,-0.75,-38.02
0.47,-0.12,0.10,-6.62,-5.24,3.09|0.23,-0.28,0.16,47.69,-63.97,13.18|0.16,0.50,0.20,-9.99,2.88,-18.90
0.48,-0.13,0.10,-1.72,-6.78,0.40|0.25,-0.19,0.06,15.44,-22.55,-5.47|0.15,0.43,0.19,-8.73,7.27,8.27
0.49,-0.10,0.11,0.31,-5.98,1.11|0.24,-0.27,0.05,-2.49,3.41,-14.19|0.11,0.47,0.19,-12.20,23.75,6.95
0.48,-0.11,0.11,-1.85,-3.59,-1.20|0.23,-0.17,0.11,-16.18,6.72,-9.75|0.10,0.44,0.22,-9.49,23.75,29.38
0.48,-0.10,0.11,0.49,-0.98,-4.07|0.21,-0.17,0.12,-28.40,26.91,-1.56|0.10,0.45,0.23,-1.92,21.67,15.78
0.49,-0.12,0.10,3.58,-0.82,-6.73|0.17,-0.11,0.22,-32.56,39.69,8.35|0.11,0.43,0.25,4.51,11.10,20.53
0.48,-0.10,0.12,4.24,1.08,-10.53|0.14,-0.20,0.20,-56.03,70.99,20.86|0.17,0.44,0.24,8.91,2.18,0.23
0.49,-0.10,0.11,0.95,3.35,-13.56|0.25,-0.11,0.33,-76.96,78.63,29.07|0.21,0.49,0.24,14.43,0.49,22.80
0.49,-0.08,0.12,-7.95,5.59,-18.69|0.21,-0.20,0.19,-83.29,110.12,85.37|0.34,0.50,0.30,24.18,-28.37,57.95
0.47,-0.09,0.11,-13.41,2.13,-18.35|0.33,-0.16,0.21,-77.27,130.07,82.08|0.37,0.50,0.29,29.28,-60.03,67.26
0.50,-0.08,0.14,-23.02,7.78,-22.24|0.31,-0.22,0.28,-59.69,149.60,162.82|0.40,0.54,0.28,30.82,-106.60,84.67
0.49,-0.04,0.16,-38.38,6.98,-24.15|0.33,-0.29,0.24,-27.89,156.88,141.57|0.40,0.61,0.29,36.18,-126.21,140.15
0.51,-0.07,0.11,-45.35,13.46,-25.96|0.43,-0.28,0.42,-7.78,199.67,182.37|0.41,0.53,0.27,28.15,-175.52,144.23
0.47,-0.05,0.19,-64.05,11.63,-28.12|0.35,-0.45,0.47,52.44,226.32,120.20|0.53,0.51,0.23,20.62,-193.94,163.31
0.49,-0.06,0.13,-57.91,9.63,-20.93|0.42,-0.39,0.69,67.03,244.14,114.53|0.50,0.43,0.20,-8.91,-215.17,208.85
0.48,-0.06,0.17,-56.76,6.79,-23.80|0.33,-0.39,0.75,103.44,250.13,41.44|0.48,0.26,0.07,-64.82,-188.99,203.79
0.50,-0.03,0.15,-45.07,0.20,-25.68|0.33,-0.35,1.00,109.47,207.69,70.68|0.36,0.17,0.03,-133.11,-198.05,184.51
0.47,-0.04,0.16,-36.06,0.95,-39.21|0.24,-0.38,1.00,108.20,169.52,51.80|0.24,0.07,0.04,-186.58,-205.47,92.07
0.51,-0.04,0.14,-22.48,-2.85,-33.39|0.22,-0.36,1.00,78.10,116.64,26.48|0.07,0.11,-0.03,-168.82,-203.14,-49.77
0.45,-0.04,0.11,-23.85,-0.74,-25.34|0.33,-0.32,1.00,53.31,71.84,65.16|0.04,0.25,-0.18,-108.66,-186.29,-58.56
0.50,-0.01,0.12,-22.58,-5.40,-10.11|0.17,-0.12,0.91,25.17,-96.26,250.13|0.01,0.35,-0.37,-60.68,-107.31,-0.16
0.50,-0.02,0.13,-12.00,-3.48,-4.90|0.06,-0.88,0.72,6.74,-18.73,-35.31|0.05,0.28,-0.41,-36.58,-48.79,-1.29
0.50,0.00,0.12,-6.84,1.45,-3.34|0.17,-0.14,0.89,13.19,4.96,-35.20|0.16,0.24,-0.36,-11.61,-22.22,11.97
0.49,-0.00,0.13,-6.63,0.82,1.59|0.05,-0.38,0.90,20.69,4.32,-23.82|0.16,0.28,-0.43,-6.56,-13.32,1.74
0.50,-0.02,0.14,-10.06,0.09,3.07|0.04,-0.26,0.93,23.41,6.11,-52.56|0.22,0.24,-0.42,-7.40,-5.02,-5.10
0.50,-0.01,0.13,-7.37,-0.46,4.24|0.05,-0.22,0.95,8.89,-6.40,-9.29|0.22,0.27,-0.41,-1.75,1.96,-3.77
0.49,-0.02,0.14,-2.85,-2.17,5.28|0.07,-0.28,0.94,-5.47,-17.35,21.82|0.22,0.25,-0.38,4.11,10.17,-2.79
0.50,-0.02,0.13,0.35,0.19,8.36|0.11,-0.31,0.92,-15.84,-12.34,20.73|0.16,0.24,-0.38,14.66,18.79,-8.18
0.48,-0.01,0.13,4.84,-1.54,8.69|0.18,-0.36,0.95,-45.37,-23.86,13.26|0.15,0.23,-0.31,31.44,37.99,-23.97
0.48,-0.06,0.12,14.37,-4.47,10.89|0.24,-0.46,0.96,-79.82,-26.10,-34.02|0.14,0.27,-0.34,57.45,50.44,-49.60
0.51,-0.04,0.12,22.47,-2.50,16.66|0.31,-0.44,0.97,-118.07,-72.66,-70.80|0.16,0.22,-0.28,77.95,77.60,-45.08
0.50,-0.05,0.12,28.02,-1.85,18.57|0.34,-0.57,0.88,-149.70,-109.41,-97.74|0.11,0.22,-0.37,72.32,121.64,-92.95
0.50,-0.02,0.12,37.63,0.67,16.67|0.41,-0.38,0.81,-151.98,-147.18,-121.24|0.27,0.28,-0.18,70.92,151.63,-106.15
0.49,-0.06,0.14,41.36,-5.52,19.17|0.44,-0.57,0.80,-141.02,-161.10,-148.70|0.16,0.24,-0.32,59.22,147.45,-118.89
0.49,-0.03,0.15,36.11,2.91,20.92|0.44,-0.44,0.69,-110.15,-162.91,-169.97|0.38,0.44,-0.11,36.51,202.79,-150.40
0.49,-0.03,0.17,41.61,-5.88,24.86|0.46,-0.33,0.67,-84.31,-171.60,-216.63|0.18,0.30,-0.27,19.08,216.93,-132.07
0.47,-0.06,0.17,28.02,-6.68,18.08|0.38,-0.22,0.46,-20.02,-164.08,-215.97|0.44,0.45,-0.06,-14.87,200.28,-159.19
0.50,-0.05,0.15,25.20,-6.34,19.61|0.41,-0.08,0.38,58.33,-134.29,-207.54|0.35,0.41,0.10,-68.77,226.44,-136.47
0.47,-0.07,0.17,13.80,-10.56,16.57|0.36,0.02,0.32,139.78,-114.94,-168.74|0.40,0.52,0.21,-90.83,198.06,-110.97
0.50,-0.07,0.15,3.17,-3.78,15.79|0.30,0.04,0.36,160.79,-87.21,-53.69|0.38,0.60,0.30,-84.37,140.31,-56.25
0.47,-0.09,0.15,-5.61,-8.79,22.08|0.22,-0.07,0.33,183.07,-74.89,-39.95|0.37,0.42,0.28,-57.94,86.70,-35.78
