0.50,-0.18,0.05,13.43,4.27,8.46|-0.45,-0.73,-0.06,-42.62,21.30,-49.85|0.32,0.45,0.20,-19.72,-21.05,-35.50
0.45,-0.23,0.07,13.19,-1.11,-7.86|-0.27,-0.20,0.14,-18.48,89.92,-250.14|0.30,0.45,0.18,5.96,-3.67,17.86
0.48,-0.15,0.05,11.76,-6.69,-2.55|-0.08,0.04,0.22,-20.13,-1.62,63.15|0.29,0.35,0.20,2.18,2.18,24.19
0.48,-0.11,0.03,-5.36,-3.78,0.61|-0.19,-0.36,0.08,-20.23,-20.09,125.46|0.27,0.36,0.21,4.73,-4.66,6.61
0.46,-0.11,0.05,-17.42,0.61,-7.69|-0.13,-0.33,0.13,-11.76,18.21,3.82|0.27,0.34,0.23,7.88,-14.86,4.35
0.47,-0.16,0.06,-24.82,3.56,-8.01|-0.08,-0.14,0.16,-1.08,37.47,-28.78|0.28,0.31,0.23,3.31,-20.92,-3.65
0.49,-0.19,0.06,-24.02,6.40,-10.07|0.04,0.02,0.18,-13.13,40.31,5.83|0.30,0.34,0.21,-5.62,-19.44,-14.66
0.48,-0.16,0.05,-30.31,8.60,-10.66|-0.02,-0.08,0.23,-63.10,95.80,31.67|0.30,0.36,0.21,-6.20,-16.49,-15.85
0.45,-0.16,0.05,-47.24,3.83,-8.30|-0.06,-0.25,0.29,-60.24,130.20,41.44|0.30,0.36,0.23,-10.47,-14.80,-23.36
0.47,-0.14,0.08,-58.55,6.69,-11.50|-0.12,-0.34,0.18,8.12,135.92,8.34|0.27,0.45,0.21,2.44,-22.73,-13.59
0.50,-0.15,0.05,-62.82,9.92,-17.12|-0.08,-0.24,0.25,99.15,136.11,35.90|0.23,0.41,0.19,8.42,-29.58,-16.66
0.50,-0.16,0.04,-68.15,12.39,-16.72|-0.19,-0.30,0.27,181.76,101.70,86.18|0.18,0.41,0.13,11.95,-25.15,-23.61
0.47,-0.13,0.03,-73.51,11.01,-13.07|-0.20,-0.51,0.36,250.13,99.02,127.35|0.22,0.44,0.19,21.82,-23.22,-31.27
0.47,-0.15,0.05,-76.08,14.21,-13.37|-0.11,-0.60,0.37,250.13,120.72,153.96|0.24,0.43,0.09,34.69,-25.16,-47.90
0.50,-0.16,0.02,-72.22,16.82,-14.04|-0.23,-0.79,0.43,250.13,109.41,165.12|0.29,0.51,0.09,48.87,-24.39,-23.70
0.48,-0.13,0.01,-61.89,12.15,-14.36|-0.20,-0.83,0.70,226.31,133.06,144.79|0.35,0.53,0.13,49.24,-37.73,-16.04
0.50,-0.20,0.06,-55.73,13.95,-15.61|-0.21,-0.86,0.58,101.57,166.18,163.61|0.44,0.51,0.06,73.26,-75.82,12.14
0.52,-0.14,0.06,-52.00,1.33,-13.79|-0.10,-0.81,0.41,39.91,195.24,112.53|0.55,0.60,0.03,89.76,-116.95,62.89
0.53,-0.11,0.07,-60.31,13.40,-15.59|-0.19,-0.73,0.47,-2.46,208.97,49.94|0.59,0.63,0.00,95.32,-181.69,154.50
0.50,-0.10,0.05,-70.03,24.15,-17.91|-0.25,-0.52,0.56,-20.81,187.53,-23.00|0.40,0.60,-0.16,76.92,-225.52,232.89
0.47,-0.14,0.06,-65.42,26.68,-19.66|-0.36,-0.40,0.56,-11.46,127.75,-25.17|0.32,0.43,-0.24,87.92,-242.53,250.13
0.46,-0.16,0.06,-51.55,17.53,-17.49|-0.27,-0.36,0.64,8.50,51.92,-35.61|0.25,0.30,-0.42,71.66,-203.21,250.13
0.46,-0.17,0.06,-37.64,10.13,-10.42|-0.22,-0.33,0.64,43.15,-8.66,-31.60|0.30,0.23,-0.46,-26.85,-115.24,217.31
0.50,-0.15,0.07,-24.90,3.10,-6.69|-0.22,-0.44,0.61,80.12,-52.66,-31.56|0.20,0.30,-0.46,-133.74,-48.47,224.18
0.49,-0.16,0.06,-20.55,-0.18,-7.55|-0.20,-0.43,0.59,108.02,-66.38,-36.36|0.26,0.31,-0.22,-229.83,-7.92,180.39
0.48,-0.16,0.06,-16.91,2.55,1.71|-0.20,-0.53,0.52,126.27,-54.89,-43.69|0.12,0.15,-0.09,-250.14,-15.92,120.02
0.46,-0.16,0.06,-13.34,1.15,9.20|-0.14,-0.47,0.63,129.89,-45.77,-49.98|0.29,-0.21,0.15,-228.56,-77.84,-111.74
0.44,-0.22,0.09,-9.88,0.20,-1.55|-0.10,-0.37,0.69,111.20,-31.08,-44.29|-0.07,0.20,-0.47,108.51,-78.66,-250.14
0.46,-0.21,0.08,-5.67,6.25,3.34|-0.11,-0.49,0.72,56.30,-3.24,18.93|0.07,0.82,-0.46,-9.65,-61.06,-12.65
0.50,-0.15,0.06,-5.50,3.53,8.75|-0.10,-0.53,0.67,22.40,3.66,19.23|0.12,0.22,-0.37,-1.44,6.23,160.25
0.47,-0.18,0.08,-3.10,-5.13,2.58|-0.11,-0.45,0.73,-4.12,27.65,-11.26|0.21,0.10,-0.33,10.25,-18.09,-80.76
0.47,-0.16,0.07,5.76,-5.41,1.48|-0.10,-0.34,0.77,-23.46,-0.82,-3.06|0.08,0.08,-0.35,26.92,-18.91,-130.48
0.46,-0.18,0.08,12.03,-4.14,0.50|-0.15,-0.35,0.77,-34.41,-10.86,24.90|-0.02,0.19,-0.25,91.25,-32.38,-122.11
0.45,-0.18,0.06,16.06,1.11,7.18|-0.15,-0.35,0.78,-23.05,-31.47,27.82|-0.01,0.30,-0.22,151.01,-12.82,-52.74
0.46,-0.15,0.08,27.01,-1.47,16.60|-0.14,-0.41,0.78,-18.16,-42.31,39.98|0.05,0.25,-0.16,147.94,14.69,-33.50
0.47,-0.16,0.08,34.85,-9.29,18.24|-0.10,-0.40,0.82,-31.67,-49.49,25.05|0.08,0.24,-0.46,121.00,26.39,-57.89
0.50,-0.19,0.07,47.36,-28.56,12.87|-0.13,-0.49,0.78,-55.98,-45.48,47.95|0.11,0.28,-0.56,59.24,120.25,-101.15
0.50,-0.15,0.09,49.69,-26.39,10.86|-0.11,-0.52,0.72,-92.66,-35.02,41.18|0.01,0.28,-0.69,-46.50,229.55,-127.09
0.44,-0.18,0.07,53.89,-31.99,7.83|-0.15,-0.52,0.67,-133.91,-28.71,27.18|0.05,0.23,-0.55,-85.91,250.13,-125.34
0.47,-0.20,0.07,52.87,-28.80,8.18|-0.18,-0.46,0.56,-148.48,-34.95,27.08|0.08,0.17,-0.24,-145.94,250.13,-222.19
0.48,-0.19,0.06,50.36,-21.01,10.89|-0.14,-0.44,0.49,-136.70,-26.86,12.70|0.14,0.52,0.13,-203.12,250.13,-250.14
0.43,-0.22,0.06,54.72,-19.95,6.86|-0.11,-0.53,0.45,-102.18,-0.34,-5.15|0.21,0.50,0.25,-250.14,250.13,-134.60
0.43,-0.21,0.07,54.85,-23.94,6.47|-0.09,-0.79,0.34,-96.55,30.44,-35.20|0.35,0.73,0.40,-227.27,205.09,-57.14
0.53,-0.21,0.08,53.69,-21.89,17.48|-0.04,-0.92,0.34,-171.67,43.11,-105.76|0.28,0.57,0.32,-100.09,167.90,55.00
0.56,-0.19,0.04,40.63,-23.70,9.95|-0.03,-0.93,0.25,-230.82,42.64,-157.93|0.33,0.75,0.77,-72.85,113.85,28.56
0.49,-0.14,0.08,53.74,-12.56,5.63|-0.08,-0.69,0.28,-250.14,42.55,-229.49|0.28,0.28,0.40,24.79,70.02,91.07
0.43,-0.14,0.09,48.96,4.27,-3.06|-0.11,-0.53,0.26,-214.83,47.60,-250.14|0.21,0.31,0.33,10.60,46.37,13.77
0.46,-0.17,0.07,30.60,6.31,-5.46|-0.08,-0.34,0.29,-130.40,24.61,-250.14|0.17,0.39,0.35,21.36,4.39,41.96
0.48,-0.15,0.06,16.69,6.94,6.11|0.03,-0.18,0.22,-38.14,-27.93,-242.79|0.17,0.33,0.34,5.80,-26.61,40.11
0.46,-0.13,0.07,8.87,3.08,7.03|0.08,-0.13,0.22,63.77,-43.71,-203.92|0.18,0.28,0.32,5.10,-37.98,16.76
