0.02,0.06,0.09,-117.13,-31.15,20.09|0.04,0.06,0.08,57.16,238.17,20.19|0.23,0.35,0.47,-61.31,-4.01,20.11
0.00,0.06,0.00,-81.59,-61.28,32.75|0.27,0.31,0.53,-19.24,201.85,12.09|0.27,0.43,0.54,-15.18,-51.37,61.30
0.00,0.02,0.09,35.27,-109.19,33.42|0.31,0.16,0.58,32.32,129.33,40.06|0.32,0.41,0.59,41.33,-113.18,40.23
0.00,0.02,0.06,0.01,-171.77,41.91|0.13,0.25,0.06,16.06,63.69,24.47|0.42,0.40,0.43,86.57,-178.06,58.98
0.43,0.07,0.01,3.04,0.01,72.85|0.13,0.47,0.03,8.19,0.24,62.82|0.44,0.48,0.29,105.02,-232.33,94.56
0.41,0.08,0.06,17.84,0.00,158.44|0.03,0.45,0.08,22.53,0.00,125.09|0.41,0.48,0.21,124.60,-250.14,171.21
0.00,0.04,0.07,17.83,0.00,192.50|0.00,0.37,0.06,35.18,0.00,127.09|0.38,0.37,0.07,113.61,-250.14,201.94
0.00,0.00,0.13,31.37,7.82,219.91|0.09,0.01,0.53,33.40,40.18,187.98|0.35,0.31,-0.11,103.91,-207.71,223.21
0.27,0.04,0.03,16.73,1.16,248.62|0.01,0.04,0.54,62.53,31.84,210.04|0.29,0.23,-0.20,79.06,-191.95,250.13
0.22,0.01,0.03,64.87,4.42,197.44|0.16,0.02,0.50,78.69,6.37,189.79|0.22,0.06,-0.20,85.73,-148.27,191.37
0.48,-0.02,0.13,-35.67,7.90,-2.25|0.17,-0.43,0.50,-36.12,3.59,-18.77|0.17,-0.05,-0.22,85.43,-100.57,142.80
0.51,-0.01,0.12,-16.10,4.11,-1.31|0.20,-0.40,0.49,-22.36,-1.75,-4.92|0.19,-0.14,-0.17,44.56,-70.36,131.37
0.49,-0.00,0.13,-6.35,-1.47,1.80|0.23,-0.45,0.49,-9.94,-6.50,17.72|0.26,-0.30,-0.27,3.78,-45.46,119.60
0.48,-0.01,0.12,4.63,-9.63,2.66|0.25,-0.43,0.48,-3.23,-3.96,8.53|0.30,-0.47,-0.26,-109.38,-58.47,119.44
0.51,-0.01,0.14,20.47,-12.98,0.04|0.28,-0.42,0.48,6.40,-9.76,12.53|0.22,-0.53,-0.29,-241.20,-76.94,89.66
0.49,0.01,0.13,28.50,-15.79,-1.96|0.28,-0.42,0.49,22.60,-18.99,8.79|0.12,-0.34,-0.38,-250.14,-90.17,-62.35
0.51,0.04,0.13,28.15,-10.79,-4.89|0.28,-0.46,0.47,30.28,-39.07,10.27|0.24,0.23,-0.30,-250.14,-85.39,-135.37
0.49,0.07,0.11,20.60,-6.97,-4.66|0.24,-0.49,0.43,40.27,-43.19,-11.36|-0.16,0.28,-0.21,-250.14,-61.07,-108.68
0.48,0.07,0.11,3.46,-6.83,8.18|0.23,-0.48,0.40,48.66,-36.85,-10.34|-0.11,0.58,-0.09,-163.21,29.60,110.63
0.50,0.04,0.12,-6.68,-2.43,12.61|0.22,-0.51,0.40,55.02,-25.50,-18.98|0.01,0.27,-0.23,-35.48,53.44,67.79
0.51,0.02,0.08,-7.13,-2.60,12.69|0.22,-0.42,0.42,54.52,-11.04,-32.82|0.04,0.38,-0.24,-35.55,123.93,57.03
0.50,0.01,0.11,12.40,-7.84,3.74|0.20,-0.39,0.48,57.64,1.33,-9.96|0.16,0.41,-0.12,-42.50,172.32,88.64
0.47,-0.01,0.11,25.66,-9.98,3.51|0.18,-0.42,0.51,53.85,9.64,-5.18|0.22,0.33,-0.12,-44.15,247.24,13.73
0.49,-0.01,0.11,39.75,-6.30,9.62|0.15,-0.40,0.57,62.03,20.08,11.38|0.21,0.30,-0.26,-94.76,250.13,-65.31
0.50,0.00,0.07,39.95,-8.87,11.48|0.18,-0.43,0.56,71.08,39.01,17.56|0.30,0.49,-0.06,-137.52,250.13,-101.41
0.51,-0.00,0.06,49.88,-3.73,10.12|0.17,-0.47,0.63,64.80,52.64,32.12|0.21,0.70,0.23,-137.19,250.13,32.25
0.49,-0.02,0.11,58.25,-9.17,14.18|0.20,-0.44,0.65,65.44,64.14,14.65|0.24,0.47,0.29,-81.63,250.13,73.85
0.48,0.02,0.06,60.56,-7.95,14.15|0.20,-0.45,0.73,43.65,49.10,18.23|0.20,0.66,0.57,2.08,250.13,148.44
0.54,-0.03,0.09,65.27,-1.87,10.76|0.22,-0.42,0.74,39.71,46.14,29.73|0.20,0.38,0.75,73.88,250.13,220.56
0.50,0.01,0.09,68.84,-5.19,12.94|0.25,-0.55,0.78,11.72,11.55,-2.69|0.19,0.46,0.66,135.39,196.77,183.20
0.03,0.30,0.00,1.04,9.06,7.82|0.08,0.00,0.51,133.40,125.19,5.39|0.08,0.34,0.53,137.42,137.47,196.10
