0.53,-0.02,0.15,122.78,-2.65,24.53|0.46,-0.58,0.56,-111.40,-135.70,-120.61|0.14,0.50,0.57,20.11,250.13,221.12
0.04,0.00,0.13,2.32,8.15,22.03|0.00,0.00,0.13,1.72,78.41,93.89|0.11,0.32,0.62,42.83,204.42,250.13
0.04,0.01,0.03,31.44,0.03,19.72|0.02,0.01,0.00,0.32,127.05,7.89|0.05,0.25,0.53,36.24,129.27,250.13
0.08,0.01,0.00,4.40,48.00,0.12|0.06,-0.25,0.00,3.97,31.33,0.15|0.12,-0.22,0.48,3.58,40.13,129.67
0.03,0.07,0.14,2.03,-9.95,7.83|0.06,0.25,0.30,1.06,-15.47,-249.65|0.06,0.29,0.42,-0.04,-11.43,-67.47
0.00,0.01,0.13,35.27,0.24,0.06|0.01,0.38,0.26,-30.74,7.94,15.79|0.06,0.36,0.39,-26.21,-22.47,59.98
0.10,0.00,0.13,4.89,10.76,36.68|0.05,0.00,0.02,5.13,0.37,0.06|0.12,0.13,0.44,-25.72,-33.44,28.14
0.13,0.07,0.13,-19.53,10.02,-38.60|0.13,0.19,0.00,106.64,-60.54,-220.33|0.14,0.20,0.44,-15.63,-52.41,-32.92
0.14,0.13,0.13,-31.24,0.65,-30.02|0.15,0.19,0.39,200.98,-58.58,-250.02|0.15,0.19,0.44,-15.67,-58.09,-31.21
0.16,0.02,0.16,-46.75,0.12,-61.56|0.00,0.03,0.28,235.04,-104.17,-244.76|0.15,0.15,0.40,-14.56,-65.44,-63.85
0.13,0.01,0.01,-62.53,0.81,2.48|0.02,0.09,0.03,228.34,-82.08,-116.76|0.14,0.22,0.35,-22.50,-64.98,-82.05
0.16,0.00,0.00,-62.53,7.83,2.04|0.00,0.25,0.00,212.87,-56.05,11.79|0.16,0.32,0.35,-38.00,-46.94,-61.38
0.14,0.00,0.02,-54.53,-31.26,-35.08|0.02,0.25,0.33,198.50,-27.11,19.79|0.19,0.31,0.33,-51.31,-25.63,-33.19
0.19,0.00,0.01,-62.49,-11.66,-29.19|0.00,0.00,0.00,0.01,3.98,-60.21|0.19,0.31,0.34,-59.44,-9.81,-23.56
0.17,0.04,0.01,-61.50,-5.67,-27.33|0.01,0.25,0.00,-61.37,49.47,-58.60|0.17,0.25,0.35,-56.50,-5.25,-27.51
0.00,0.07,0.13,-54.47,-11.48,-43.36|0.13,0.13,0.13,-53.86,96.76,-46.35|0.14,0.21,0.38,-53.92,-8.47,-45.19
0.11,0.07,0.13,-61.97,-15.44,-69.80|0.03,0.06,0.13,-61.85,129.47,52.00|0.12,0.20,0.38,-59.47,-11.27,-71.10
0.10,0.06,0.13,-120.06,-15.45,-87.82|0.06,0.02,0.25,1.95,143.10,44.95|0.11,0.21,0.39,-70.65,-7.44,-80.19
0.09,0.06,0.13,-74.26,-10.71,-93.56|0.05,0.16,0.32,31.76,204.04,132.91|0.12,0.22,0.44,-70.95,-1.79,-79.79
0.13,0.03,0.14,-121.15,5.37,-55.21|0.02,0.05,0.13,6.05,8.07,196.04|0.15,0.30,0.46,-54.04,9.14,-49.25
0.23,0.02,0.00,-78.04,17.16,23.45|0.22,0.03,0.00,63.57,28.07,27.90|0.23,0.27,0.51,-1.00,28.56,30.69
0.01,0.00,0.15,56.98,-29.07,31.82|0.32,0.13,0.00,58.63,159.18,33.10|0.32,0.21,0.71,60.34,-24.05,31.98
0.03,0.13,0.05,31.32,-93.21,66.46|0.25,0.14,0.50,21.98,173.19,1.04|0.38,0.40,0.69,119.13,-80.57,73.17
0.02,0.00,0.11,132.92,-156.06,62.73|0.26,0.01,0.06,166.13,109.93,64.06|0.41,0.56,0.58,170.37,-140.00,89.31
0.51,0.05,0.13,125.60,-180.18,161.60|0.01,0.13,0.13,156.60,67.88,125.85|0.51,0.39,0.46,226.81,-185.49,177.47
0.00,0.03,0.02,105.54,-232.40,195.43|0.16,0.48,0.02,137.10,18.11,136.79|0.41,0.48,0.30,231.66,-231.37,202.71
0.02,0.04,0.02,135.94,6.11,237.69|0.00,0.31,0.10,131.04,31.76,158.31|0.31,0.30,0.11,157.01,-218.17,250.13
0.15,0.00,0.04,4.03,8.07,241.30|0.01,0.03,0.02,60.60,10.44,167.91|0.13,0.16,0.01,56.52,-205.39,250.13
0.22,0.00,0.03,-105.25,4.23,245.66|0.08,0.00,0.05,-61.56,99.05,155.77|0.24,-0.01,0.06,-48.70,-151.09,250.13
0.26,-0.23,0.13,-166.52,0.50,247.78|0.01,-0.50,0.72,-179.42,62.84,187.27|0.29,-0.25,-0.01,-147.64,-160.17,250.13
0.19,0.01,0.05,-250.14,-156.31,247.81|0.14,-0.49,0.52,-250.14,0.07,226.14|0.20,-0.23,-0.19,-250.14,-152.59,250.13
0.01,0.00,0.00,0.00,-104.17,79.27|0.01,-0.49,0.50,-250.14,-100.61,70.72|0.00,-0.40,-0.26,-250.14,-97.31,62.61
0.11,-0.01,0.13,0.00,-34.17,-67.54|0.13,0.03,0.54,0.00,-62.43,20.40|0.13,0.08,-0.34,-250.14,-34.67,-63.98
0.23,0.02,0.03,0.00,42.08,-89.40|0.00,0.03,0.50,0.00,31.39,3.94|0.21,0.26,-0.10,-250.14,48.93,-91.63
0.47,0.06,0.00,0.29,28.34,-146.56|0.25,0.50,0.00,0.17,0.08,8.79|0.01,0.71,0.41,-211.83,19.05,-119.17
0.07,0.04,0.00,-71.51,31.76,4.15|0.00,0.02,0.50,39.42,34.06,17.22|0.07,0.48,-0.40,-66.02,34.73,87.69
0.00,0.01,0.00,0.73,0.02,11.79|0.11,0.00,0.51,31.79,62.67,0.00|0.11,0.30,-0.23,-11.16,65.15,41.66
0.00,0.01,0.00,0.13,0.78,0.04|0.13,0.00,0.50,24.67,101.68,31.57|0.15,0.25,-0.24,-6.03,106.55,30.85
0.19,0.00,0.00,9.91,160.26,15.15|0.19,0.08,0.50,8.15,7.86,13.25|0.19,0.24,-0.19,-23.42,166.34,11.52
0.21,0.03,0.00,31.30,2.02,3.94|0.13,0.02,0.50,26.03,16.12,-30.78|0.20,0.28,-0.18,-68.95,187.39,-29.79
0.27,0.01,0.13,14.66,0.99,7.95|0.02,0.02,0.63,4.65,32.05,-77.79|0.27,0.31,-0.03,-114.40,219.06,-69.81
0.13,0.03,0.01,67.73,249.85,4.43|0.00,0.52,0.02,-140.44,12.05,-46.84|0.13,0.55,0.05,-133.89,250.13,-30.92
0.23,0.03,0.09,74.77,244.86,15.83|0.05,0.11,0.20,-171.45,244.29,10.26|0.24,0.60,0.20,-126.27,250.13,93.40
0.00,0.01,0.13,1.97,242.72,7.98|0.19,0.50,0.13,-92.82,208.39,136.87|0.19,0.52,0.48,-78.17,250.13,141.53
0.00,0.02,0.00,62.89,242.69,8.85|0.19,0.44,0.51,-123.11,188.76,125.80|0.18,0.45,0.63,-33.72,250.13,201.50
0.52,0.02,0.16,100.58,0.79,28.32|0.53,-0.44,0.58,-76.02,-84.47,-131.74|0.09,0.45,0.76,69.33,250.13,250.13
0.50,0.04,0.11,100.08,3.66,38.17|0.49,-0.54,0.55,-44.49,-109.05,-201.60|0.10,0.18,0.78,175.74,187.32,250.13
0.52,0.08,0.13,87.60,10.89,33.25|0.48,-0.39,0.45,-2.87,-117.21,-243.79|0.07,0.23,0.80,209.38,123.66,250.13
0.49,0.04,0.14,74.24,8.89,28.58|0.41,-0.22,0.35,27.65,-90.29,-250.14|0.21,-0.16,0.55,112.37,27.35,136.68
0.48,0.02,0.15,65.94,7.86,21.37|0.36,-0.19,0.30,47.46,-55.52,-250.14|0.16,0.21,0.48,85.31,-8.76,82.37
0.49,0.05,0.17,50.30,6.02,18.50|0.34,-0.03,0.27,71.21,-18.52,-250.14|0.15,0.22,0.43,58.47,-40.11,3.93
0.49,0.06,0.15,36.69,0.47,12.10|0.39,0.09,0.38,142.30,-39.24,-250.14|0.10,0.24,0.36,29.79,-54.34,-40.56
0.48,0.06,0.11,25.37,-3.01,11.91|0.45,0.35,0.44,250.13,-38.37,-250.14|0.11,0.24,0.34,-11.15,-45.88,-4.54
0.50,0.03,0.19,-9.34,-8.44,12.30|0.22,0.42,0.29,250.13,-56.78,-183.50|0.14,0.13,0.35,-46.18,-41.48,-31.27
0.50,0.01,0.11,-12.86,0.43,24.55|0.29,-0.05,0.26,250.13,-75.42,74.50|0.14,0.24,0.36,-60.31,-28.00,-70.05
0.52,-0.05,0.11,-4.32,-6.13,30.97|-0.13,-0.28,0.62,250.13,-83.97,191.73|0.15,0.33,0.36,-79.18,-10.92,-32.98
0.40,-0.02,0.12,2.58,-7.29,8.11|-0.10,-0.34,0.52,194.60,-23.47,-96.47|0.15,0.29,0.38,-92.89,-5.31,-24.88
0.48,0.01,0.11,17.27,-7.07,-3.97|-0.06,-0.36,0.22,90.92,30.48,-43.20|0.14,0.32,0.37,-99.16,3.81,-33.17
0.50,-0.01,0.14,9.92,-1.98,-9.29|0.05,-0.36,0.25,45.68,93.87,-94.84|0.15,0.31,0.38,-110.08,22.99,-17.88
0.52,-0.01,0.13,1.08,-3.59,-8.15|0.18,-0.32,0.32,23.48,138.56,-53.69|0.13,0.25,0.42,-105.55,23.05,-22.86
0.50,0.05,0.13,-15.73,-5.39,-9.05|0.18,-0.25,0.28,32.12,173.85,-28.61|0.09,0.23,0.46,-100.76,26.25,-17.43
0.49,-0.01,0.12,-27.73,-2.08,-12.92|0.25,-0.39,0.44,37.58,171.48,50.12|0.10,0.20,0.46,-70.51,20.15,-26.08
0.50,0.06,0.11,-34.63,-3.81,-22.56|0.22,-0.35,0.43,68.02,231.11,77.15|0.11,0.18,0.48,-45.60,16.40,-23.02
0.49,-0.00,0.12,-46.73,-8.42,-32.71|0.23,-0.53,0.49,72.36,199.71,112.26|0.14,0.17,0.50,-16.15,5.74,-28.68
0.51,0.08,0.11,-55.59,-8.21,-38.23|0.28,-0.50,0.53,94.82,250.13,101.08|0.18,0.21,0.53,15.15,-1.13,10.73
0.50,0.01,0.12,-55.69,-12.63,-46.24|0.27,-0.85,0.79,47.34,250.13,62.25|0.26,0.16,0.65,81.50,-21.64,44.32
