0.63,0.16,0.15,113.01,-8.44,16.42|-0.04,-0.37,1.00,-2.11,-52.07,113.06|0.51,-0.39,-0.26,205.43,-250.14,-169.56
0.48,0.03,0.09,123.30,-5.13,-0.01|-0.07,-0.27,0.80,-1.92,-42.32,102.67|0.14,-0.32,-0.23,164.82,-250.14,-64.20
0.30,0.07,0.01,118.61,8.56,7.13|-0.08,-0.23,0.72,0.46,-26.64,95.74|-0.04,-0.46,-0.28,-21.23,-207.05,-104.23
0.30,0.11,-0.05,112.93,12.92,8.82|-0.07,-0.20,0.74,-2.57,-34.10,94.82|-0.14,-0.29,-0.12,-89.56,-134.50,-144.81
0.40,0.12,0.03,114.84,18.53,1.16|-0.13,-0.23,0.77,-16.25,-61.61,128.13|-0.29,-0.20,-0.23,-147.27,-54.45,-183.77
0.34,0.12,0.05,107.85,1.44,-0.84|-0.10,-0.27,0.80,-29.03,-58.92,116.44|-0.24,0.19,-0.33,-197.55,36.62,-108.64
0.59,0.10,0.17,88.15,19.60,3.57|0.07,-0.37,1.00,-9.79,-77.92,128.77|-0.27,0.43,-0.89,-240.73,171.76,-68.69
0.89,0.17,0.18,87.44,24.51,12.94|0.04,-0.57,1.00,-26.26,-75.68,118.76|0.08,0.64,-0.72,-57.88,250.13,44.90
0.66,0.03,0.19,75.92,-2.93,22.27|0.02,-0.28,1.00,-16.68,-26.74,55.65|0.12,0.66,-0.57,142.61,250.13,-39.16
0.41,-0.04,0.09,109.34,0.88,15.54|0.02,-0.18,0.98,12.23,-37.81,95.63|1.00,0.30,0.36,250.13,-14.74,28.92
0.42,-0.03,0.07,124.21,9.05,22.39|0.01,-0.24,0.79,-7.53,-52.72,83.83|0.50,0.01,-0.19,248.99,-157.11,-131.26
0.36,-0.05,0.06,124.48,27.52,16.20|-0.01,-0.13,0.74,-9.27,-52.59,79.27|0.16,-0.08,-0.05,250.13,-250.14,-50.43
0.36,0.01,0.03,115.83,30.63,3.86|-0.06,-0.10,0.80,-0.26,-65.76,100.29|-0.01,-0.61,-0.27,52.27,-195.04,-98.96
0.45,-0.00,0.06,114.00,25.91,0.43|-0.08,-0.21,0.78,-11.60,-53.24,125.95|-0.08,-0.25,-0.19,-62.13,-149.96,-56.84
0.50,0.05,0.08,107.90,17.41,1.54|-0.02,-0.28,-0.00,-0.01,-0.01,-0.01|-0.25,-0.25,-0.38,-146.44,-63.34,-130.70
0.32,0.10,0.06,115.61,-0.08,3.04|0.02,-0.35,0.88,-10.35,-34.57,120.80|-0.35,0.04,-0.80,-169.33,63.71,-105.51
0.66,0.23,0.05,121.61,2.21,25.75|-0.07,-0.67,1.00,-15.08,-3.57,75.87|-0.23,0.26,-0.84,-208.83,170.08,-104.39
0.85,0.24,0.12,77.64,10.97,20.14|0.11,-0.60,1.00,11.37,-70.44,105.65|0.14,0.95,-0.44,-91.59,250.13,58.47
0.63,0.19,0.15,53.88,26.89,23.78|0.05,-0.58,1.00,-7.09,-68.40,68.18|0.13,0.56,-0.68,58.46,250.13,-86.27
0.37,0.12,0.10,74.11,-2.21,27.08|-0.04,-0.20,0.89,2.27,-45.43,66.08|0.88,0.31,0.09,250.13,6.44,57.44
0.32,0.10,0.10,111.53,-6.50,32.11|-0.14,-0.20,0.77,31.43,-28.96,60.14|0.65,-0.04,-0.05,250.13,-132.89,-92.81
0.37,0.03,0.01,118.47,-1.98,23.77|-0.18,-0.14,0.80,33.41,-29.26,86.45|0.27,-0.16,-0.04,250.13,-246.02,-5.47
0.37,0.09,-0.02,129.50,-12.66,16.76|-0.16,-0.22,0.78,12.07,-43.21,129.85|-0.04,-0.75,-0.29,52.09,-218.46,-120.37
