0.48,-0.07,0.07,-0.18,1.05,-2.04|0.12,0.23,1.00,1.09,9.84,1.20|0.01,-0.31,0.29,-39.15,14.87,-9.88
0.50,-0.04,0.10,-0.36,-0.50,0.32|0.11,0.26,1.00,-5.39,9.00,5.23|0.04,-0.25,0.32,-77.65,-0.66,5.82
0.50,-0.04,0.10,-4.60,11.34,-1.87|0.13,0.23,1.00,-9.35,3.15,0.15|0.12,-0.14,0.44,-77.18,-28.06,24.04
0.50,-0.04,0.10,-1.40,4.62,-2.37|0.14,0.23,1.00,-11.95,2.78,-8.01|0.10,-0.23,0.36,17.53,-48.54,-6.22
0.49,-0.04,0.07,3.47,0.31,-7.76|0.14,0.27,1.00,-10.56,4.91,5.43|-0.00,-0.39,0.34,16.92,-16.74,-6.79
0.50,-0.02,0.12,-2.65,-1.53,-9.05|0.12,0.22,1.00,-4.54,8.73,18.19|0.08,-0.19,0.59,-0.95,17.83,-40.04
0.51,-0.03,0.12,-10.23,-0.58,-8.44|0.13,0.18,1.00,-0.76,0.52,2.79|0.07,-0.25,0.50,-19.59,0.76,-7.21
0.49,-0.03,0.08,-16.00,2.08,-7.53|0.14,0.20,1.00,2.60,-7.73,-18.90|0.07,-0.26,0.35,-14.75,0.24,-5.45
0.49,-0.01,0.09,-21.41,-6.71,-6.78|0.21,-0.00,1.00,30.12,-9.16,-57.11|0.05,-0.27,0.39,1.74,14.79,-8.82
0.49,-0.01,0.08,-26.15,-13.10,-5.94|0.19,0.37,1.00,95.45,-19.69,-76.58|0.06,-0.26,0.44,4.82,19.95,-2.70
0.52,-0.03,0.10,-35.75,-13.30,-2.31|0.23,0.51,1.00,236.31,-50.35,-53.77|0.03,-0.28,0.47,11.99,10.80,8.40
0.54,0.05,0.10,-37.66,-4.00,5.63|0.19,0.75,1.00,250.13,-74.51,-34.95|0.05,-0.24,0.44,12.57,11.63,-2.31
0.48,0.02,0.08,-27.46,8.66,-3.79|0.08,0.60,1.00,250.13,-159.62,-69.99|0.01,-0.20,0.34,16.66,5.99,-2.66
0.46,-0.01,0.07,-7.03,2.87,-5.03|0.01,0.52,1.00,250.13,-87.84,-40.24|-0.09,-0.21,0.34,3.14,5.18,-12.80
0.10,-0.15,-0.03,29.52,-0.64,-13.49|-0.04,0.07,1.00,250.13,-138.67,-24.45|-0.11,0.03,0.35,0.95,-19.46,9.41
0.35,0.08,0.15,-7.10,-37.93,17.12|-0.54,0.43,1.00,250.13,-182.19,-126.64|-0.13,-0.21,0.36,-5.93,-14.13,78.33
1.00,-0.12,0.13,35.59,1.62,8.98|-0.27,0.69,1.00,122.83,-97.46,-125.31|0.02,-0.39,0.80,-10.76,-59.99,38.61
1.00,-0.23,0.10,107.22,58.44,-3.14|0.05,0.76,1.00,-71.86,74.10,-150.81|-0.17,-0.41,0.78,-19.73,-49.68,70.49
0.53,-0.05,0.09,87.40,53.15,-1.54|0.13,0.30,1.00,21.92,214.22,54.05|0.07,-0.38,0.43,-40.44,-58.09,71.23
-0.20,-0.01,0.00,74.27,32.30,14.81|-0.13,-0.23,1.00,86.70,230.29,-37.88|0.17,-0.06,0.06,2.85,-91.93,64.92
-0.09,-0.04,0.01,93.19,-16.97,19.98|-0.21,0.05,1.00,75.09,154.74,-62.53|0.02,-0.03,-0.14,20.60,-32.80,82.24
0.10,0.04,0.04,109.53,-40.14,16.64|-0.24,-0.23,1.00,205.41,24.62,-109.48|-0.01,-0.05,0.07,40.24,-24.03,97.04
0.64,-0.14,0.12,122.27,-47.14,21.37|-0.34,-0.02,1.00,104.73,-157.14,-180.19|-0.08,-0.17,0.69,23.85,-45.99,144.92
1.00,-0.10,0.21,157.89,-8.56,16.31|-0.28,-0.10,1.00,2.15,-167.33,-150.98|-0.12,-0.56,0.88,-46.11,-66.31,132.37
1.00,0.08,0.26,132.87,-8.32,18.46|0.01,0.35,1.00,-95.70,-80.73,-87.03|-0.00,-0.57,0.94,-26.11,-85.24,135.24
0.81,-0.10,0.16,136.42,76.59,44.89|0.13,0.01,1.00,-188.62,36.14,-150.45|0.00,-0.55,0.47,-7.42,-103.87,106.85
0.34,0.05,0.05,159.00,2.50,13.85|-0.06,0.20,1.00,32.79,155.55,-5.53|-0.03,-0.33,0.19,-20.12,-60.76,94.05
-0.16,0.04,-0.11,164.08,69.40,30.47|-0.08,-0.27,1.00,48.21,91.11,-155.21|-0.28,-0.10,-0.17,29.36,-104.51,85.40
-0.09,0.10,0.01,119.63,-55.50,35.08|-0.32,-0.07,1.00,87.45,89.24,-111.75|-0.06,-0.01,-0.12,31.54,-46.53,155.37
0.23,-0.01,0.30,151.66,-131.87,28.87|-0.40,-0.06,1.00,111.05,-12.98,-208.70|-0.02,-0.15,0.02,24.82,-47.32,171.13
0.30,0.04,-0.11,143.40,-25.16,17.06|-0.40,0.16,1.00,34.16,-85.49,-241.64|-0.02,-0.25,0.39,37.33,-52.66,164.19
1.00,-0.15,0.24,148.08,-74.73,7.42|-0.30,0.13,1.00,-75.18,-67.94,-185.99|-0.20,-0.48,0.69,10.20,-63.17,164.33
1.00,0.00,0.20,175.99,32.47,29.46|0.03,0.39,1.00,-38.24,40.98,-223.45|-0.09,-0.58,0.81,-54.83,-77.41,181.35
1.00,-0.05,0.17,167.85,12.01,32.69|0.18,0.42,1.00,-71.15,34.11,-171.31|-0.01,-0.63,0.85,-9.63,-148.39,138.41
0.76,-0.03,0.13,205.55,82.37,43.77|0.07,-0.07,1.00,-61.58,-109.62,-117.36|-0.00,-0.44,0.48,-28.29,-116.47,137.59
0.58,0.05,0.11,166.27,59.32,16.47|0.01,0.32,1.00,112.95,-14.73,-127.29|-0.09,-0.44,0.22,6.07,-91.76,117.34
0.39,-0.07,0.14,148.49,-22.17,-12.76|-0.02,-0.06,1.00,93.87,-52.54,-163.41|-0.05,-0.45,0.35,-40.37,-124.34,132.26
-0.04,0.01,-0.09,179.27,134.77,34.02|-0.05,-0.06,1.00,-5.93,-116.92,-170.86|-0.01,-0.09,0.04,25.24,-87.44,108.31
-0.12,0.07,-0.10,131.36,-40.54,28.37|-0.15,-0.02,1.00,-47.46,-51.21,-118.42|-0.02,-0.01,-0.14,4.85,-56.52,161.86
0.31,0.12,0.12,147.87,-85.75,24.39|-0.20,0.21,1.00,-21.98,12.00,-146.03|0.27,-0.08,0.43,69.70,-62.80,169.64
0.58,0.02,0.06,126.20,-35.22,10.69|-0.32,0.07,1.00,-126.64,-27.52,-95.31|0.08,-0.41,0.60,30.92,-69.33,182.96
1.00,0.05,0.18,129.24,-12.83,22.68|-0.27,0.21,1.00,-71.85,143.31,-123.18|-0.14,-0.55,0.77,-22.80,-76.02,121.12
1.00,-0.11,0.24,143.15,34.05,30.34|0.26,0.20,1.00,-37.52,79.60,-124.04|-0.01,-0.69,0.91,-27.39,-106.72,139.93
0.93,-0.01,0.16,158.63,55.54,36.19|0.07,0.49,1.00,4.02,106.05,-157.46|-0.01,-0.41,0.69,-10.76,-155.53,131.89
0.39,0.08,0.10,155.23,46.71,12.94|0.04,-0.07,1.00,123.85,-50.02,-124.98|-0.02,-0.34,0.21,-5.19,-97.41,96.47
0.03,-0.36,0.14,139.97,173.70,8.73|-0.17,-0.14,1.00,76.57,-98.87,-181.02|-0.03,-0.12,0.00,0.93,-39.55,88.11
-0.11,0.40,-0.28,-10.66,12.28,92.20|-0.16,-0.04,1.00,12.52,-94.91,-152.21|-0.01,0.00,-0.14,2.93,-76.66,118.18
-0.09,-0.02,-0.15,102.64,-61.71,17.14|-0.16,-0.18,1.00,-24.51,-61.57,-109.02|-0.02,-0.16,-0.12,5.21,-53.86,134.18
0.53,-0.01,-0.07,148.67,-2.79,14.31|-0.29,0.04,1.00,-159.27,-83.15,-114.70|0.03,-0.17,0.36,11.78,-32.61,150.11
0.66,0.04,0.19,104.46,-10.11,27.02|-0.23,0.05,1.00,-141.79,58.82,-76.27|-0.03,-0.34,0.69,-10.74,-67.81,91.43
0.96,0.19,0.18,111.79,-67.55,36.94|-0.03,0.33,1.00,-138.92,140.77,-38.92|-0.02,-0.64,0.81,18.53,-98.24,103.23
