0.48,-0.05,0.01,128.05,-36.31,-13.64|-0.22,-0.25,0.93,-59.57,-85.29,148.47|0.16,-0.23,-0.23,232.84,197.06,129.69
0.71,-0.23,-0.06,123.39,-21.26,-9.24|-0.19,-0.41,1.00,-38.63,-99.47,143.29|0.49,-0.09,-0.16,250.13,-33.76,-99.29
0.64,-0.47,-0.07,117.55,-53.33,-9.76|-0.09,-0.39,1.00,-53.91,-84.72,146.24|0.11,-0.22,-0.51,247.50,-135.47,-250.14
0.35,-0.27,-0.05,142.36,-43.90,-38.71|-0.02,-0.31,0.87,-46.59,-72.65,110.66|0.07,-0.34,-0.54,86.84,-250.10,-245.63
0.25,-0.14,-0.12,140.65,-48.02,-42.46|0.00,-0.19,0.79,-40.06,-66.61,99.50|-0.18,-0.07,-0.41,-135.02,-244.09,-151.40
0.32,-0.10,-0.08,117.86,-39.54,-27.71|-0.04,-0.22,0.83,-14.95,-47.78,72.90|-0.22,-0.10,-0.39,-228.47,-167.59,-155.68
0.30,-0.13,-0.09,97.09,-26.12,-5.27|-0.07,-0.25,0.88,1.98,-41.47,68.39|-0.15,0.30,-0.39,-250.14,-5.52,-153.41
0.48,-0.14,-0.00,86.48,-38.60,16.49|-0.11,-0.30,1.00,8.95,-50.56,68.17|-0.36,0.88,-0.77,-139.44,109.38,61.14
0.64,-0.08,-0.06,66.86,-48.37,29.85|-0.18,-0.44,0.95,15.82,-52.60,93.86|0.07,-0.08,-0.44,123.69,182.17,179.08
0.70,-0.17,0.05,74.23,-46.00,12.91|-0.13,-0.38,0.93,9.25,-47.57,84.72|0.19,-0.02,-0.33,198.02,57.36,-128.03
0.55,-0.25,0.03,95.52,-34.12,-2.05|-0.11,-0.27,0.92,-2.38,-69.75,78.89|0.12,-0.12,-0.52,231.93,-48.48,-143.96
0.35,-0.15,-0.03,106.15,-33.40,-14.15|-0.12,-0.16,0.84,-15.28,-61.44,113.87|-0.03,-0.24,-0.41,168.53,-151.01,-211.83
0.31,-0.03,-0.08,112.44,-39.56,-28.19|-0.18,-0.15,0.71,-18.05,-54.08,120.11|-0.07,-0.40,-0.37,-20.01,-205.55,-136.74
0.52,-0.09,0.01,119.05,-17.75,-42.70|-0.20,-0.28,0.87,-40.78,-52.18,120.20|-0.25,-0.29,-0.50,-197.63,-218.45,-108.49
0.63,-0.21,-0.02,112.73,-6.51,-27.43|-0.21,-0.39,1.00,-69.53,-81.06,131.80|-0.25,-0.03,-1.00,-240.52,-31.23,-118.31
0.69,-0.27,0.05,129.60,-15.91,-20.98|-0.17,-0.42,1.00,-78.37,-103.56,140.70|-0.12,0.40,-0.75,-244.54,25.63,-13.28
0.50,-0.19,-0.08,123.45,-13.50,-24.34|-0.08,-0.39,0.93,-49.82,-95.05,131.72|0.09,0.43,0.03,63.80,160.31,181.76
0.32,-0.14,-0.09,106.98,-33.51,-13.37|-0.04,-0.25,0.87,-13.70,-66.23,114.15|-0.07,-0.22,-0.25,128.85,15.92,-102.10
0.27,-0.15,-0.01,100.02,-43.51,0.21|-0.01,-0.28,0.78,-19.85,-64.43,102.16|-0.08,-0.08,-0.19,172.18,-90.25,-243.77
0.32,-0.19,0.00,110.83,-36.63,3.27|-0.01,-0.23,0.80,-16.91,-58.82,72.86|-0.25,-0.12,-0.56,71.05,-188.93,-250.14
0.37,-0.22,-0.02,113.27,-48.95,2.95|-0.05,-0.24,0.86,-3.58,-47.76,81.96|-0.17,0.10,-0.45,-36.36,-214.35,-240.17
0.59,-0.15,-0.04,109.39,-52.01,-4.80|-0.10,-0.28,1.00,18.44,-48.40,85.20|-0.20,0.05,-0.98,-117.07,-157.37,-104.86
0.71,-0.12,0.01,86.86,-51.49,-6.53|-0.22,-0.36,1.00,18.66,-30.26,92.14|-0.20,-0.02,-0.77,-159.21,122.56,55.41
0.58,-0.12,0.00,88.44,-32.23,-8.03|-0.10,-0.46,0.89,-30.92,-71.87,107.17|0.04,0.22,-0.35,-198.51,81.36,118.89
0.38,-0.09,0.02,75.00,-26.64,-6.64|-0.09,-0.28,0.78,-11.31,-69.18,82.34|-0.09,0.36,0.01,80.11,248.77,107.84
0.29,-0.03,-0.04,71.92,-34.66,2.13|-0.11,-0.25,0.75,9.11,-40.69,92.95|-0.09,-0.23,-0.44,124.63,-35.69,-142.28
0.46,-0.10,0.02,97.25,-49.65,-3.39|-0.15,-0.27,0.81,-11.06,-28.94,71.59|0.01,-0.16,-0.42,215.38,-84.99,-162.20
0.64,-0.19,0.04,120.40,-44.45,-20.66|-0.17,-0.23,1.00,-41.79,-42.99,95.40|-0.12,-0.42,-0.63,27.24,-164.92,-250.14
0.67,-0.27,-0.01,132.69,-25.24,-44.59|-0.16,-0.36,0.99,-76.06,-74.71,125.55|-0.14,-0.03,-0.66,-5.50,-250.14,-241.86
0.54,-0.34,-0.08,126.67,-32.51,-44.17|-0.07,-0.32,0.97,-68.51,-80.98,110.73|-0.31,0.09,-0.66,-160.37,-179.56,-199.49
0.37,-0.18,-0.10,111.25,-26.59,-31.24|0.00,-0.30,1.00,-24.51,-60.10,93.60|-0.23,0.25,-0.50,-168.20,-44.93,-74.24
0.29,-0.15,-0.06,105.63,-24.44,-14.04|-0.01,-0.25,0.84,-16.95,-54.67,81.47|-0.23,0.33,-0.33,-249.80,122.95,169.74
0.32,-0.17,-0.01,103.66,-20.00,5.92|-0.06,-0.19,0.86,-14.05,-63.92,66.66|-0.24,0.30,-0.35,-28.37,233.69,201.39
0.35,-0.17,-0.01,105.02,-27.78,14.25|-0.07,-0.21,0.89,-7.02,-70.84,79.17|0.21,0.06,-0.18,182.27,198.58,104.13
0.42,-0.13,0.02,102.99,-45.09,17.31|-0.10,-0.30,0.90,11.62,-70.20,91.73|0.42,0.16,-0.24,237.14,-10.29,-87.39
0.64,-0.11,-0.04,101.99,-59.98,20.36|-0.24,-0.45,0.90,22.38,-59.26,83.60|0.05,-0.45,-0.70,182.93,-200.48,-250.14
0.79,-0.22,-0.03,111.78,-58.95,-11.64|-0.11,-0.39,1.00,-9.15,-60.92,110.82|-0.13,-0.31,-0.85,86.93,-200.00,-250.14
0.55,-0.17,0.01,107.58,-37.94,-33.61|-0.07,-0.33,0.87,-9.55,-60.95,86.34|-0.15,-0.14,-0.40,-69.02,-250.14,-187.79
0.36,-0.07,-0.05,98.39,-21.50,-37.06|-0.12,-0.24,0.76,-6.27,-42.95,99.45|-0.30,-0.08,-0.56,-102.31,-148.15,-152.13
0.31,-0.01,-0.11,79.94,-21.70,-19.24|-0.14,-0.28,0.72,-21.89,-28.60,96.60|-0.14,0.11,-0.45,-168.47,-23.55,-55.93
0.46,-0.04,-0.02,83.04,-22.35,-25.19|-0.12,-0.30,0.77,-47.91,-28.87,85.21|-0.19,0.14,-0.53,-195.43,139.23,133.45
