0.38,0.26,0.14,16.63,195.42,125.34|0.00,0.01,0.79,31.66,187.85,3.91|0.44,0.16,-0.15,161.72,207.53,133.30
0.13,0.02,0.01,132.19,-74.48,10.95|-0.02,-0.26,0.64,47.95,-30.79,131.02|0.19,-0.26,-0.09,171.02,16.87,49.29
0.18,0.02,-0.06,141.21,-53.82,11.55|-0.04,-0.18,0.58,55.76,-27.62,135.33|-0.20,-0.23,-0.23,130.41,-116.15,71.10
0.51,-0.05,-0.04,128.38,-11.05,16.11|0.09,-0.29,0.68,54.43,-36.06,119.12|-0.39,-0.38,-0.37,81.52,-207.53,-36.53
0.67,0.05,-0.04,90.40,14.79,10.66|0.30,-0.45,0.91,10.98,-82.63,82.92|-0.39,-0.07,-0.69,-67.45,-240.92,-138.84
0.70,0.08,0.15,78.91,23.96,11.54|0.26,-0.48,0.94,-16.25,-119.71,36.25|-0.13,0.12,-0.90,-177.06,-162.54,-216.15
0.75,-0.09,0.24,71.82,39.55,11.27|0.27,-0.43,0.96,-9.12,-89.89,32.98|0.19,0.41,-1.00,-186.66,26.34,-231.64
0.55,-0.03,0.16,93.02,14.86,1.23|0.22,-0.45,1.00,10.92,-63.97,64.13|0.51,0.31,-0.55,-29.57,116.60,-190.60
0.38,-0.10,0.14,105.47,-11.69,1.19|0.08,-0.29,0.85,12.85,-37.85,69.83|0.06,0.46,-0.69,73.10,244.14,-122.73
0.29,-0.05,0.13,116.86,-35.18,9.17|-0.02,-0.23,0.73,28.46,-40.93,113.79|0.22,0.16,-0.10,174.64,115.53,68.96
0.41,-0.04,0.02,126.07,-3.35,6.48|0.05,-0.26,0.73,38.76,-70.66,119.02|0.02,-0.19,-0.18,135.57,-33.53,49.52
0.52,-0.11,0.01,130.85,13.63,10.56|0.13,-0.31,0.81,41.90,-94.69,105.73|-0.21,-0.30,-0.35,71.38,-143.83,-25.05
0.46,0.06,-0.08,119.16,39.92,19.87|0.14,-0.42,0.82,9.11,-104.31,82.11|-0.31,-0.38,-0.36,-7.15,-232.68,-74.46
0.47,0.09,-0.07,118.70,16.76,26.54|0.10,-0.38,0.74,0.73,-64.40,17.89|-0.37,-0.00,-0.79,-150.38,-195.48,-123.01
0.65,0.14,0.14,90.91,45.40,29.35|0.14,-0.42,0.81,16.69,-90.53,18.63|-0.08,0.17,-0.81,-215.06,-86.41,-203.67
0.57,0.14,0.18,73.40,35.86,20.05|0.08,-0.46,0.85,9.82,-98.86,20.67|0.26,0.37,-0.92,-153.57,95.22,-238.43
0.69,0.05,0.23,76.32,24.70,9.50|0.15,-0.47,0.91,21.90,-88.00,70.67|0.41,0.50,-0.52,-97.98,200.10,-166.69
0.66,-0.03,0.25,105.53,2.98,-1.06|0.12,-0.57,0.97,25.75,-52.93,81.69|0.25,0.39,-0.65,74.42,250.13,-53.79
0.44,-0.04,0.17,125.63,-13.11,8.31|0.04,-0.43,0.85,28.31,-47.60,123.76|0.47,0.29,-0.28,142.95,220.76,56.13
0.24,0.07,0.03,123.85,-29.18,19.98|-0.01,-0.29,0.69,35.31,-45.76,136.01|0.32,-0.11,-0.19,162.51,60.11,71.77
0.25,0.05,-0.06,132.31,-37.54,10.75|0.01,-0.26,0.60,38.58,-57.24,136.37|-0.03,-0.16,-0.25,132.47,-119.85,107.50
0.45,0.04,0.00,134.40,-13.60,3.31|0.06,-0.32,0.62,28.53,-51.54,109.37|-0.17,-0.36,-0.15,70.80,-222.02,70.09
0.55,0.07,0.03,124.16,16.55,0.78|0.16,-0.45,0.79,0.99,-71.56,83.77|-0.31,-0.29,-0.54,-21.50,-239.15,-51.40
0.50,0.05,0.13,105.33,6.07,3.06|0.18,-0.48,0.87,-21.49,-95.67,63.12|-0.14,0.01,-0.62,-92.85,-184.30,-109.99
0.72,0.16,0.14,68.31,17.62,3.52|0.22,-0.41,0.94,6.13,-100.27,66.95|-0.04,0.14,-0.64,-166.05,-82.85,-151.38
0.72,-0.02,0.14,61.99,-15.42,-9.58|0.26,-0.63,0.99,6.68,-88.28,71.88|0.09,0.20,-0.53,-204.26,30.96,-166.60
0.53,-0.06,0.15,73.23,3.80,-0.07|0.23,-0.41,0.91,-16.21,-46.85,24.92|0.07,0.27,-0.38,-250.14,131.28,-136.13
0.34,0.08,0.07,68.65,3.89,15.82|0.19,-0.26,0.74,-17.08,-57.36,30.56|0.09,0.35,-0.25,-243.14,187.32,-81.02
0.33,0.07,0.11,59.30,7.30,4.07|0.14,-0.25,0.63,-15.50,-106.17,41.02|0.08,0.19,-0.23,-250.14,244.41,-67.33
0.44,0.01,0.13,49.61,3.47,6.63|0.15,-0.29,0.65,-9.73,-174.38,47.92|0.15,0.49,0.00,-235.70,250.13,-10.63
0.59,-0.00,0.13,30.05,10.43,15.19|0.12,-0.29,0.60,19.08,-219.05,97.90|0.25,0.37,0.05,-241.97,250.13,14.92
0.59,0.11,0.04,39.31,-3.11,12.03|0.12,-0.48,0.68,30.96,-217.41,109.44|0.28,0.57,0.09,-250.14,170.16,-33.44
0.42,0.10,0.07,30.47,-22.52,9.27|0.11,-0.56,0.71,77.31,-103.24,105.32|0.35,0.46,0.44,-230.92,216.21,-36.30
0.51,0.15,0.10,19.40,-8.91,13.40|0.21,-0.54,0.67,24.95,33.65,3.12|0.43,0.55,0.25,-160.63,176.94,43.34
0.53,0.14,0.08,-6.31,-2.99,16.68|0.44,-0.48,1.00,52.40,36.49,-8.74|0.45,0.64,0.52,-67.84,66.92,-8.21
0.46,0.13,0.05,-20.96,-2.84,9.18|0.30,-0.36,0.75,-24.67,31.72,28.78|0.45,0.46,0.37,20.06,12.93,6.48
0.50,0.08,0.09,-34.30,6.72,4.22|0.16,-0.53,0.79,14.54,80.75,-55.80|0.39,0.53,0.21,56.92,-15.30,39.70
0.50,0.06,0.05,-41.47,8.08,3.17|0.14,-0.41,0.91,10.40,121.42,-135.98|0.47,0.53,0.26,114.49,-62.10,80.10
0.49,0.00,0.05,-47.02,4.56,4.79|0.20,-0.36,0.92,25.53,110.89,-129.60|0.53,0.61,0.23,190.79,-75.56,92.27
0.50,0.01,0.10,-34.12,4.63,3.43|0.13,-0.41,0.73,2.95,97.24,-66.34|0.49,0.72,0.12,250.13,-94.53,153.60
0.47,-0.01,0.08,-31.73,10.17,8.73|-0.01,-0.26,0.67,19.73,115.73,-50.58|0.40,0.63,0.06,250.13,-94.64,211.38
0.41,-0.01,0.11,-24.52,4.79,13.13|-0.02,-0.28,0.59,5.32,93.72,-15.69|0.32,0.39,-0.01,250.13,-102.32,250.13
0.48,-0.06,0.17,-6.17,4.33,14.23|-0.00,-0.24,0.78,1.92,79.16,18.21|0.16,0.18,-0.13,242.84,-167.23,250.13
0.59,-0.09,0.12,26.64,10.69,2.88|0.06,-0.12,1.00,-2.03,31.82,29.80|0.02,-0.03,-0.12,158.02,-250.14,250.13
0.62,-0.14,0.18,73.28,-9.76,-17.60|0.01,-0.39,0.98,-6.68,-41.99,118.16|-0.20,-0.26,-0.25,69.11,-250.14,145.73
0.58,-0.06,0.07,99.96,-11.52,-19.40|0.07,-0.28,1.00,-17.78,-46.17,99.72|-0.26,-0.25,-0.28,-33.31,-250.14,2.76
0.46,0.04,-0.05,103.49,-3.85,-25.78|0.13,-0.43,1.00,-21.75,-51.69,77.69|-0.47,-0.21,-0.63,-149.60,-249.18,-79.69
0.36,0.11,-0.05,80.35,-17.82,-12.40|0.15,-0.29,0.83,-36.82,-57.33,31.77|-0.32,0.07,-0.60,-184.19,-108.60,-151.77
0.47,0.03,0.05,44.50,8.31,5.72|0.10,-0.35,0.71,-24.93,-60.27,5.24|-0.05,0.27,-0.49,-175.12,2.68,-250.14
0.49,-0.02,0.11,49.21,36.06,18.21|0.01,-0.27,0.87,2.11,-72.08,-16.83|0.32,0.70,-0.50,-144.74,181.47,-189.87
0.38,0.09,0.03,64.46,29.24,19.50|-0.14,-0.38,0.88,-9.40,-46.25,22.24|0.42,0.14,-0.47,55.05,192.44,-145.73
0.44,0.07,0.22,84.92,9.82,9.92|-0.05,-0.30,0.82,10.53,-75.74,39.22|0.44,0.63,-0.24,137.46,215.37,-8.18
0.64,0.06,0.25,89.59,7.06,11.65|0.02,-0.45,0.75,24.01,-94.42,87.05|0.43,-0.09,-0.15,167.90,71.69,153.28
0.78,0.12,0.17,97.02,5.69,-10.56|0.19,-0.62,0.84,21.26,-81.27,146.50|0.24,-0.15,-0.34,108.85,-58.54,112.36
0.59,0.15,0.09,75.30,0.45,-5.63|0.21,-0.69,0.90,8.61,-48.40,106.55|0.04,-0.32,-0.44,70.84,-175.15,68.47
0.36,0.17,0.07,35.10,-17.73,10.08|0.11,-0.37,0.75,17.00,-9.94,93.62|-0.27,-0.52,-0.49,-68.68,-209.63,43.09
0.27,0.14,-0.06,14.48,-15.41,1.48|0.11,-0.29,0.70,29.65,5.03,58.53|-0.39,-0.52,-0.63,-130.41,-134.40,-32.96
0.34,0.07,-0.01,26.88,-6.60,-2.33|0.09,-0.21,0.65,-0.71,10.24,16.27|-0.41,-0.25,-0.59,-186.26,-73.84,-182.28
0.41,0.01,0.08,20.05,-3.76,13.45|0.01,-0.32,0.81,17.13,6.66,-22.53|-0.17,0.36,-0.86,-200.69,91.87,-178.47
0.61,0.12,0.07,15.88,19.85,9.34|0.02,-0.42,1.00,2.32,-28.80,-30.81|0.34,0.76,-0.24,-79.60,234.63,-108.91
0.78,-0.16,0.33,45.59,15.96,-4.38|-0.09,-0.39,1.00,0.41,-69.21,36.00|0.05,0.36,-0.58,99.61,250.13,-81.39
