0.50,-0.01,0.02,-7.35,-2.21,5.55|0.04,-0.20,-0.02,-37.39,-14.71,-1.23|0.10,-0.15,0.43,6.89,-12.67,-1.43
0.41,-0.03,0.01,-7.53,-8.35,3.89|0.04,-0.15,0.06,-21.80,-10.95,-5.76|0.15,-0.14,0.36,0.15,-13.33,16.22
0.52,-0.07,-0.03,-2.58,-12.35,5.08|-0.03,-0.22,-0.01,-18.49,-14.99,-18.56|0.13,-0.25,0.43,-5.82,-2.87,4.85
0.56,-0.07,-0.02,0.95,-9.99,0.30|-0.11,-0.14,-0.12,-19.85,-2.75,-8.08|0.15,-0.15,0.49,-13.02,-2.61,-10.73
0.53,-0.08,0.02,3.05,-3.44,-0.34|-0.06,-0.11,-0.05,-3.25,9.47,24.92|0.17,-0.13,0.44,-17.91,-6.86,22.39
0.51,-0.08,0.03,2.08,-0.01,5.61|-0.04,-0.20,0.03,-13.00,7.31,6.51|0.17,-0.21,0.45,-12.40,-12.37,19.10
0.50,-0.08,0.02,5.18,2.24,4.16|-0.05,-0.18,0.01,-13.82,0.15,-7.52|0.16,-0.23,0.42,-11.60,-15.89,14.70
0.48,-0.11,0.02,9.67,-0.79,5.57|-0.04,-0.17,0.02,-14.37,-5.73,-5.69|0.16,-0.25,0.39,-1.94,-9.98,14.56
0.49,-0.07,0.02,12.39,-5.16,5.92|-0.05,-0.20,0.02,-18.65,-9.47,-19.03|0.15,-0.23,0.39,4.02,-5.53,4.36
0.50,-0.07,0.02,6.24,-6.26,5.20|-0.05,-0.15,-0.01,-16.36,-7.47,-26.29|0.15,-0.21,0.39,8.31,-2.33,-10.34
0.53,-0.04,0.03,3.72,1.56,4.84|-0.05,-0.11,-0.03,-5.17,-6.24,-13.50|0.13,-0.19,0.41,8.47,1.78,-11.20
0.53,-0.05,0.04,-3.15,14.31,5.44|-0.04,-0.07,-0.04,15.15,0.13,5.97|0.14,-0.15,0.46,8.85,-3.92,19.14
0.51,-0.02,0.02,-1.60,10.08,3.05|-0.09,-0.10,-0.15,22.34,-15.55,23.89|0.12,-0.21,0.46,-0.11,-9.85,17.33
0.47,-0.04,0.02,-1.14,12.35,-1.46|0.00,-0.15,0.02,32.87,-1.21,10.85|0.12,-0.21,0.38,-15.38,-7.81,10.66
0.48,-0.07,0.04,-5.10,14.37,5.51|-0.00,-0.21,0.06,24.50,-16.76,-9.51|0.10,-0.25,0.40,-22.67,-7.38,4.86
0.50,-0.08,0.04,-3.26,12.15,7.92|-0.03,-0.21,0.03,6.87,-12.40,-26.69|0.12,-0.23,0.42,-22.69,-11.66,13.08
0.50,-0.07,0.07,0.28,4.43,6.81|-0.02,-0.18,0.02,-7.41,-9.15,-9.95|0.13,-0.25,0.42,-21.69,-8.08,11.32
0.50,-0.05,0.07,-3.40,0.96,5.98|-0.03,-0.20,-0.00,-16.81,2.37,13.00|0.16,-0.23,0.40,-18.61,-2.75,-0.83
0.48,-0.08,0.05,-4.15,-5.40,2.43|-0.03,-0.15,-0.02,-21.27,0.73,2.02|0.15,-0.25,0.40,-11.27,-0.05,-12.36
0.48,-0.11,0.04,1.73,-11.53,1.63|-0.03,-0.13,-0.00,-15.94,2.36,0.87|0.14,-0.21,0.41,-5.56,2.40,-20.92
0.50,-0.09,0.07,0.99,-16.41,2.72|-0.04,-0.18,0.01,-17.63,-2.66,-2.40|0.14,-0.20,0.42,1.44,-2.38,-7.83
0.54,-0.08,0.08,3.16,-11.76,4.97|-0.04,-0.22,-0.01,-23.50,-4.45,-16.63|0.13,-0.20,0.42,9.79,-5.82,3.89
0.52,-0.07,0.04,10.43,-5.11,2.66|-0.04,-0.22,0.00,-23.33,-5.18,-6.60|0.12,-0.25,0.39,20.53,-10.30,13.15
0.49,-0.08,0.08,9.44,-2.25,-1.05|-0.03,-0.22,0.02,-14.15,-3.63,-14.33|0.11,-0.22,0.38,26.65,-9.64,5.61
0.45,-0.06,0.03,10.72,-6.17,-6.56|-0.03,-0.21,0.02,-2.34,-4.92,-26.30|0.14,-0.17,0.36,28.63,-14.95,24.44
0.49,-0.07,0.04,-2.40,-9.49,-8.11|-0.04,-0.17,-0.02,10.72,-1.44,-31.65|0.14,-0.27,0.38,26.92,-6.61,26.76
0.51,-0.08,0.05,-7.42,-10.21,-11.68|-0.05,-0.16,-0.01,24.60,5.86,-24.39|0.16,-0.23,0.43,22.21,4.11,11.40
