0.51,-0.02,0.07,-0.89,-2.37,-1.56|-0.03,-0.21,0.96,-8.79,11.50,3.78|-0.03,0.12,0.47,-7.21,-2.39,3.65
0.50,-0.02,0.07,1.15,-0.57,-2.47|-0.03,-0.19,0.96,-8.79,11.15,4.16|-0.03,0.12,0.47,-6.30,-0.98,7.59
0.50,-0.02,0.07,4.10,-0.16,-2.56|-0.02,-0.19,0.97,-8.52,7.85,7.50|-0.03,0.12,0.45,-4.93,-0.44,6.89
0.51,-0.02,0.07,2.22,0.57,-2.02|-0.03,-0.20,0.96,-8.01,6.53,12.89|-0.03,0.12,0.46,-4.33,-1.59,9.62
0.51,-0.01,0.08,0.47,3.27,-2.58|-0.01,-0.21,0.97,-6.24,4.47,3.80|-0.03,0.11,0.47,-1.99,-3.27,6.52
0.50,-0.02,0.07,-2.17,4.89,-2.64|-0.02,-0.22,0.95,-5.08,2.21,7.20|-0.02,0.11,0.45,3.12,-1.20,2.16
0.50,-0.02,0.07,-4.60,4.81,-1.89|-0.03,-0.22,0.97,-1.90,-0.63,-1.09|-0.03,0.11,0.47,7.50,1.14,2.01
0.50,-0.03,0.07,-5.32,3.76,-1.54|-0.03,-0.21,0.96,-0.51,-3.68,1.31|-0.03,0.11,0.47,7.67,0.74,-1.50
0.51,-0.02,0.08,-4.44,1.15,-2.22|-0.03,-0.21,0.98,0.34,-3.10,-4.21|-0.03,0.11,0.48,3.47,-0.11,3.60
0.49,-0.02,0.08,-2.72,-1.11,-3.20|-0.03,-0.19,0.95,-3.85,-2.01,0.63|-0.03,0.11,0.45,-0.40,-0.55,3.47
0.50,-0.01,0.08,-3.97,-1.26,-2.93|-0.03,-0.20,0.97,-5.44,1.20,1.05|-0.03,0.12,0.47,-3.67,0.04,7.98
0.50,-0.02,0.08,-4.27,-1.89,-2.62|-0.03,-0.20,0.96,-3.52,1.67,0.83|-0.03,0.11,0.46,-6.04,-3.81,4.21
0.49,-0.02,0.07,-3.58,-3.13,-2.59|-0.04,-0.21,0.96,0.30,3.12,-3.76|-0.03,0.12,0.47,-7.91,-3.53,3.51
0.50,-0.02,0.07,-3.91,-5.90,-2.49|-0.03,-0.20,0.96,0.09,4.24,-1.76|-0.03,0.12,0.46,-8.11,-4.90,4.67
0.51,-0.02,0.09,-4.71,-7.09,-3.27|-0.02,-0.21,0.97,-1.95,5.33,0.15|-0.03,0.12,0.48,-8.55,-4.92,4.79
0.50,-0.01,0.08,-7.11,-6.74,-3.58|-0.02,-0.21,0.96,-3.90,5.95,1.24|-0.03,0.11,0.46,-7.53,-5.18,1.60
0.50,-0.01,0.08,-8.35,-4.24,-3.85|-0.02,-0.21,0.96,-2.81,7.48,-3.34|-0.02,0.12,0.46,-5.43,-5.89,6.05
0.50,-0.01,0.07,-11.67,-3.70,-2.18|-0.03,-0.21,0.97,0.23,3.00,-9.50|-0.03,0.09,0.45,-0.72,-4.27,-8.74
0.51,-0.01,0.07,-12.93,-2.45,-0.68|-0.03,-0.21,0.97,2.64,-1.89,-8.19|-0.03,0.13,0.46,3.04,1.84,-6.14
0.50,-0.01,0.05,-12.74,-1.39,-0.18|-0.02,-0.19,0.96,-0.48,1.99,-12.11|-0.02,0.10,0.46,1.27,0.31,-6.42
0.51,-0.02,0.07,-11.64,-0.80,0.01|-0.03,-0.20,0.97,-4.53,4.27,-4.93|-0.03,0.13,0.46,-2.05,1.03,-11.56
0.50,-0.02,0.07,-8.87,-0.21,0.23|-0.03,-0.19,0.97,-7.20,3.99,-4.56|-0.02,0.12,0.46,-6.36,-1.50,-1.90
0.51,-0.03,0.06,-6.04,-0.89,0.41|-0.03,-0.18,0.97,-8.92,5.37,-0.60|-0.03,0.12,0.47,-10.10,-1.85,-1.92
0.50,-0.02,0.06,-3.98,-1.06,0.23|-0.03,-0.19,0.97,-9.42,6.77,1.62|-0.03,0.12,0.47,-10.63,-4.22,0.55
0.50,-0.02,0.07,-3.13,-1.67,0.37|-0.02,-0.19,0.96,-9.44,7.34,1.32|-0.03,0.12,0.46,-9.50,-3.26,2.81
0.50,-0.01,0.06,-1.85,-3.11,-0.23|-0.02,-0.19,0.96,-8.00,6.21,2.06|-0.03,0.12,0.47,-6.80,-0.98,1.49
0.51,-0.01,0.06,-1.74,-3.79,-0.20|-0.03,-0.20,0.96,-5.24,4.53,1.51|-0.03,0.12,0.47,-5.05,0.08,4.76
0.50,-0.02,0.08,-1.51,-3.95,-1.08|-0.03,-0.19,0.96,-2.00,0.60,2.98|-0.03,0.12,0.47,-4.61,-0.98,5.08
0.51,-0.02,0.07,-3.28,-4.61,-1.18|-0.03,-0.20,0.97,1.50,-0.10,2.60|-0.02,0.11,0.46,-3.24,-1.65,3.83
0.51,-0.02,0.07,-2.11,-1.13,-1.24|-0.02,-0.19,0.96,3.70,-1.98,4.45|-0.03,0.11,0.47,-1.98,-2.16,3.85
0.51,-0.02,0.07,-4.40,-0.31,-1.40|-0.02,-0.20,0.97,5.02,-0.69,1.97|-0.03,0.11,0.46,-1.96,-2.87,0.82
0.50,-0.02,0.07,-5.92,0.53,-1.56|-0.02,-0.20,0.96,6.58,-2.77,3.73|-0.03,0.11,0.46,-2.63,-3.69,-0.69
0.51,-0.02,0.06,-6.78,0.82,-1.44|-0.03,-0.22,0.97,7.96,-2.34,-0.84|-0.04,0.11,0.47,-3.79,-4.00,-0.79
0.50,-0.02,0.06,-6.63,0.56,-1.73|-0.02,-0.20,0.96,5.42,-4.39,1.93|-0.03,0.12,0.46,-3.40,-3.57,-2.83
0.50,-0.02,0.07,-5.89,0.87,-2.36|-0.02,-0.21,0.97,0.93,-0.44,0.90|-0.03,0.12,0.47,-3.26,-2.15,1.28
0.50,-0.02,0.07,-5.66,-0.10,-2.66|-0.03,-0.20,0.96,-4.68,2.27,-0.05|-0.03,0.11,0.46,-3.60,-3.25,-0.60
0.50,-0.02,0.07,-5.15,1.00,-1.91|-0.02,-0.19,0.97,-6.80,5.60,-0.65|-0.03,0.12,0.46,-3.53,-3.43,-0.53
0.50,-0.02,0.08,-5.60,-0.37,-1.40|-0.03,-0.20,0.96,-8.50,6.46,0.91|-0.03,0.11,0.45,-4.62,-3.11,0.40
0.50,-0.02,0.07,-4.60,-1.11,-2.16|-0.03,-0.19,0.96,-8.01,9.60,-1.60|-0.03,0.12,0.47,-4.52,-3.54,2.04
0.50,-0.03,0.08,-3.04,-0.10,-3.30|-0.02,-0.19,0.97,-8.71,6.05,1.36|-0.03,0.12,0.47,-4.96,-4.40,1.91
