0.47,-0.18,0.03,-7.49,-2.24,1.35|0.02,-0.28,0.93,-8.31,4.66,-5.40|0.16,0.19,0.42,2.34,-7.75,-9.18
0.47,-0.18,0.02,-6.13,-0.74,-0.66|0.01,-0.27,0.92,-8.94,3.12,-5.28|0.16,0.19,0.42,1.76,-4.18,-3.44
0.47,-0.18,0.01,-6.08,0.68,-1.66|0.01,-0.27,0.93,-8.64,2.21,-4.73|0.17,0.19,0.42,0.67,-0.57,3.18
0.46,-0.18,0.02,-5.31,0.61,-2.31|0.01,-0.27,0.93,-8.18,3.25,-5.38|0.17,0.18,0.42,-0.99,1.05,7.28
0.47,-0.18,0.02,-5.01,0.89,-1.87|0.01,-0.28,0.93,-6.40,5.89,-5.65|0.17,0.18,0.42,-2.73,0.32,5.05
0.47,-0.18,0.02,-4.43,3.40,-1.86|0.01,-0.27,0.92,-6.30,7.71,-7.97|0.18,0.18,0.42,-3.72,-1.94,2.87
0.46,-0.17,0.01,-5.32,0.06,-1.01|0.02,-0.26,0.93,-5.03,8.03,-5.55|0.17,0.17,0.42,-4.81,-3.39,-0.98
0.47,-0.18,0.01,-6.30,-0.04,-1.00|0.01,-0.27,0.93,-5.14,6.48,-0.69|0.17,0.18,0.42,-5.68,-5.21,-4.85
0.47,-0.18,0.02,-6.31,-0.89,-0.08|0.01,-0.27,0.94,-3.67,6.73,-4.16|0.17,0.19,0.42,-5.69,-3.55,-1.54
0.46,-0.18,0.02,-4.32,1.15,-0.89|0.01,-0.27,0.93,-3.28,5.08,-1.38|0.17,0.18,0.42,-6.13,-3.29,-0.61
0.47,-0.18,0.02,-4.93,0.17,-1.07|0.02,-0.27,0.93,-3.17,3.13,3.79|0.17,0.18,0.42,-5.91,-2.81,-2.69
0.46,-0.18,0.02,-4.38,-1.19,-0.85|0.02,-0.28,0.93,-2.37,2.51,2.85|0.17,0.19,0.42,-5.75,-2.38,0.15
0.47,-0.18,0.03,-4.38,-2.73,-0.52|0.02,-0.28,0.93,-0.56,1.56,3.10|0.17,0.19,0.42,-7.02,-0.91,1.31
0.47,-0.18,0.02,-4.08,-2.85,-1.11|0.01,-0.28,0.92,0.87,0.68,-0.08|0.17,0.19,0.42,-7.24,-1.31,0.04
0.47,-0.18,0.02,-4.88,-2.73,-1.55|0.01,-0.28,0.93,1.24,-1.03,0.12|0.17,0.19,0.42,-6.88,-1.15,1.48
0.47,-0.17,0.02,-5.00,-2.42,-1.39|0.02,-0.27,0.93,0.47,-2.22,3.05|0.17,0.17,0.42,-4.05,-1.56,1.59
0.47,-0.18,0.01,-4.70,-1.31,-0.63|0.01,-0.28,0.93,-0.90,-2.08,1.50|0.17,0.18,0.41,-1.90,-0.18,0.24
0.47,-0.18,0.02,-4.24,-3.56,0.07|0.01,-0.27,0.93,-1.82,-0.61,-0.56|0.17,0.19,0.42,-2.51,0.48,3.45
0.47,-0.18,0.02,-1.88,-0.18,-1.14|0.01,-0.27,0.93,-4.27,-0.02,1.47|0.16,0.19,0.42,-1.92,1.43,7.37
0.46,-0.18,0.01,-0.64,1.44,-2.66|0.02,-0.26,0.93,-7.51,1.58,4.79|0.16,0.17,0.42,-0.07,-0.47,7.21
0.47,-0.18,0.02,-2.05,-0.92,-1.05|0.02,-0.28,0.93,-7.80,3.90,5.82|0.16,0.17,0.42,1.94,-0.89,0.01
0.47,-0.18,0.03,-1.32,-0.44,0.52|0.01,-0.28,0.93,-6.63,5.57,0.24|0.17,0.19,0.41,1.81,-0.92,-2.87
0.46,-0.18,0.03,-1.30,-2.81,0.60|0.02,-0.27,0.92,-5.27,3.44,1.79|0.16,0.20,0.42,-2.73,2.11,2.86
0.48,-0.18,0.03,-0.95,-5.98,-0.51|0.01,-0.28,0.93,-2.87,-0.29,7.90|0.16,0.19,0.43,-7.62,4.21,9.66
0.47,-0.18,0.02,0.00,-5.19,-1.89|0.02,-0.28,0.93,-1.34,-0.92,6.97|0.16,0.18,0.43,-10.56,4.08,9.36
0.47,-0.18,0.02,-0.34,-4.02,-2.60|0.01,-0.27,0.92,-0.11,-0.36,5.37|0.16,0.17,0.43,-9.24,2.08,8.09
0.47,-0.18,0.02,-0.88,-4.92,-1.96|0.01,-0.28,0.93,0.53,-1.01,6.25|0.16,0.18,0.43,-5.37,-0.59,3.56
0.48,-0.18,0.02,-1.26,-2.76,-1.81|0.01,-0.29,0.93,1.09,-2.58,5.95|0.17,0.18,0.43,-2.43,-2.95,1.53
0.47,-0.18,0.02,-1.85,-1.61,-1.80|0.01,-0.28,0.92,0.95,-2.88,3.28|0.16,0.19,0.43,-1.09,-4.66,-2.17
0.46,-0.18,0.02,-3.11,-1.01,-2.06|0.01,-0.28,0.92,-0.50,-1.89,2.67|0.16,0.19,0.42,0.22,-4.76,0.96
0.47,-0.18,0.02,-4.27,-0.44,-1.60|0.01,-0.29,0.93,-0.64,-0.51,1.07|0.16,0.18,0.43,0.75,-4.85,2.18
0.47,-0.18,0.02,-5.03,-0.05,-1.47|0.01,-0.28,0.92,-2.23,1.37,-1.04|0.16,0.18,0.43,-0.16,-5.68,1.06
0.47,-0.18,0.03,-3.60,0.60,-3.14|0.01,-0.27,0.92,-3.86,3.21,-0.80|0.16,0.18,0.42,-1.57,-5.84,-1.57
0.46,-0.18,0.02,-3.69,-0.57,-2.92|0.01,-0.27,0.93,-5.66,3.92,3.35|0.16,0.18,0.42,-3.84,-4.70,0.24
0.47,-0.18,0.03,-3.71,-0.86,-2.39|0.01,-0.28,0.93,-6.62,6.18,3.03|0.16,0.19,0.41,-6.42,-2.69,2.14
0.47,-0.17,0.02,-4.39,-0.15,-2.32|0.01,-0.28,0.93,-6.92,7.73,0.11|0.16,0.18,0.42,-7.66,-1.44,5.18
