0.31,-0.04,-0.14,-11.76,-6.16,-25.33|0.14,-0.68,0.83,-121.67,-65.73,101.26|0.01,-0.39,0.42,-60.77,-31.42,9.27
0.42,0.04,-0.07,-19.00,-38.41,-30.47|0.26,-0.57,1.00,-63.17,-28.54,60.69|0.14,-0.13,0.68,60.76,16.80,-52.72
0.40,-0.09,-0.10,-27.47,-42.67,-15.94|0.23,-0.51,0.85,55.98,-20.04,-35.60|0.16,0.11,0.77,135.57,25.56,18.51
0.42,-0.07,-0.13,-32.46,-45.11,9.63|0.07,-0.47,0.70,112.42,-31.51,-90.72|0.29,-0.22,0.88,195.26,23.08,40.39
0.54,-0.04,-0.07,-43.02,-37.97,15.74|-0.12,-0.71,0.36,76.50,3.17,-95.77|0.17,-0.52,0.82,171.30,53.28,-14.53
0.78,-0.03,-0.16,-22.19,-19.26,32.50|-0.41,-0.73,-0.59,-104.74,69.47,-104.77|0.15,-0.76,0.63,108.84,22.88,-16.26
0.78,-0.16,-0.13,2.33,26.37,9.23|-0.27,0.02,-0.83,-23.54,24.85,72.92|0.20,-0.80,0.13,-30.02,-15.88,30.87
0.57,-0.08,-0.13,23.98,29.69,18.02|-0.21,-0.52,-0.11,-20.41,-9.91,37.04|0.12,-0.59,-0.28,-148.22,-27.05,24.31
0.42,0.06,-0.11,15.85,48.24,5.11|-0.27,-0.43,-0.21,-70.98,38.41,76.35|0.04,-0.38,-0.20,-190.16,-4.64,-13.85
0.26,-0.03,-0.11,17.32,32.03,-8.25|0.05,-0.62,0.67,-40.17,-48.89,88.76|-0.02,-0.33,0.04,-209.32,-21.28,-6.93
0.23,0.11,-0.10,-0.52,0.57,-9.05|0.44,-0.71,0.99,-25.11,33.08,38.86|-0.09,-0.31,0.38,-118.91,-46.50,28.83
0.37,0.11,0.02,-11.85,-19.80,-35.50|0.34,-0.58,0.97,80.28,-26.11,-62.93|-0.02,-0.19,0.60,18.69,-21.62,12.11
0.34,0.03,-0.06,-25.73,-29.77,-22.86|0.38,-0.40,0.70,111.06,-66.37,-123.97|0.13,-0.04,0.64,102.14,-4.92,-89.41
0.26,0.06,-0.08,-33.81,-43.75,-4.44|0.02,-0.39,0.51,134.46,8.53,-111.60|0.10,0.08,0.65,189.79,22.55,-2.40
0.58,0.00,-0.02,-5.20,-41.78,-5.83|-0.11,-0.73,0.24,23.92,18.13,-102.14|-0.07,-0.50,0.79,214.73,26.88,10.62
1.00,-0.41,-0.28,88.88,-1.60,-20.69|-0.18,-0.53,-0.44,-109.03,-121.47,-58.69|-0.25,-0.17,1.00,146.70,-27.89,55.37
0.91,-0.25,-0.30,236.62,10.94,-29.82|-0.31,-0.63,-0.22,-126.96,-218.76,-76.20|-0.35,-0.65,1.00,28.37,-116.58,232.51
0.72,-0.05,-0.39,250.13,15.38,-32.87|-0.03,-0.58,0.71,-137.69,-250.14,11.40|-0.47,-0.18,0.47,-49.17,-233.64,213.47
0.44,0.01,-0.34,250.13,0.50,-43.89|-0.14,-0.76,0.17,-173.25,-250.14,2.77|-0.47,-0.56,0.01,-56.43,-250.14,245.40
0.18,-0.00,-0.22,250.13,-19.23,-51.50|0.86,-0.21,0.29,-94.66,-250.14,-59.15|-0.24,-0.28,-0.07,-86.37,-250.14,185.10
-0.10,0.02,-0.21,250.13,-19.63,-51.21|0.30,-0.45,0.84,-45.76,-192.48,-155.85|-0.16,-0.29,-0.31,-55.38,-250.14,133.82
0.15,-0.09,-0.19,250.13,-43.17,-51.34|-0.04,-0.31,0.98,-27.21,-198.69,-182.52|-0.04,-0.19,-0.09,-85.24,-250.14,137.74
0.39,0.09,-0.18,217.24,-59.31,-75.52|-0.52,-0.77,0.99,-72.77,-214.70,-179.08|-0.03,-0.24,0.15,12.67,-235.78,102.45
0.72,0.05,-0.05,212.18,-59.86,-90.28|-0.65,-0.63,0.94,-43.84,-210.18,-250.14|0.01,-0.41,0.49,56.59,-115.49,250.13
0.71,-0.05,-0.05,172.01,-41.41,-58.35|-0.82,-0.68,0.46,48.30,-158.45,-186.76|0.02,-0.55,0.39,190.40,-159.59,155.72
0.61,-0.03,-0.03,157.27,-5.57,-46.98|-0.46,-0.66,0.28,75.34,-106.92,-166.29|-0.01,-0.57,0.57,138.81,-52.75,74.59
0.51,-0.01,-0.10,118.37,-43.88,-64.90|-0.42,-0.56,0.08,34.93,-71.08,-170.62|-0.14,-0.59,0.46,159.94,-37.73,68.76
0.44,-0.11,-0.08,111.64,2.44,-40.29|-0.28,-0.35,-0.07,15.68,-118.56,-104.92|-0.40,-0.62,-0.00,89.77,-131.82,52.50
0.39,0.03,-0.17,123.35,-13.05,-31.56|-0.22,-0.21,-0.10,7.62,-96.15,-87.18|-0.12,-0.58,-0.06,35.75,-8.36,87.90
0.56,0.11,-0.15,90.10,-13.49,-24.63|-0.22,-0.24,-0.14,-6.38,-97.12,-53.29|0.03,-0.72,-0.18,-72.90,-44.43,83.95
0.63,0.11,-0.10,91.47,4.77,-33.76|-0.06,-0.36,-0.04,-78.66,-149.67,23.06|0.01,-0.63,0.04,-184.69,-85.53,71.91
