0.46,0.07,-0.16,4.48,-9.56,-20.26|-0.62,-0.35,0.92,250.13,-119.08,-37.79|-0.13,0.51,-0.12,190.53,96.22,25.65
0.41,0.10,-0.18,-14.53,-9.02,-20.91|-0.62,-0.81,0.89,119.41,-3.45,91.24|-0.11,0.33,0.06,203.30,74.66,78.79
0.52,-0.06,-0.24,-4.71,7.84,1.72|-0.46,-0.56,0.36,37.35,47.51,32.81|-0.21,0.01,0.26,118.87,12.25,67.67
0.46,0.13,-0.16,-10.56,6.26,23.60|-0.27,-0.56,0.28,-48.77,112.42,19.50|-0.19,0.09,0.59,-62.64,-59.28,-2.82
0.43,0.16,-0.18,-29.32,19.82,20.43|-0.21,-0.43,0.43,-112.68,118.27,-69.57|-0.16,0.10,0.66,-186.66,-107.84,6.15
0.44,0.10,-0.22,-52.23,19.16,21.83|-0.29,-0.25,0.52,-132.23,75.83,-93.27|-0.29,0.25,0.70,-219.09,-70.60,-42.91
0.46,0.08,-0.16,-73.50,11.28,40.52|-0.48,-0.14,0.49,-48.07,58.08,-35.47|-0.30,0.56,0.68,-74.82,-37.45,-96.19
0.49,0.24,-0.14,-121.33,23.47,43.77|-0.49,-0.18,0.70,25.09,65.38,-81.18|-0.55,0.32,-0.25,124.69,-113.88,-46.24
0.46,0.18,-0.16,-172.68,27.27,37.18|-0.59,-0.28,0.64,104.76,136.20,-41.20|-0.33,0.26,0.13,32.90,-107.24,-71.80
0.46,0.12,-0.16,-199.21,24.76,47.14|-0.50,-0.15,0.53,164.80,183.98,-59.89|-0.21,0.20,0.42,104.38,-139.82,-106.12
0.46,0.07,-0.19,-208.65,19.73,58.02|-0.56,-0.29,0.43,195.37,198.80,-60.75|-0.30,0.23,0.33,149.77,-201.53,-129.32
0.46,0.14,-0.12,-214.58,21.16,59.16|-0.54,-0.23,0.41,176.44,226.82,-60.90|-0.32,0.07,0.29,158.68,-219.03,-157.13
0.48,0.12,-0.11,-228.18,27.57,56.24|-0.55,-0.26,0.40,159.49,244.55,-53.24|-0.36,0.27,0.28,148.89,-223.54,-184.53
0.52,0.13,-0.16,-245.44,26.26,54.38|-0.54,-0.17,0.37,153.26,239.47,-43.20|-0.40,0.20,0.25,130.62,-217.44,-165.07
0.51,-0.02,-0.09,-250.14,17.58,51.46|-0.58,-0.31,0.40,160.15,237.93,-52.34|-0.43,0.35,0.29,112.95,-218.67,-165.14
0.41,0.08,-0.06,-250.14,11.27,47.89|-0.58,-0.13,0.36,131.47,250.13,-19.03|-0.46,0.18,0.18,108.02,-218.02,-161.19
0.53,-0.03,-0.07,-244.06,22.04,39.37|-0.62,-0.25,0.32,111.56,250.13,-16.95|-0.50,0.28,0.17,113.65,-222.41,-178.02
0.48,0.02,-0.12,-233.68,6.21,34.56|-0.57,-0.20,0.33,75.94,250.13,8.50|-0.55,0.13,0.20,95.54,-248.46,-170.19
0.46,-0.04,-0.08,-222.69,-5.99,33.41|-0.45,-0.16,0.43,38.67,232.34,17.97|-0.52,0.25,0.14,45.46,-199.05,-167.52
0.50,-0.06,-0.11,-201.68,-4.38,33.40|-0.40,-0.15,0.65,51.76,165.97,11.85|-0.46,0.39,0.22,-12.13,-117.15,-135.06
0.46,-0.12,-0.12,-164.08,-11.15,32.41|-0.29,-0.13,0.84,103.59,27.33,9.08|-0.49,0.52,0.20,-18.88,-46.18,-70.73
0.48,-0.07,-0.08,-130.24,-23.85,34.41|-0.26,-0.17,1.00,196.74,-73.94,-1.27|-0.40,0.62,0.03,53.49,-6.20,-99.86
0.44,-0.10,-0.08,-77.01,-30.42,22.18|-0.24,-0.24,1.00,250.13,-120.60,-42.46|-0.26,0.59,-0.16,161.18,18.26,-64.69
0.47,-0.10,-0.09,-55.18,-33.22,18.81|-0.39,-0.54,1.00,250.13,-119.63,51.93|-0.18,0.67,-0.16,232.97,60.32,-37.34
0.46,-0.05,-0.08,-51.60,-46.12,14.70|-0.42,-0.46,1.00,203.30,-61.37,28.66|-0.15,0.39,-0.09,250.13,82.71,16.08
0.48,-0.11,-0.20,-37.66,-36.64,10.62|-0.51,-0.78,0.81,140.13,-38.10,83.27|-0.17,0.32,0.10,185.96,48.24,54.44
0.52,-0.14,-0.15,1.29,-37.53,30.32|-0.42,-0.71,0.26,48.90,57.82,41.60|-0.22,0.01,0.26,22.98,-34.79,41.50
0.46,-0.02,-0.17,2.93,-21.68,9.94|-0.36,-0.61,0.13,-105.97,140.92,-35.72|-0.29,0.07,0.52,-156.55,-101.53,5.03
0.50,-0.09,-0.14,15.53,-11.67,-4.10|-0.34,-0.52,0.38,-203.93,193.60,-58.85|-0.34,0.24,0.66,-250.14,-130.52,25.00
0.41,-0.14,-0.16,11.70,-14.77,-2.22|-0.34,-0.44,0.61,-244.35,184.35,-71.84|-0.50,0.69,0.71,-250.14,-21.82,-21.69
0.48,-0.04,-0.14,5.34,-13.32,18.89|-0.38,-0.30,0.89,-217.26,90.06,-72.35|-0.41,0.61,0.23,-157.92,65.16,-11.02
0.47,0.03,-0.13,-45.39,-7.47,-7.47|-0.28,-0.02,0.84,-85.54,42.60,42.24|-0.31,0.66,0.12,-71.79,89.61,-38.92
0.46,-0.14,-0.17,-37.31,-6.67,2.86|-0.21,-0.19,1.00,65.60,-63.96,3.50|-0.23,0.57,-0.03,39.46,74.39,-19.68
