0.72,-0.19,-0.12,62.08,-78.78,-26.69|-0.19,-0.71,0.54,-187.20,-34.42,63.19|0.28,0.92,0.66,-80.79,108.74,-69.41
0.69,-0.17,-0.10,39.53,-14.40,-11.34|-0.10,-0.65,0.69,-13.20,-86.94,3.37|0.37,0.90,0.24,51.90,50.09,-58.53
0.50,-0.18,-0.07,12.78,-10.96,-9.08|-0.06,-0.61,0.78,139.40,-97.34,-116.67|0.37,0.82,-0.35,178.02,5.51,5.95
0.39,-0.21,-0.02,15.64,-23.88,-19.71|-0.12,-0.34,0.93,199.61,-47.60,-113.21|0.27,0.59,-0.16,250.13,-12.67,110.52
0.37,-0.13,-0.01,11.37,-6.15,-19.05|-0.18,-0.32,1.00,141.94,14.06,-59.35|0.11,0.31,-0.05,250.13,-59.73,135.96
0.43,-0.15,-0.02,9.85,3.85,-6.59|-0.31,-0.44,0.88,110.46,17.88,10.33|0.01,0.33,-0.02,184.88,-72.42,110.15
0.45,-0.24,-0.03,26.63,2.11,13.31|-0.31,-0.42,0.81,78.54,-0.44,73.69|-0.07,0.18,0.17,-51.81,-36.27,13.84
0.43,-0.24,0.02,35.33,-9.52,0.01|-0.31,-0.46,0.55,13.76,-50.35,103.66|-0.00,0.19,0.29,-193.63,37.18,-22.31
0.39,-0.19,-0.01,38.44,7.30,-0.53|-0.23,-0.47,0.35,-61.77,-49.47,100.72|0.07,0.17,0.34,-247.71,91.78,11.14
0.37,-0.14,-0.03,37.85,-16.74,8.20|-0.13,-0.60,0.08,-172.50,9.04,65.24|0.11,0.25,0.50,-240.63,86.50,-32.93
0.40,-0.14,0.02,23.50,-24.08,8.44|-0.16,-0.61,0.16,-250.14,78.24,20.57|0.16,0.58,0.49,-183.99,87.16,13.38
0.63,-0.15,0.02,-11.07,-17.85,9.36|-0.27,-0.63,0.21,-250.14,102.87,0.92|0.21,0.44,0.71,-133.38,79.47,-34.50
0.73,-0.12,-0.07,-59.66,30.04,3.90|-0.33,-0.58,0.41,-155.89,91.05,-4.40|0.19,0.74,0.67,-76.17,78.12,-41.37
0.61,-0.15,-0.02,-92.84,58.13,7.20|-0.27,-0.53,0.68,10.90,15.72,-30.45|0.13,0.54,0.53,-3.67,6.34,-75.65
0.45,-0.17,-0.07,-110.67,38.11,5.72|-0.27,-0.43,0.66,113.75,-23.48,-122.29|0.12,0.43,0.19,53.02,-76.57,-104.41
0.37,-0.15,-0.03,-110.03,50.60,8.79|-0.19,-0.24,0.67,162.24,18.05,-57.53|0.08,0.37,0.03,66.17,-139.11,-91.66
0.32,-0.11,-0.07,-134.50,55.77,12.53|-0.28,-0.42,0.50,152.60,74.67,-82.95|-0.01,0.26,0.04,47.46,-159.17,-64.33
0.38,-0.10,-0.09,-154.86,57.64,14.18|-0.28,-0.24,0.64,169.96,127.46,-85.29|-0.06,0.29,0.17,15.27,-172.80,-68.89
0.52,-0.23,-0.11,-168.22,51.91,24.40|-0.31,-0.53,0.63,188.92,154.34,-54.49|0.05,0.47,0.50,1.37,-155.38,-85.21
0.52,-0.19,-0.08,-162.09,78.92,37.80|-0.24,-0.49,0.64,200.84,203.34,-123.08|0.15,0.52,0.48,80.63,-186.08,-128.47
0.52,-0.09,-0.15,-179.18,86.12,26.28|-0.19,-0.49,0.76,180.04,226.70,-119.60|0.18,0.61,0.40,130.67,-250.14,-91.01
0.52,-0.11,-0.18,-177.34,102.93,20.05|-0.22,-0.46,0.83,128.82,231.69,-157.51|0.17,0.50,0.33,124.00,-250.14,15.62
0.48,-0.18,-0.12,-197.59,99.31,13.03|-0.26,-0.45,0.85,75.42,208.05,-164.56|0.05,0.41,0.15,65.74,-250.14,89.40
0.43,-0.24,-0.09,-186.93,107.32,19.02|-0.30,-0.39,0.85,49.21,186.92,-137.80|-0.02,0.38,0.03,2.00,-250.14,122.15
0.44,-0.21,-0.07,-171.05,100.08,7.66|-0.36,-0.39,0.65,11.09,166.56,-123.70|-0.09,0.32,-0.10,-103.15,-250.14,114.95
0.45,-0.26,-0.10,-156.92,82.11,-0.05|-0.39,-0.30,0.49,-23.27,177.18,-118.60|-0.16,0.24,-0.10,-250.14,-149.90,27.43
0.40,-0.25,-0.03,-150.56,61.85,0.65|-0.39,-0.24,0.43,-86.11,189.59,-78.55|-0.10,0.39,0.27,-250.14,-51.63,-23.11
0.32,-0.24,-0.03,-129.55,55.54,4.42|-0.39,-0.29,0.49,-140.49,191.69,-53.47|-0.10,0.40,0.39,-250.14,30.75,15.32
0.31,-0.24,-0.01,-107.39,41.52,14.82|-0.38,-0.40,0.58,-150.11,165.44,-34.44|-0.09,0.58,0.40,-182.88,101.84,9.41
0.45,-0.28,-0.02,-101.64,18.66,23.11|-0.29,-0.45,0.75,-90.21,87.44,-14.68|0.11,0.71,0.42,-127.19,136.09,-36.78
0.65,-0.25,-0.06,-111.18,20.36,13.73|-0.12,-0.69,0.97,53.02,2.37,-29.25|0.28,0.77,0.47,-21.51,100.24,-69.94
0.55,-0.25,-0.06,-105.21,32.27,24.84|-0.00,-0.57,1.00,188.89,23.90,-129.57|0.32,0.85,0.31,113.77,-13.81,-85.24
0.43,-0.24,0.01,-85.50,55.68,16.76|-0.01,-0.37,1.00,215.78,71.08,-108.23|0.34,0.66,0.09,221.09,-135.04,-37.56
0.36,-0.22,-0.03,-64.59,36.05,4.59|-0.17,-0.35,0.83,171.11,99.70,-92.60|0.24,0.40,0.02,250.13,-236.53,74.18
0.34,-0.21,-0.05,-56.75,19.11,0.21|-0.14,-0.26,0.97,130.85,106.47,-9.50|0.16,0.08,-0.02,180.67,-250.14,91.53
0.41,-0.24,-0.03,-44.05,12.28,9.78|-0.18,-0.45,0.83,62.69,77.85,62.87|0.02,0.19,-0.13,68.89,-216.87,68.08
0.47,-0.25,-0.05,-24.08,7.03,9.35|-0.21,-0.47,0.59,-9.34,42.08,93.23|-0.04,0.19,-0.05,-128.05,-78.07,-22.84
0.45,-0.23,-0.04,-19.98,2.35,0.53|-0.11,-0.41,0.29,-105.54,32.70,82.08|-0.02,0.33,0.08,-230.24,54.15,-2.02
0.38,-0.23,-0.02,-9.49,1.41,-2.78|-0.11,-0.49,0.22,-197.29,71.73,50.38|0.03,0.26,0.42,-250.14,124.63,-42.40
0.31,-0.25,-0.06,-2.30,-14.61,2.27|-0.17,-0.56,0.35,-238.11,100.08,20.65|0.02,0.69,0.28,-229.71,151.40,33.33
0.39,-0.22,-0.03,16.84,-17.63,11.10|-0.22,-0.61,0.44,-219.25,87.41,-5.23|0.13,0.52,0.55,-132.47,179.05,22.47
0.58,-0.22,-0.02,4.34,-13.85,-1.84|-0.17,-0.67,0.67,-103.51,29.08,-50.74|0.25,0.61,0.49,-39.09,128.73,-14.30
0.59,-0.33,-0.03,12.96,-0.07,-11.11|-0.24,-0.79,0.36,39.48,10.07,-67.75|0.39,0.70,0.36,32.54,78.78,-38.53
0.48,-0.35,0.01,31.45,-6.58,-2.84|-0.07,-0.46,0.74,122.08,-37.44,-124.56|0.28,0.64,0.13,68.05,19.66,75.18
0.38,-0.21,0.01,34.47,-14.32,-12.43|-0.13,-0.38,0.91,168.42,-49.91,-85.02|0.10,0.35,0.07,71.76,6.00,89.53
0.29,-0.23,-0.02,61.04,-29.11,-17.50|-0.05,-0.15,0.96,151.15,-61.37,-51.72|0.02,0.36,0.01,50.76,14.51,60.47
0.29,-0.29,-0.04,87.92,-45.63,-16.05|-0.11,-0.19,1.00,105.06,-92.23,53.84|-0.00,0.44,-0.04,43.74,43.27,84.01
0.34,-0.27,-0.05,111.98,-58.15,-10.44|-0.19,-0.26,1.00,55.68,-140.91,146.98|-0.02,0.52,-0.02,37.05,102.78,86.41
0.49,-0.35,-0.07,142.09,-81.53,-20.64|-0.38,-0.40,1.00,26.37,-197.84,157.63|-0.13,0.87,-0.02,79.48,163.31,114.46
0.50,-0.40,-0.09,180.33,-99.77,-33.90|-0.50,-0.30,1.00,-12.52,-235.47,188.98|-0.16,0.84,-0.04,156.93,216.50,115.67
0.45,-0.38,-0.08,219.20,-98.82,-38.35|-0.58,-0.36,0.97,-57.63,-244.69,199.63|-0.26,0.88,-0.09,232.92,250.13,126.53
0.36,-0.30,-0.12,235.56,-92.05,-29.98|-0.58,-0.38,0.81,-76.70,-210.43,167.45|-0.35,0.77,-0.09,250.13,250.13,145.16
0.40,-0.18,-0.21,233.16,-95.67,-24.51|-0.63,-0.30,0.79,-73.05,-192.94,137.89|-0.40,0.69,0.01,250.13,222.04,107.72
0.47,-0.17,-0.11,200.78,-98.56,-10.92|-0.68,-0.38,0.68,-58.64,-180.51,142.70|-0.29,0.43,0.08,196.04,169.11,40.24
0.54,-0.09,-0.09,162.23,-79.58,-0.56|-0.53,-0.43,0.49,-44.54,-165.53,132.57|-0.21,0.48,0.15,89.14,150.11,-9.55
0.51,-0.16,-0.06,154.41,-66.43,-8.93|-0.41,-0.42,0.30,-56.31,-122.55,127.47|-0.12,0.28,0.27,-59.49,137.76,-13.56
0.47,-0.15,-0.08,143.10,-65.95,-14.69|-0.25,-0.36,0.21,-98.24,-67.29,106.82|0.05,0.31,0.50,-158.72,137.56,-21.69
0.37,-0.11,-0.05,128.66,-66.55,-21.16|-0.17,-0.41,0.18,-188.42,-40.08,82.73|0.19,0.11,0.56,-183.10,176.53,25.40
0.35,-0.16,-0.10,133.44,-61.23,-19.72|-0.16,-0.45,0.28,-250.14,-22.58,51.65|0.22,0.24,0.63,-181.21,200.35,-28.31
0.40,-0.16,-0.08,137.30,-61.84,-13.63|-0.19,-0.45,0.40,-250.14,-58.55,42.13|0.24,0.56,0.66,-105.50,186.71,37.99
0.58,-0.17,-0.09,111.83,-83.44,-22.27|-0.21,-0.54,0.44,-220.58,-114.06,48.38|0.38,0.66,0.49,-24.05,166.63,-26.01
