0.50,0.05,0.14,-14.74,-12.80,-6.40|0.22,-0.89,0.64,7.38,116.96,-92.31|0.41,-0.76,-0.54,-39.83,-64.64,49.48
0.59,-0.00,0.07,-10.56,12.37,0.59|0.78,-0.01,1.00,51.81,40.93,35.86|0.14,-0.76,-0.60,19.68,32.42,-127.11
0.53,0.01,0.16,9.10,-3.69,17.51|0.21,-0.50,0.99,-47.26,2.61,125.11|-0.00,-0.45,-0.39,-15.04,24.56,-153.85
0.46,0.02,0.14,10.44,-10.14,9.69|0.05,-0.03,0.40,-8.61,-43.34,93.24|0.01,0.11,0.53,123.31,250.13,21.92
0.39,0.02,0.12,10.02,-9.94,7.11|0.06,-0.16,0.76,107.13,41.76,-122.51|0.07,0.14,-0.55,-141.50,-164.22,-14.48
0.47,-0.02,0.10,7.08,-7.05,-1.77|0.03,-0.11,1.00,-27.62,6.80,42.35|0.02,-0.68,-0.39,-46.33,-20.15,162.88
0.49,0.00,0.13,17.64,-26.17,-5.08|0.10,-0.86,0.38,58.40,109.51,-209.85|0.44,-0.66,-0.44,-3.59,-100.91,43.02
0.56,-0.03,0.08,29.85,-2.44,7.85|0.27,0.05,1.00,131.49,-14.42,188.39|0.13,-0.59,-0.55,5.63,-16.35,-40.62
0.60,-0.01,0.06,40.57,7.49,7.27|0.16,-0.00,1.00,-127.87,-36.69,186.31|0.22,-0.27,-0.24,48.11,10.75,-101.39
0.51,-0.04,0.08,47.29,-12.75,1.78|-0.27,-0.41,0.28,-125.61,-89.08,13.87|-0.82,0.45,-0.50,213.76,226.40,64.13
0.35,-0.00,0.15,47.71,-36.41,7.63|0.17,-0.02,0.67,-39.23,-2.66,-115.53|-0.08,0.28,-0.10,55.90,55.26,-229.81
0.44,-0.05,0.09,76.41,-22.88,1.25|-0.09,-0.31,0.87,-40.40,-115.98,149.79|0.16,-0.31,0.12,104.63,8.37,112.20
0.51,-0.13,0.03,99.51,-35.92,-1.19|-0.09,-0.40,1.00,-55.25,-178.40,85.40|0.21,-0.51,0.18,117.56,-20.54,77.80
0.49,-0.07,0.04,127.47,-52.60,-3.24|0.04,-0.38,0.98,-100.22,-202.63,73.97|0.22,-0.71,0.12,174.83,-69.27,95.69
0.54,-0.07,0.07,136.07,-38.28,-1.22|-0.07,-0.59,0.78,-103.49,-233.63,151.07|0.13,-0.76,0.06,180.64,-103.57,88.88
0.56,-0.03,0.01,142.24,-31.48,1.65|0.09,-0.55,0.86,-55.28,-232.05,108.85|0.07,-0.72,0.10,166.89,-152.38,95.47
0.52,-0.07,0.03,150.92,-25.46,-7.13|-0.07,-0.71,0.64,-44.92,-228.05,107.69|0.01,-0.70,0.16,143.97,-194.20,101.96
0.49,-0.11,0.01,164.31,-22.45,-1.79|-0.03,-0.60,0.55,2.01,-233.31,60.76|-0.02,-0.67,0.17,108.44,-220.79,98.26
0.53,-0.02,-0.01,181.15,-17.85,0.52|-0.05,-0.73,0.53,3.85,-215.02,59.91|0.00,-0.78,0.17,69.75,-231.51,72.46
0.54,-0.05,-0.04,179.98,-7.42,-9.50|0.05,-0.75,0.64,17.84,-201.40,32.99|-0.03,-0.72,0.13,42.53,-241.21,34.27
0.54,-0.00,0.01,177.82,-2.98,-11.77|-0.07,-0.85,0.76,56.66,-187.06,17.63|-0.00,-0.72,0.08,-15.11,-237.02,8.00
0.56,-0.08,0.01,171.32,17.36,4.45|-0.09,-0.82,0.65,126.73,-169.85,-42.01|0.08,-0.77,0.04,-79.54,-240.60,0.34
0.55,0.01,0.05,157.54,19.46,8.39|-0.01,-0.84,0.68,157.43,-146.59,-46.46|0.07,-0.79,-0.03,-128.51,-237.53,-18.71
0.53,-0.02,0.08,144.76,23.24,14.27|-0.03,-0.81,0.54,153.17,-103.19,-47.95|0.08,-0.67,-0.02,-145.59,-241.23,-26.98
0.52,-0.04,0.06,135.98,27.97,17.06|0.10,-0.67,0.53,157.63,-61.98,-76.16|0.04,-0.64,-0.08,-145.15,-203.11,-52.82
0.47,-0.03,0.04,127.85,27.47,22.82|0.08,-0.53,0.36,141.91,-25.96,-47.02|-0.03,-0.44,-0.06,-127.50,-158.03,-73.27
0.41,0.08,0.02,114.40,12.21,22.87|0.12,-0.27,0.44,149.11,-1.27,-30.88|-0.09,-0.34,-0.04,-119.35,-137.04,-81.38
0.56,-0.01,0.07,112.58,22.71,19.44|0.10,-0.15,0.43,147.28,13.22,28.63|-0.04,-0.22,-0.08,-88.53,-124.19,-79.00
0.55,-0.03,0.08,104.72,18.86,17.93|0.08,-0.06,0.66,190.31,24.73,78.85|-0.04,-0.05,-0.13,1.07,-117.83,-50.32
0.49,0.02,0.07,99.87,12.37,24.74|0.10,-0.13,0.83,147.15,19.53,88.79|0.02,-0.25,-0.30,-41.85,-52.44,-35.87
0.48,0.04,0.08,89.73,14.10,25.86|0.20,-0.37,1.00,-8.95,43.73,48.90|0.12,-0.55,-0.48,35.79,-28.11,-103.97
0.55,0.04,0.07,76.13,22.43,21.37|0.41,-0.25,0.91,-127.11,-67.43,60.79|0.04,-0.39,-0.43,44.17,11.51,-139.45
0.50,0.04,0.22,60.20,17.06,2.69|0.65,-0.49,1.00,-157.32,-58.00,170.22|-0.22,-0.36,-0.66,-41.76,-13.19,-75.08
0.40,0.08,0.16,49.38,16.25,6.80|-0.14,-0.11,-0.25,7.68,-83.69,227.65|0.44,-0.23,0.40,21.02,-7.71,61.16
0.37,0.07,0.18,37.28,-28.63,2.99|0.13,-0.27,0.75,135.73,-8.05,-150.28|0.04,-0.05,-0.48,-29.90,-38.53,-15.93
0.52,0.03,0.18,34.18,-19.22,-5.68|0.09,-0.33,0.91,66.13,5.66,-13.45|-0.07,-0.64,-0.66,14.87,-25.76,56.37
0.55,-0.02,0.15,26.27,1.53,-1.82|0.40,-0.68,1.00,142.44,82.21,-59.95|0.49,-0.64,-0.35,4.54,-77.21,14.66
0.57,0.03,0.10,12.66,13.21,-5.01|0.25,-0.06,1.00,33.08,-113.69,58.49|0.07,-0.58,-0.62,6.88,80.44,-97.00
0.51,-0.02,0.15,-2.83,8.34,-15.47|0.42,-0.23,1.00,-115.58,-41.24,127.86|0.09,-0.31,-0.45,-9.86,-16.99,-69.31
0.45,-0.02,0.18,3.96,-6.50,-18.84|-0.12,-0.32,-0.17,-29.24,-44.14,46.79|0.16,0.33,0.24,74.47,101.60,60.56
0.35,-0.02,0.11,-11.25,-10.66,-7.76|0.23,0.08,0.98,62.95,14.10,-191.26|-0.19,-0.12,-0.72,-67.04,-98.65,45.46
0.48,-0.02,0.17,-18.26,-36.95,-17.60|0.28,-0.35,0.91,6.13,62.37,-23.47|0.22,-0.38,-0.43,-36.05,-37.08,102.13
0.54,-0.01,0.12,-31.04,-24.39,-14.43|0.42,-0.34,1.00,88.42,79.14,-43.34|0.22,-0.55,-0.45,0.95,-10.88,75.15
0.63,0.03,0.10,-50.53,-11.73,-4.46|0.17,-0.26,0.95,-88.56,-110.82,-15.24|0.10,-0.32,-0.58,44.45,73.24,-36.12
0.52,-0.05,0.14,-69.16,-28.60,-16.77|0.38,-0.14,1.00,-73.09,11.41,12.50|0.20,-0.35,-0.47,41.53,71.46,-2.70
0.52,-0.04,0.14,-75.98,-8.47,-22.21|0.09,0.15,0.74,-250.14,-95.17,213.97|0.07,0.22,-0.32,139.47,114.44,54.80
0.34,0.00,0.11,-97.42,-25.48,-16.24|-0.11,-0.71,0.17,-123.55,38.40,-194.20|-0.02,-0.07,0.17,105.49,123.83,-94.01
0.42,-0.05,0.11,-94.42,-33.91,-16.22|0.25,0.24,-0.77,-107.48,0.04,95.79|0.08,-0.13,-0.28,31.47,126.31,58.20
0.52,-0.08,0.06,-97.53,-30.74,-10.41|0.12,-0.56,0.15,-138.55,5.25,170.71|0.08,-0.52,-0.18,86.18,161.41,87.25
0.55,-0.04,0.11,-113.10,-44.15,-0.15|0.22,-0.44,0.28,-47.41,85.81,-14.65|0.06,-0.67,-0.23,69.25,181.25,56.02
0.55,0.10,0.03,-140.57,-42.63,-9.21|0.08,-0.78,0.63,-111.85,104.35,168.15|-0.08,-0.73,-0.02,39.62,250.13,84.39
0.53,0.11,0.06,-151.69,-38.37,-10.44|-0.08,-0.84,0.47,-189.13,141.15,95.44|0.05,-0.70,-0.05,56.50,247.70,64.33
0.51,0.13,0.01,-180.46,-14.82,-1.27|0.10,-0.84,0.72,-162.93,216.95,32.21|0.06,-0.70,0.01,25.59,250.13,11.25
0.53,0.07,0.04,-186.86,-9.22,-6.02|-0.15,-0.88,0.45,-129.07,231.04,50.77|-0.05,-0.68,0.12,-5.76,250.13,-0.18
0.55,0.09,-0.01,-192.24,6.79,-5.38|-0.04,-0.68,0.56,-55.24,250.13,-8.84|-0.10,-0.72,0.11,-40.86,250.13,-23.18
0.52,0.09,0.03,-203.25,13.41,-0.34|-0.08,-0.73,0.52,-11.73,243.72,-11.43|-0.08,-0.67,0.17,-46.55,241.82,-54.08
0.51,0.03,0.04,-207.57,20.65,0.41|-0.01,-0.68,0.57,12.94,229.08,-50.84|-0.13,-0.59,0.22,-65.42,222.53,-59.76
0.48,0.01,0.03,-201.78,8.02,-0.89|0.02,-0.64,0.59,32.52,205.56,-85.95|-0.06,-0.64,0.13,-87.26,206.20,-64.03
0.47,0.03,0.06,-194.28,2.92,-10.06|0.05,-0.59,0.64,41.04,181.29,-99.88|0.03,-0.67,0.10,-120.90,171.09,-79.51
0.47,0.04,0.05,-166.22,-10.02,-13.91|0.12,-0.59,0.71,51.02,169.97,-120.65|0.06,-0.72,0.08,-156.30,141.17,-94.08
0.51,0.01,0.10,-145.42,-1.95,-9.46|0.12,-0.62,0.70,47.49,158.04,-138.68|0.15,-0.68,0.09,-178.42,92.89,-82.84
0.54,0.02,0.07,-132.30,10.18,-4.47|0.10,-0.57,0.69,43.47,144.08,-171.96|0.23,-0.62,0.13,-204.51,41.65,-70.89
0.54,0.01,0.02,-129.63,18.23,-11.84|0.08,-0.48,0.69,67.99,129.66,-151.99|0.23,-0.42,0.15,-192.98,3.22,-36.44
0.56,-0.01,0.04,-123.08,4.78,-24.56|0.07,-0.43,0.67,63.80,107.95,-130.64|0.22,-0.38,0.08,-184.18,-25.92,-15.15
0.53,-0.04,0.00,-117.36,28.34,-16.77|0.00,-0.29,0.77,85.66,112.91,-109.53|0.20,-0.23,-0.08,-147.38,-57.37,7.14
0.46,-0.05,-0.00,-108.67,-5.70,-21.47|0.01,-0.10,0.67,110.09,108.20,-61.42|0.07,-0.13,-0.16,-132.47,-73.03,69.98
0.51,-0.08,-0.00,-76.05,6.28,-7.51|0.04,-0.10,0.81,99.66,134.75,-48.44|0.13,-0.26,-0.25,-119.80,-53.56,103.28
0.49,-0.03,0.00,-63.50,14.61,-1.30|0.06,-0.10,1.00,14.05,80.89,-80.73|0.35,-0.40,-0.33,-30.18,-79.98,34.39
0.55,-0.01,0.03,-59.45,20.47,0.10|0.16,-0.12,1.00,-81.21,27.93,-54.73|0.34,-0.32,-0.43,20.28,94.31,-43.18
0.54,-0.01,0.05,-61.61,12.79,-4.34|0.12,-0.26,1.00,-160.94,-20.76,-6.02|0.23,-0.39,-0.54,-60.04,-32.72,-40.34
0.45,-0.05,0.05,-40.09,13.93,0.78|-0.01,0.08,0.73,-97.52,-35.23,4.80|-0.03,0.25,-0.09,24.29,62.18,48.58
0.36,-0.06,0.08,-34.81,12.33,5.25|-0.01,-0.19,0.75,24.85,34.47,-76.95|0.01,0.08,-0.32,-64.89,-60.41,-12.31
0.44,-0.10,0.09,-16.09,-8.35,-1.86|0.03,-0.27,1.00,33.01,37.90,-32.00|0.14,-0.42,-0.57,-46.13,-31.44,87.51
0.58,-0.09,0.02,-7.14,-2.33,8.56|0.16,-0.07,0.80,82.35,117.34,-12.37|0.00,-0.26,-0.42,47.76,12.76,22.66
0.60,0.04,0.10,-9.21,2.20,16.47|0.03,-0.12,1.00,-1.46,75.56,58.60|0.20,-0.20,-0.37,-12.56,-24.64,132.50
0.44,0.04,0.05,3.60,3.57,1.93|0.06,-0.16,0.96,-139.52,-55.82,-28.06|0.04,-0.43,-0.46,111.95,154.86,-53.21
0.52,-0.04,0.04,-0.76,9.73,9.11|0.27,-0.39,1.00,-202.03,-38.67,22.52|0.45,-0.39,-0.38,78.93,26.34,-49.62
0.50,0.02,0.17,-17.17,4.21,8.67|0.45,-0.31,1.00,-250.14,-136.54,62.47|0.53,0.29,-0.15,124.21,-16.40,76.28
0.35,-0.05,0.19,1.30,2.84,-7.53|0.14,-0.38,0.27,22.19,-6.80,97.58|0.26,-0.34,-0.03,14.05,-90.82,-21.08
0.44,0.01,0.21,-7.31,-19.24,-7.05|0.11,-0.42,0.89,194.98,14.40,-69.24|0.19,-0.18,-0.34,-136.77,-73.19,69.31
0.58,0.02,0.14,3.30,-12.14,1.69|0.04,-0.16,1.00,228.41,-12.15,40.50|0.02,-0.59,-0.71,-162.46,-65.50,120.98
0.49,-0.04,0.07,7.36,-14.01,-0.35|0.21,-0.16,1.00,208.61,46.44,-25.90|-0.10,-0.56,-0.59,-62.37,-50.14,56.38
0.55,0.00,0.10,27.21,-13.08,6.86|0.22,0.13,0.92,25.69,66.78,-61.60|0.33,-0.22,-0.27,7.09,-13.28,-126.16
0.51,0.00,0.11,37.87,0.69,-0.58|0.21,-0.16,1.00,-94.81,-33.63,100.47|0.03,-0.29,-0.24,81.75,57.40,-68.31
0.50,0.01,0.14,56.73,0.23,1.66|0.16,-0.14,1.00,-153.53,-0.79,26.80|0.19,-0.18,-0.44,120.28,14.07,-55.82
0.45,0.02,0.14,55.41,-5.66,4.73|0.05,-0.02,0.73,-166.22,-54.05,78.28|0.18,-0.17,-0.26,146.47,5.92,-62.34
0.40,0.05,0.14,62.89,-13.04,1.08|-0.10,-0.31,0.51,-82.64,-60.39,76.82|0.16,-0.39,0.00,135.73,10.95,-144.40
0.44,-0.02,0.14,83.68,-23.12,-3.67|-0.03,-0.26,0.82,-45.56,-73.50,-76.02|0.18,-0.14,0.06,105.50,19.63,-93.34
0.57,-0.05,0.10,96.06,-22.58,5.71|0.03,-0.29,0.86,-25.10,-132.13,51.81|0.28,-0.38,0.03,91.61,-30.26,58.11
0.50,-0.04,0.05,108.17,-34.59,0.34|-0.07,-0.44,0.93,-14.77,-192.54,110.75|0.20,-0.64,0.11,108.48,-52.65,29.57
