0.48,0.02,0.15,21.19,15.89,-7.67|0.14,-0.04,0.25,89.24,-93.34,36.89|0.11,0.35,-0.09,-48.81,-22.98,-46.10
0.44,0.07,0.14,8.44,9.73,0.98|-0.05,-0.49,0.20,-0.22,-31.31,-14.24|-0.04,0.19,0.01,16.58,22.11,-17.17
0.46,0.02,0.15,-7.82,4.66,4.47|0.02,-0.11,0.31,-76.15,43.31,-60.64|0.04,0.30,-0.30,87.52,60.56,75.89
0.48,0.01,0.12,-1.77,-3.90,1.63|0.03,-0.15,-0.01,-15.73,50.30,-40.66|0.14,0.42,-0.61,96.21,51.15,9.84
0.57,0.07,0.17,-6.44,2.19,-3.22|0.05,-0.10,-0.22,20.56,-21.61,-130.90|0.29,0.28,-0.74,-46.82,-26.38,53.73
0.51,0.03,0.14,-10.85,2.59,-10.79|-0.07,-0.43,0.12,-18.16,1.11,92.31|0.12,0.43,-0.46,-21.92,-25.16,19.78
0.51,0.04,0.14,-11.07,7.66,-11.05|0.03,-0.19,-0.03,-0.11,-38.83,37.63|0.20,0.33,-0.21,-119.50,-57.02,-46.50
0.48,0.02,0.16,-17.63,7.44,-3.24|0.01,0.00,0.22,13.37,-57.44,131.26|0.17,-0.15,-0.23,-35.77,-6.08,-52.01
0.42,0.04,0.11,-25.26,-1.95,-1.35|-0.04,-0.19,0.45,-14.92,60.58,-19.42|0.04,0.72,0.08,-6.56,-8.47,34.68
0.44,0.03,0.17,-32.29,-15.19,-3.13|-0.03,0.07,0.07,-37.39,86.71,-13.76|0.08,0.03,-0.26,47.85,11.98,50.50
0.53,0.03,0.14,-44.96,-10.79,-3.93|-0.02,-0.19,0.09,-36.92,68.86,76.03|0.13,0.44,-0.21,25.77,-4.28,-34.92
0.53,0.03,0.15,-56.06,-14.79,-5.20|-0.01,-0.12,0.17,-9.75,92.98,40.53|0.09,0.24,-0.19,8.62,-19.69,0.21
0.47,0.02,0.11,-64.90,-20.84,-2.81|-0.05,-0.05,0.04,29.93,76.06,126.86|0.01,0.39,-0.21,-29.56,-36.58,-51.31
0.49,0.03,0.13,-84.93,-20.40,-0.91|-0.08,-0.22,0.25,90.57,69.45,132.95|-0.01,0.39,-0.10,-71.44,-56.53,-13.60
0.48,0.04,0.12,-97.46,-30.08,0.49|-0.07,-0.25,0.07,148.98,39.50,190.12|-0.08,0.42,-0.24,-112.05,-87.06,-29.94
0.52,0.03,0.10,-110.12,-24.61,-0.46|-0.11,-0.43,0.18,212.37,16.31,191.57|-0.13,0.55,-0.02,-176.17,-146.43,-40.53
0.53,0.02,0.11,-120.66,-23.81,-1.95|-0.25,-0.50,0.20,250.13,-3.95,208.87|-0.30,0.58,-0.09,-200.05,-222.08,-43.16
0.49,0.07,0.04,-133.38,-17.91,2.22|-0.28,-0.76,0.21,250.13,51.73,112.74|-0.45,0.80,0.03,-196.46,-236.56,-54.68
0.53,0.04,0.04,-144.59,-21.37,-2.46|-0.28,-0.52,0.33,250.13,118.89,89.34|-0.49,0.56,0.09,-159.08,-250.14,-39.75
0.49,0.06,0.02,-158.29,-8.52,-3.30|-0.40,-0.63,0.48,240.40,176.79,30.44|-0.56,0.72,0.09,-89.21,-250.14,-82.63
0.52,0.03,-0.00,-161.49,-8.89,-10.53|-0.36,-0.52,0.48,192.49,198.75,9.82|-0.43,0.55,0.08,1.42,-250.14,-105.06
0.50,0.09,-0.05,-171.06,-1.34,-14.72|-0.49,-0.56,0.49,106.31,215.72,-24.22|-0.41,0.64,0.08,74.47,-250.14,-73.96
0.56,-0.04,-0.03,-175.84,-9.04,-12.12|-0.42,-0.57,0.52,57.06,218.34,-11.73|-0.30,0.59,0.01,154.85,-250.14,-104.26
0.49,0.02,-0.05,-181.80,-4.35,-9.82|-0.51,-0.65,0.49,-7.72,229.91,-30.70|-0.21,0.70,-0.08,214.12,-208.47,-18.37
0.52,-0.03,0.00,-164.94,11.11,-7.96|-0.51,-0.68,0.46,-61.37,243.21,-59.86|-0.18,0.78,-0.09,250.13,-142.14,34.93
0.55,-0.02,0.01,-145.02,18.40,-7.63|-0.47,-0.71,0.46,-128.32,247.37,-73.05|-0.19,0.75,-0.16,250.13,-80.31,59.52
0.53,-0.06,0.03,-121.16,23.77,-3.90|-0.45,-0.72,0.41,-157.14,220.02,-77.73|-0.17,0.70,-0.20,250.13,-25.80,102.56
0.50,-0.02,0.05,-101.42,26.40,-7.18|-0.28,-0.55,0.48,-184.92,195.00,-80.29|-0.18,0.57,-0.24,250.13,19.71,107.37
