0.50,0.08,0.02,-7.79,-3.63,1.25|0.14,-0.27,0.02,45.75,-23.29,38.87|0.36,0.25,-0.33,-9.17,16.52,53.75
0.48,0.06,0.02,-14.50,-4.85,5.05|0.14,-0.17,0.05,-8.27,17.88,28.73|0.50,0.10,-0.28,18.08,-12.60,20.59
0.49,0.05,0.03,-16.27,-7.25,9.73|0.19,-0.01,0.08,-51.82,-6.79,123.10|0.36,0.00,-0.35,33.26,-27.13,-54.56
0.51,0.07,0.01,-19.20,-8.44,10.69|-0.01,-0.13,0.10,-65.14,-9.01,172.79|0.33,0.03,-0.23,15.89,-21.67,-94.47
0.51,0.04,0.00,-24.30,-7.77,7.95|-0.06,-0.16,0.20,-124.31,23.85,110.86|0.32,0.29,-0.13,67.28,-51.71,-7.16
0.49,0.04,0.02,-34.24,-10.24,1.11|-0.07,-0.01,0.09,-145.15,51.15,98.20|0.25,0.17,-0.38,57.34,-45.76,50.78
0.51,0.06,-0.01,-42.08,-12.27,0.86|-0.03,-0.04,-0.03,-109.60,44.55,114.94|0.28,0.28,-0.21,30.63,-29.13,95.84
0.50,0.08,-0.00,-57.33,-13.60,0.67|-0.03,-0.03,-0.05,-72.66,57.30,127.27|0.27,0.10,-0.42,22.53,-67.84,77.53
0.51,0.06,0.01,-67.29,-16.67,4.65|0.02,-0.06,0.03,-43.05,79.69,120.21|0.23,0.26,-0.40,32.53,-39.60,37.32
0.49,0.05,-0.04,-75.60,-15.97,10.94|0.07,-0.09,-0.06,-57.34,68.65,120.11|0.22,0.18,-0.42,-1.69,-27.58,72.97
0.52,0.04,-0.00,-86.11,-20.80,9.69|0.14,-0.03,0.13,-6.25,57.57,125.02|0.17,0.11,-0.51,-50.41,-13.24,57.92
0.50,0.03,-0.02,-87.30,-20.69,10.52|0.11,0.02,0.01,17.79,18.95,190.07|0.10,0.13,-0.52,-114.33,17.60,38.20
0.51,0.05,-0.03,-92.18,-16.41,7.75|0.11,-0.12,0.13,84.90,-31.56,235.34|0.07,0.25,-0.38,-170.80,14.19,-11.87
0.49,0.02,-0.02,-95.89,-15.21,10.11|0.10,-0.40,0.06,118.37,-98.48,211.65|0.09,0.33,-0.59,-165.66,-11.91,-19.30
0.49,0.01,-0.06,-92.85,-14.79,12.26|0.05,-0.45,-0.36,74.10,-80.17,145.72|0.27,0.33,-0.82,-129.89,-21.63,-17.30
0.56,-0.02,-0.06,-80.11,-4.24,12.56|0.13,-0.49,-0.45,22.68,-14.10,116.44|0.30,0.34,-0.73,-72.24,-40.55,6.73
0.52,-0.04,-0.03,-63.21,-0.92,4.10|0.07,-0.36,-0.17,-0.98,49.72,28.82|0.23,0.31,-0.56,-18.62,-41.60,60.37
0.48,-0.01,-0.01,-52.01,3.40,4.02|-0.04,-0.26,0.06,-15.13,74.62,6.28|0.17,0.23,-0.44,-12.05,-28.24,67.66
