0.00,0.02,0.00,0.06,0.98,10.99|0.00,0.51,0.03,0.85,7.83,-147.51|0.02,0.51,-0.31,80.94,8.92,-20.02
0.46,0.02,0.06,14.69,94.05,15.73|-0.15,0.41,-0.62,224.98,32.12,-123.02|-0.02,0.40,-0.57,231.05,101.93,-43.56
0.05,0.01,0.03,26.60,4.89,16.18|0.00,0.03,0.13,250.13,0.00,21.57|0.24,0.14,-0.56,250.13,164.28,26.89
0.55,-0.65,0.03,8.82,1.95,7.96|0.56,-0.86,0.16,110.44,-101.50,19.55|0.83,-0.56,0.20,-29.49,-113.31,57.06
0.16,0.11,0.01,-250.14,-203.23,2.76|0.20,-0.03,0.03,-250.14,56.74,94.87|0.18,-0.01,-1.00,-250.14,-182.89,101.29
0.19,0.01,0.00,-250.14,-34.17,-57.65|0.14,0.13,-1.00,-250.14,135.11,62.58|0.21,0.17,-1.00,-250.14,-32.46,-67.52
0.02,0.02,0.00,-250.14,0.05,101.91|-0.40,0.16,0.01,-250.14,54.85,97.13|-0.03,0.70,-0.34,-250.14,-195.76,122.56
0.52,0.00,0.02,-250.14,-115.30,0.52|-0.11,0.50,0.38,-250.14,132.27,4.41|-0.09,0.53,0.44,-250.14,-119.74,33.36
0.40,0.01,0.04,0.99,-183.57,-4.89|0.00,0.10,0.08,-248.73,1.95,80.65|-0.04,0.09,0.32,-241.32,-181.53,-11.39
0.22,-0.04,0.02,22.00,-126.82,0.32|0.16,-0.29,0.30,-178.76,4.32,46.98|0.23,-0.03,-0.19,-153.25,-118.66,-144.98
0.51,0.67,0.03,1.95,-22.94,-108.93|0.14,0.50,0.01,1.96,-30.44,3.21|-0.02,0.73,-0.07,-46.02,-14.09,-85.70
0.40,0.67,0.03,0.12,19.82,0.86|0.14,0.66,0.57,58.66,25.16,1.95|-0.11,0.63,-0.03,-0.94,27.38,128.50
0.53,0.02,0.01,7.83,11.25,3.96|0.13,0.52,0.02,8.92,2.96,3.91|-0.08,0.65,0.01,10.10,14.46,3.27
0.52,0.53,0.01,31.52,1.22,0.50|0.04,0.50,-0.09,1.10,0.02,3.91|-0.03,0.59,0.07,34.28,25.92,-9.92
