0.50,0.14,0.07,20.19,-3.95,-12.53|-0.37,-0.25,0.15,-9.92,-36.66,-1.92|0.12,0.16,-0.52,-14.00,5.98,-4.52
0.49,0.17,0.05,10.35,1.69,-7.86|-0.39,-0.22,0.16,-9.66,-24.18,-6.21|0.15,0.17,-0.48,-3.96,22.66,-11.44
0.49,0.13,0.06,7.11,1.93,-6.79|-0.41,-0.19,0.14,-8.34,-7.49,-16.40|0.19,0.25,-0.42,9.60,16.35,-7.75
0.49,0.16,0.06,1.42,-0.12,-3.95|-0.39,-0.18,0.16,-9.01,3.79,-10.68|0.17,0.19,-0.44,4.93,11.09,-14.92
0.49,0.14,0.07,-1.68,0.28,-1.21|-0.45,-0.20,0.17,-14.82,23.60,-17.29|0.25,0.21,-0.41,6.69,2.64,-4.96
0.49,0.15,0.07,-9.92,-0.53,0.96|-0.50,-0.15,0.16,-28.47,68.96,15.49|0.30,0.16,-0.34,-10.90,-50.15,2.54
0.49,0.12,0.05,-17.14,-2.21,1.96|-0.42,-0.29,0.16,-40.39,141.76,33.17|0.20,0.24,-0.33,-13.20,-131.10,33.43
0.49,0.14,0.05,-21.25,-0.08,3.64|-0.37,-0.13,-0.01,-84.38,153.86,9.37|-0.04,0.14,-0.61,6.31,-136.42,47.32
0.48,0.17,0.04,-25.21,-2.37,10.33|-0.23,0.01,-0.07,-35.66,192.02,61.50|0.08,0.04,-0.69,-6.82,-110.45,31.93
0.48,0.19,0.05,-30.62,0.02,10.30|0.03,-0.01,0.21,20.36,156.89,90.38|0.16,0.23,-0.41,3.45,-91.62,-20.21
0.47,0.17,0.07,-39.41,-0.11,11.75|0.12,-0.11,0.19,-24.98,-56.66,-65.63|-0.52,0.66,-0.74,53.43,-43.63,18.73
0.49,0.21,0.06,-47.57,-1.88,25.18|-0.19,0.04,-0.05,74.67,-126.34,3.11|-0.04,0.24,-0.44,-29.27,155.18,-14.00
0.50,0.12,0.05,-53.48,-1.02,17.01|-0.29,-0.18,-0.11,50.36,-58.39,-11.79|0.14,0.16,-0.57,13.73,202.72,-17.93
0.51,0.13,0.05,-63.05,-0.40,21.58|-0.24,-0.23,0.00,47.67,-62.60,-11.27|0.18,0.37,-0.39,-47.45,174.81,-26.00
0.49,0.02,0.07,-54.85,-11.15,18.92|-0.34,-0.13,0.45,-0.11,-51.24,126.15|0.49,0.20,-0.20,33.81,-38.54,-11.27
0.54,0.02,0.09,-48.35,-1.08,13.48|-0.54,-0.33,-0.07,6.34,68.38,-65.48|0.13,0.19,-0.36,36.53,-220.98,97.12
0.51,-0.12,0.10,-39.88,4.79,12.28|-0.21,-0.14,-0.05,-14.44,124.07,-16.82|-0.13,0.15,-0.56,-2.00,-197.35,81.84
0.56,-0.12,0.10,-33.65,-6.88,13.72|-0.09,-0.19,-0.04,-52.53,147.24,43.54|-0.30,0.12,-0.54,-13.45,-185.60,78.73
0.53,-0.06,0.09,-46.15,-1.29,23.18|0.00,-0.16,-0.06,-64.23,152.02,39.75|-0.30,0.10,-0.48,-24.18,-131.49,36.90
