0.46,-0.23,0.02,-12.44,2.83,9.78|-0.13,-0.03,-0.07,27.85,-27.47,-3.31|-0.16,0.41,-0.33,-17.55,4.66,0.77
0.43,-0.24,0.07,-7.96,-0.45,5.13|-0.21,-0.05,-0.06,1.08,12.89,-12.23|-0.16,0.45,-0.29,-21.69,9.60,12.37
0.45,-0.28,0.05,2.76,-1.67,1.07|-0.13,-0.05,-0.02,-1.69,8.46,-16.11|-0.19,0.47,-0.29,-8.95,15.52,8.23
0.46,-0.25,0.05,10.94,-6.40,1.08|-0.11,-0.12,0.01,-11.94,-10.15,-42.28|-0.21,0.50,-0.31,24.72,18.07,6.76
0.49,-0.22,0.04,13.05,-7.26,-2.56|-0.12,-0.10,0.13,-4.25,-61.37,-92.73|-0.19,0.49,-0.27,73.37,19.82,-1.10
0.46,-0.21,0.04,14.18,0.69,-0.61|-0.23,-0.06,0.08,44.20,-107.39,-101.66|-0.11,0.34,-0.31,78.47,30.34,-11.28
0.42,-0.21,0.04,11.95,1.83,0.38|-0.36,-0.12,0.02,81.92,-91.08,-46.62|-0.11,0.33,-0.39,84.87,25.44,-32.05
0.43,-0.23,0.04,11.92,0.99,-0.08|-0.38,-0.16,-0.03,9.86,-13.61,-27.82|-0.10,0.37,-0.33,77.15,44.00,-23.89
0.43,-0.23,0.03,15.88,-7.44,3.39|-0.29,-0.09,0.21,16.43,9.35,-11.95|-0.11,0.30,-0.34,72.37,57.19,-36.58
0.43,-0.21,0.04,14.40,-12.24,1.22|-0.40,-0.13,0.20,-12.75,-10.22,20.85|-0.05,0.19,-0.26,35.32,25.94,-36.30
0.44,-0.21,0.06,10.63,-17.12,-5.40|-0.34,-0.15,-0.00,-57.57,57.40,10.69|-0.06,0.14,-0.32,-57.35,-38.53,-0.88
0.48,-0.22,0.05,12.96,-18.92,-7.76|-0.25,-0.05,-0.13,-47.06,62.29,51.74|-0.13,0.32,-0.56,-90.44,-16.76,-12.79
0.45,-0.21,0.06,20.26,-11.53,-4.73|-0.22,-0.13,-0.12,-52.98,102.09,44.15|-0.11,0.34,-0.55,-54.24,9.73,-14.60
0.45,-0.21,0.04,17.36,-10.99,-6.14|-0.21,-0.11,0.00,-60.10,116.48,44.00|-0.08,0.29,-0.41,-48.12,-15.63,-0.45
0.46,-0.22,0.05,13.90,-19.95,-4.48|-0.05,-0.25,0.29,-70.97,84.13,19.69|-0.21,0.35,-0.18,-64.79,8.34,-16.73
0.50,-0.22,0.06,21.11,-16.97,-1.85|-0.09,-0.13,0.17,-27.94,-64.12,-112.78|-0.27,0.61,-0.34,42.66,45.41,-0.60
0.46,-0.23,0.05,25.34,-14.67,0.37|-0.16,-0.03,0.12,2.30,-119.69,-108.81|-0.08,0.21,-0.37,40.41,37.45,-4.04
0.43,-0.20,0.03,16.81,-5.56,-1.24|-0.31,-0.04,0.09,37.34,-140.50,-107.16|-0.11,0.34,-0.52,71.14,10.95,-67.34
0.45,-0.17,0.02,14.65,-2.53,0.02|-0.36,-0.08,0.10,39.11,-118.63,-51.05|-0.05,0.22,-0.33,39.39,24.15,-42.47
0.44,-0.13,0.02,16.07,-3.28,-4.21|-0.38,-0.04,0.04,16.80,-70.70,-37.98|-0.07,0.28,-0.45,34.55,46.88,-57.27
0.49,-0.19,0.06,20.43,-3.65,-8.67|-0.32,-0.18,0.36,45.11,-90.99,-33.45|0.01,0.19,-0.34,17.47,21.90,-33.92
0.51,-0.22,0.02,14.31,-7.92,-4.61|-0.52,-0.26,0.09,15.79,-67.56,-9.21|-0.05,0.24,-0.52,-49.31,16.20,-12.92
0.49,-0.15,0.05,4.53,-12.46,0.98|-0.46,-0.22,0.16,2.80,-11.85,-39.76|-0.05,0.30,-0.46,-2.50,20.69,0.27
0.48,-0.13,0.02,2.72,-4.66,-1.66|-0.45,-0.13,0.13,-31.01,15.42,-2.29|-0.03,0.22,-0.42,-0.77,-6.46,1.92
0.45,-0.15,-0.01,-3.36,-4.40,-4.27|-0.46,-0.17,0.16,-45.92,47.72,20.76|-0.03,0.22,-0.46,-17.25,3.75,12.44
0.49,-0.14,0.02,-5.16,-8.41,-5.66|-0.44,-0.18,0.17,-67.82,91.63,41.52|0.02,0.24,-0.40,-30.82,-19.23,30.96
0.51,-0.15,0.01,-11.11,-10.55,-4.63|-0.36,-0.12,0.12,-58.69,103.37,40.53|-0.03,0.26,-0.44,-53.76,-53.05,35.92
0.50,-0.15,0.02,-14.53,2.08,-3.55|-0.30,-0.07,0.12,-49.34,83.69,56.10|-0.09,0.26,-0.50,-87.12,-52.31,35.79
0.46,-0.14,-0.00,-15.45,4.98,-4.96|-0.33,-0.05,0.09,-30.84,84.65,64.78|-0.11,0.30,-0.52,-93.42,-4.89,2.59
0.47,-0.13,-0.01,-16.17,2.98,-6.47|-0.30,-0.08,0.08,-31.25,97.68,74.74|-0.10,0.36,-0.40,-70.94,-1.69,5.07
0.48,-0.12,0.01,-23.42,5.39,-0.88|-0.26,-0.10,0.15,-24.19,80.76,62.69|-0.10,0.45,-0.11,-27.07,24.80,19.88
0.50,-0.11,0.02,-17.86,13.97,5.31|-0.07,-0.07,0.56,-8.18,-18.66,15.10|-0.05,0.44,-0.44,17.83,24.59,16.06
0.50,-0.17,0.02,-22.58,17.37,5.66|-0.18,-0.01,0.11,57.94,-97.86,-76.92|0.02,0.30,-0.49,33.85,13.69,-1.44
0.49,-0.15,0.02,-23.21,15.38,7.82|-0.35,-0.08,0.03,90.92,-146.62,-19.34|-0.02,0.51,-0.57,96.51,14.43,-10.08
0.47,-0.15,0.01,-22.53,11.20,1.06|-0.49,-0.08,-0.20,51.80,-76.47,-18.69|-0.02,0.31,-0.47,140.25,10.44,20.98
0.49,-0.18,0.03,-28.15,6.66,-4.42|-0.41,-0.12,-0.12,-14.98,36.84,38.56|0.06,0.05,-0.17,69.10,-57.44,21.34
0.47,-0.19,0.03,-19.92,7.21,-3.53|-0.24,-0.06,0.33,16.79,40.53,21.88|-0.09,0.13,-0.47,-57.92,-93.26,50.34
0.43,-0.17,0.04,-18.22,1.50,-2.24|-0.43,-0.16,0.01,-9.17,33.37,45.30|-0.12,0.30,-0.43,-78.29,-46.33,19.78
0.45,-0.19,0.04,-17.28,-2.87,-5.29|-0.27,-0.08,0.15,-8.80,81.51,26.40|-0.14,0.35,-0.37,-56.48,-28.20,21.80
0.45,-0.20,0.03,-15.13,-1.69,-3.76|-0.20,-0.05,0.12,-8.32,48.87,46.06|-0.14,0.28,-0.38,-62.53,-25.42,15.09
