0.01,0.01,0.04,16.46,11.24,3.26|0.19,0.25,0.06,0.43,0.01,-186.35|0.20,0.87,0.22,-33.14,31.38,-165.45
0.04,0.03,0.13,18.61,0.53,16.15|0.01,0.00,0.20,-42.64,8.08,-234.49|0.16,0.73,0.19,-9.29,6.28,-95.95
0.03,0.77,0.00,1.01,9.79,7.83|0.02,0.00,0.19,0.49,-184.18,-146.99|0.06,0.74,0.19,6.02,0.96,-16.82
0.00,0.51,0.00,4.89,14.05,9.83|0.00,0.00,0.13,0.00,0.00,-250.14|0.07,0.52,0.13,6.48,13.96,-20.85
0.39,0.53,0.06,0.01,4.43,16.98|-0.38,0.01,0.03,-231.55,0.00,0.00|-0.09,0.53,0.11,-9.12,4.49,21.19
0.34,0.40,0.03,-14.17,0.24,25.40|-0.67,0.13,0.07,-108.32,0.00,8.80|-0.16,0.39,0.09,-14.72,3.63,27.31
0.27,0.02,0.02,2.02,7.91,0.31|-0.69,0.38,0.02,127.15,0.00,-189.41|-0.16,0.40,0.10,-13.34,11.20,-1.18
0.36,0.40,0.06,-31.27,0.31,12.09|0.09,0.49,0.20,86.06,0.00,14.33|-0.13,0.49,0.20,-2.31,0.50,15.52
0.51,0.04,0.13,5.86,-15.07,0.12|0.13,0.29,0.13,1.95,-186.56,113.63|-0.09,0.30,0.16,5.79,-14.65,-4.80
0.38,0.41,0.13,0.04,4.42,8.09|0.01,0.52,0.13,-62.53,101.62,-113.95|-0.03,0.54,0.14,-1.70,-19.22,-50.52
0.47,0.53,0.00,16.37,-23.15,-15.62|-0.10,0.56,0.06,-51.76,62.60,-12.95|-0.03,0.59,0.07,-4.30,-19.79,0.08
0.50,0.51,0.09,-5.62,16.92,10.05|-0.11,0.51,0.09,-12.46,15.69,5.02|-0.05,0.53,0.10,-4.89,18.84,14.16
0.51,0.38,0.00,-11.73,13.86,31.33|0.00,0.21,0.13,17.59,8.32,31.63|-0.10,0.45,0.17,-9.58,12.69,31.31
0.38,0.44,0.03,-14.62,-4.75,15.76|0.00,0.13,0.14,-6.22,33.77,0.15|-0.12,0.45,0.17,-5.56,-5.90,15.54
0.42,0.44,0.00,-13.18,0.24,-14.64|0.00,0.32,0.07,-36.69,62.85,30.40|-0.08,0.45,0.12,-5.71,-15.99,-0.98
0.50,0.44,0.02,0.69,-17.53,0.24|-0.06,0.32,0.07,2.08,132.89,0.02|-0.06,0.45,0.08,3.18,-16.45,2.63
0.44,0.50,0.03,1.04,-19.30,10.52|-0.19,0.52,0.06,-46.36,187.64,0.01|-0.04,0.53,0.10,-1.95,-18.49,16.82
0.47,0.50,0.01,4.40,-15.15,2.44|-0.15,0.50,0.06,4.52,235.79,2.48|-0.02,0.52,0.07,4.52,-13.15,18.98
0.53,0.50,0.07,0.02,-3.18,42.99|-0.16,0.50,0.03,7.88,228.66,11.74|-0.02,0.52,0.11,9.22,-1.28,44.08
0.50,0.51,0.09,1.60,-7.81,42.56|-0.10,0.00,0.12,2.08,207.18,39.60|-0.04,0.51,0.12,4.05,-3.46,42.31
0.50,0.51,0.02,3.27,-5.54,37.21|-0.06,0.00,0.00,10.05,209.10,5.87|-0.05,0.51,0.15,15.39,-1.95,37.02
0.51,0.01,0.02,5.21,-11.47,39.21|0.06,0.30,0.01,15.79,226.98,39.63|-0.05,0.50,0.16,16.40,-1.63,39.29
0.52,0.00,0.00,23.08,0.00,7.82|-0.05,0.00,0.13,16.40,0.24,1.98|-0.04,0.41,0.14,23.21,0.76,21.41
0.44,0.02,0.05,1.56,2.02,3.97|-0.06,0.29,0.02,5.07,6.06,5.50|-0.05,0.50,0.18,5.01,7.84,6.36
0.50,0.41,0.04,-35.08,15.63,-17.57|-0.07,0.39,0.04,118.17,0.34,86.31|-0.01,0.40,0.16,-5.93,19.88,-5.56
0.00,0.02,0.05,-50.53,15.69,-18.18|0.06,0.45,0.04,70.36,1.62,0.00|0.07,0.50,0.16,-36.99,17.23,2.40
0.00,0.00,0.04,-93.74,-6.11,0.00|0.25,0.06,0.25,27.37,25.41,4.89|0.28,0.62,0.27,-65.88,-6.92,14.19
0.50,0.03,0.03,-60.38,-95.41,72.00|0.62,0.43,0.50,0.85,8.06,0.06|0.77,1.00,0.52,-5.10,-107.76,88.02
0.53,0.11,0.02,66.47,4.24,247.08|0.78,0.49,0.52,1.47,10.76,2.30|0.76,1.00,0.55,105.31,-243.03,250.13
0.03,0.07,0.05,70.35,0.00,239.63|0.25,0.46,0.00,1.96,0.00,197.37|0.23,0.96,0.26,60.31,-250.14,250.13
0.45,0.03,0.00,-123.47,0.00,231.07|-0.25,0.03,0.57,-132.88,0.00,183.60|-0.08,0.17,-0.27,-136.91,-250.14,250.13
0.26,0.00,0.03,0.00,0.00,95.41|-0.46,0.56,0.19,-250.14,-250.14,70.55|-0.20,0.60,0.21,-250.14,-250.14,121.67
0.25,0.00,0.06,0.00,-250.14,100.73|-0.43,-0.44,0.27,-250.14,-250.14,86.00|-0.17,-0.22,0.52,-250.14,-250.14,68.79
0.00,0.01,0.17,8.08,-250.14,-250.14|0.00,-0.80,0.03,-175.04,-250.14,0.00|-0.04,-0.45,0.07,-150.68,-250.14,-250.14
0.00,0.04,0.02,8.63,16.76,-140.20|0.01,0.16,0.50,35.67,0.74,7.88|0.08,0.40,-0.17,48.52,12.15,-97.47
0.29,0.00,0.00,74.29,54.72,3.95|-0.25,0.26,0.63,7.89,63.51,62.53|-0.06,0.19,-0.21,76.36,56.00,204.05
0.00,0.01,0.04,62.69,0.52,3.91|0.10,0.13,0.66,9.83,8.18,0.24|0.11,0.18,-0.34,58.25,22.97,-34.11
0.00,0.00,0.06,0.37,-15.63,1.15|0.01,0.38,0.54,0.00,0.15,1.01|0.13,0.33,-0.40,-3.28,-12.94,6.11
0.00,0.00,0.06,-15.13,19.92,0.50|0.06,0.02,0.69,1.47,2.08,-26.56|0.19,0.30,-0.27,-14.22,14.79,-7.91
0.00,0.02,0.07,0.98,9.77,1.12|0.01,0.01,0.66,2.33,13.82,4.21|0.15,0.27,-0.35,13.04,17.66,2.95
0.00,0.00,0.03,39.08,29.46,0.03|0.00,0.07,0.72,39.46,7.97,-14.61|0.16,0.20,-0.26,40.85,29.79,-13.92
0.14,0.04,0.00,78.20,84.58,2.02|0.03,0.05,0.50,80.37,2.70,0.50|0.16,0.30,-0.29,81.34,92.59,21.52
0.11,0.00,0.07,98.93,111.58,1.28|0.07,0.04,0.75,99.67,8.80,8.58|0.11,0.29,-0.15,100.39,120.24,28.17
