0.50,-0.03,0.11,11.03,-10.20,-0.76|-0.02,-0.38,0.09,6.85,13.64,-29.40|-0.10,0.44,0.24,-13.52,1.70,17.76
0.51,-0.02,0.11,6.86,-12.63,-2.12|-0.01,-0.37,0.10,6.42,4.31,-4.62|-0.11,0.40,0.26,-9.05,3.18,14.67
0.49,-0.02,0.10,3.15,-12.54,-2.00|0.02,-0.34,0.11,8.43,-0.05,-3.34|-0.09,0.39,0.27,-4.51,5.82,12.31
0.50,-0.02,0.09,-1.56,-14.60,-2.60|0.02,-0.36,0.13,4.87,5.49,-5.60|-0.08,0.38,0.27,-3.78,7.27,10.91
0.50,-0.02,0.08,-4.95,-13.62,-3.98|0.03,-0.30,0.17,7.89,8.48,7.63|-0.09,0.38,0.28,-4.94,7.99,8.05
0.50,-0.02,0.07,-7.14,-12.27,-6.26|0.01,-0.31,0.17,2.82,13.79,-3.71|-0.09,0.38,0.27,-6.26,9.18,4.19
0.51,-0.02,0.08,-7.37,-10.81,-8.27|-0.00,-0.26,0.20,-3.05,26.50,30.79|-0.10,0.40,0.25,-7.70,14.92,2.22
0.50,-0.01,0.07,-5.50,-4.95,-12.48|-0.03,-0.31,0.21,-11.25,54.00,37.94|-0.10,0.43,0.24,-12.13,25.21,8.73
0.50,-0.00,0.07,-8.18,-2.03,-16.73|0.00,-0.31,0.26,-16.73,92.86,3.64|-0.09,0.45,0.24,-4.74,37.44,21.94
0.51,0.00,0.09,-17.38,-1.26,-15.49|-0.03,-0.27,0.25,-16.63,118.47,21.93|-0.05,0.45,0.26,-0.37,45.69,34.22
0.50,0.01,0.06,-26.63,2.53,-14.01|-0.01,-0.30,0.32,-6.92,130.31,50.26|0.00,0.48,0.29,8.50,43.26,49.15
0.51,0.02,0.08,-39.95,2.59,-17.44|-0.02,-0.24,0.34,38.85,163.89,65.92|0.07,0.56,0.31,12.06,42.86,76.54
0.49,0.02,0.07,-52.44,-1.02,-19.89|-0.07,-0.43,0.13,33.98,144.95,140.88|0.08,0.69,0.38,28.20,25.80,111.05
0.52,-0.00,0.06,-58.90,8.24,-27.63|-0.07,-0.42,0.34,106.31,172.24,152.24|0.14,0.64,0.35,40.34,-21.61,137.99
0.52,-0.01,0.10,-73.20,8.86,-25.27|-0.19,-0.32,0.31,111.82,128.28,204.17|0.17,0.76,0.42,65.18,-83.47,169.18
0.50,0.04,0.07,-72.42,14.21,-20.27|-0.11,-0.75,0.49,205.61,135.12,245.71|0.18,0.65,0.41,62.37,-146.40,176.37
0.52,0.01,0.10,-68.12,2.50,-21.98|-0.05,-0.58,0.60,223.80,103.80,111.66|0.20,0.57,0.41,57.74,-216.34,183.82
0.49,0.04,0.07,-57.82,5.61,-16.68|-0.01,-0.90,0.81,223.74,17.57,53.08|0.28,0.56,0.34,27.82,-234.82,170.88
0.52,0.04,0.12,-54.67,-2.65,-16.02|-0.01,-0.54,0.94,222.03,-33.58,58.52|0.17,0.37,0.20,-30.75,-250.14,201.06
0.48,0.05,0.09,-39.31,-3.25,-31.13|0.06,-0.77,0.94,141.37,-8.10,-31.86|0.15,0.23,0.07,-91.93,-238.49,151.48
0.51,-0.05,0.10,-13.05,-1.01,-27.10|-0.06,-0.61,0.92,117.73,-8.95,26.13|0.12,0.16,0.10,-96.97,-250.14,97.69
0.51,0.03,0.10,-3.06,1.79,-16.06|-0.10,-0.48,0.89,65.22,1.87,-43.37|0.05,0.02,0.02,-93.17,-250.14,-45.27
0.50,0.04,0.09,0.40,5.94,-10.09|-0.10,-0.33,0.87,36.20,-15.21,-4.82|-0.11,0.13,-0.18,-39.05,-250.14,-247.18
0.48,0.03,0.10,-7.02,3.60,-5.73|-0.12,-0.38,0.86,1.76,-28.05,23.06|-0.13,0.47,-0.34,52.69,-170.89,-201.90
0.49,0.08,0.08,-14.24,2.16,1.21|-0.13,-0.34,0.83,-4.54,-32.94,35.47|-0.12,0.38,-0.38,56.03,-87.45,-51.84
0.49,0.05,0.09,-20.37,3.98,1.24|-0.12,-0.42,0.75,-2.23,-9.61,27.27|-0.13,0.32,-0.47,21.72,-2.60,7.56
0.51,0.05,0.09,-19.11,5.50,3.77|-0.12,-0.44,0.80,9.34,18.92,-24.69|-0.03,0.28,-0.39,12.24,3.50,10.75
0.48,0.03,0.12,-16.54,7.05,4.22|-0.12,-0.35,0.85,8.31,31.51,-37.44|-0.01,0.29,-0.43,0.71,-3.46,-13.56
0.51,0.03,0.12,-9.74,1.89,3.44|-0.11,-0.31,0.87,-3.94,27.95,-31.64|0.01,0.35,-0.45,-16.28,-2.74,-3.36
0.49,0.04,0.12,-4.74,0.17,2.87|-0.11,-0.30,0.87,-13.56,14.66,-0.69|-0.00,0.30,-0.44,-19.24,-2.95,-8.73
0.50,0.04,0.12,-1.49,-1.32,2.32|-0.10,-0.34,0.85,-12.74,19.79,-13.51|-0.01,0.30,-0.34,-17.05,7.08,-3.29
0.48,0.03,0.10,-2.75,0.04,3.89|-0.10,-0.35,0.86,-9.54,21.83,-16.63|-0.03,0.29,-0.39,-8.76,19.65,-0.97
0.51,0.03,0.11,-3.81,-0.41,6.53|-0.09,-0.36,0.86,-7.61,23.77,-18.01|-0.04,0.31,-0.37,-2.98,30.45,-12.98
