0.43,-0.14,0.03,54.62,-16.74,12.75|0.17,-0.14,0.19,250.13,-177.36,-220.39|0.20,0.36,0.23,-2.32,38.73,42.00
0.46,-0.18,0.00,34.35,-11.16,8.57|0.07,-0.26,0.10,250.13,-219.06,-187.11|0.22,0.34,0.23,-11.21,17.46,23.72
0.48,-0.19,0.03,29.63,-8.40,8.40|-0.07,-0.18,0.10,250.13,-250.14,-107.30|0.25,0.40,0.19,-13.08,6.22,2.83
0.47,-0.16,0.04,20.66,-1.73,6.69|0.14,-0.19,0.48,250.13,-250.14,152.53|0.25,0.42,0.22,-12.51,-3.86,7.36
0.52,-0.15,0.06,-13.56,7.16,11.20|0.25,0.22,0.07,45.82,-216.48,250.13|0.26,0.35,0.27,2.54,-12.93,15.54
0.48,-0.20,0.03,-16.43,2.55,16.14|-0.35,-0.92,0.18,-35.52,-49.63,80.17|0.30,0.40,0.25,-16.89,-28.47,-19.02
0.37,-0.28,0.04,-7.66,-5.77,-12.60|-0.31,-0.50,0.08,-20.79,47.92,-250.14|0.28,0.47,0.19,-7.17,-27.44,-6.02
0.47,-0.23,0.04,8.48,-6.60,-16.52|0.01,-0.00,0.29,-21.24,-35.10,97.49|0.28,0.40,0.22,-7.61,-24.72,26.89
0.53,-0.15,0.02,-12.02,-4.31,-4.46|-0.12,-0.34,0.09,-34.08,-37.49,169.79|0.26,0.35,0.22,-2.76,-34.04,10.25
0.46,-0.15,0.01,-26.68,9.53,-3.60|-0.07,-0.25,0.12,-52.52,20.82,57.86|0.23,0.36,0.21,1.09,-45.64,-10.95
0.44,-0.18,0.01,-40.52,12.90,-4.73|0.02,-0.10,0.20,-58.11,105.99,-69.56|0.20,0.33,0.19,7.77,-51.30,-18.17
0.44,-0.15,0.01,-43.03,14.44,-6.94|0.02,-0.06,0.41,-108.94,147.67,-11.18|0.18,0.33,0.15,13.44,-49.93,-47.36
0.49,-0.17,0.02,-55.63,24.64,-9.46|-0.13,-0.24,0.46,-66.69,162.89,83.15|0.16,0.41,0.16,4.97,-35.31,-53.12
0.51,-0.18,0.02,-69.98,30.31,-8.62|-0.24,-0.26,0.35,30.94,162.97,120.49|0.16,0.41,0.17,0.02,-19.24,-52.02
0.48,-0.20,0.02,-76.44,33.51,-12.37|-0.28,-0.33,0.41,211.99,119.46,168.61|0.17,0.45,0.18,-9.76,-3.60,-80.21
0.46,-0.19,0.02,-77.58,30.35,-15.02|-0.29,-0.60,0.41,250.13,50.90,201.56|0.20,0.55,0.18,-10.94,13.63,-66.52
