0.52,0.04,0.11,28.75,13.45,20.76|-0.52,-0.07,0.92,-208.27,58.92,-37.77|0.02,-0.42,0.28,-28.58,-44.72,40.77
0.48,0.11,0.14,21.29,10.31,2.02|-0.47,-0.28,1.00,-224.18,-49.47,-58.88|0.04,-0.43,0.31,-31.00,-30.79,21.17
0.47,0.05,0.18,19.65,8.31,2.40|-0.42,-0.32,1.00,-207.22,-193.66,-10.58|-0.01,-0.38,0.28,-30.26,-20.55,-1.65
0.47,0.05,0.23,22.85,19.76,11.20|-0.24,-0.43,0.91,-123.94,-250.14,-26.43|-0.07,-0.38,0.33,-18.31,-45.69,-9.15
0.46,0.05,0.24,25.40,7.35,10.55|0.07,-0.69,0.98,1.82,-250.14,-11.11|-0.08,-0.37,0.35,-10.81,-36.52,17.26
0.47,0.02,0.25,26.70,-4.77,17.49|0.32,-0.56,0.91,125.79,-250.14,-39.36|-0.02,-0.40,0.36,4.25,-30.89,27.75
0.44,0.00,0.24,42.12,-16.66,22.97|0.50,-0.33,0.60,250.13,-109.95,-22.82|-0.01,-0.39,0.31,11.66,-30.85,39.88
0.46,-0.01,0.20,63.69,-21.98,29.94|0.56,-0.01,0.74,250.13,68.55,72.54|-0.06,-0.31,0.32,18.32,-28.05,42.84
0.45,0.04,0.20,66.43,-25.18,24.94|0.33,-0.17,0.72,250.13,154.50,55.98|-0.06,-0.32,0.30,15.92,-35.92,60.73
0.47,0.04,0.19,59.62,-18.97,14.76|0.18,0.19,0.63,247.40,217.06,-43.05|-0.01,-0.35,0.23,9.44,-37.76,68.03
0.45,0.01,0.14,59.79,-10.50,2.33|0.05,0.36,0.70,100.87,236.01,-53.10|0.03,-0.31,0.24,-5.56,-30.56,59.38
0.48,0.04,0.21,57.49,6.01,2.10|-0.10,0.38,0.77,-96.39,191.53,-78.85|0.02,-0.36,0.28,-12.93,-35.28,53.58
0.54,0.00,0.16,48.95,16.64,18.98|-0.23,0.27,0.83,-225.37,76.42,-12.60|0.03,-0.40,0.41,-22.79,-36.08,51.02
0.50,0.05,0.21,31.00,9.60,14.66|-0.61,-0.03,0.88,-250.14,48.21,-61.32|0.04,-0.40,0.36,-22.09,-36.73,36.92
0.47,-0.01,0.19,31.73,14.92,12.77|-0.47,-0.17,0.97,-250.14,-17.71,-65.65|0.06,-0.35,0.29,-10.57,-12.89,21.08
0.44,0.03,0.17,23.53,3.13,13.02|-0.41,-0.18,0.92,-232.43,-144.13,-38.79|0.00,-0.31,0.36,-13.08,-22.10,10.53
0.51,-0.04,0.20,19.19,-5.79,14.05|-0.29,-0.50,0.72,-154.79,-197.25,-29.62|-0.05,-0.34,0.44,0.72,-16.33,4.36
0.51,-0.04,0.20,17.11,-0.50,21.67|-0.14,-0.61,0.84,-25.49,-250.14,18.42|-0.07,-0.31,0.46,2.71,-22.37,17.27
0.52,-0.03,0.26,9.68,-2.15,31.47|0.09,-0.72,0.89,104.50,-250.14,-66.95|0.03,-0.33,0.43,-3.27,-52.06,35.56
0.44,-0.05,0.21,4.24,-1.06,26.48|0.28,-0.44,0.77,196.63,-242.78,-3.95|0.06,-0.31,0.34,6.54,-53.71,34.79
0.41,-0.17,0.22,24.53,-21.44,23.69|0.43,-0.40,0.67,250.13,-125.59,2.61|0.03,-0.28,0.32,18.02,-34.46,26.48
0.42,-0.14,0.21,54.42,-30.79,23.36|0.46,-0.05,0.65,250.13,50.33,31.30|-0.04,-0.18,0.34,15.00,-18.43,41.22
