0.45,-0.01,0.02,110.59,-53.86,3.22|-0.13,-0.31,0.78,36.54,-66.31,122.20|-0.30,-0.30,-0.32,-50.46,-123.59,-101.77
1.00,-0.16,0.10,131.49,-0.78,4.13|-0.44,-0.65,1.00,-43.02,-35.60,114.10|-0.55,0.16,-1.00,-133.42,-24.88,-202.92
1.00,0.10,0.07,122.56,-3.96,-5.54|-0.19,-0.37,1.00,-89.60,-60.04,114.14|-0.29,0.81,-1.00,-250.14,178.50,-250.14
0.78,-0.04,0.01,160.50,30.74,-2.02|-0.37,-0.23,1.00,-79.74,-43.07,73.68|0.29,0.76,-0.51,27.71,42.63,-122.85
0.45,0.11,0.06,123.07,21.44,-7.69|-0.23,-0.29,0.66,-56.34,-30.47,125.58|0.38,1.00,0.56,42.33,143.44,48.85
0.13,0.05,-0.01,126.18,26.51,5.06|-0.12,-0.05,0.40,-35.41,-40.45,89.41|-0.15,-0.70,-0.25,250.13,-84.47,76.27
-0.02,0.07,-0.03,77.98,4.22,11.27|-0.08,-0.18,0.39,-27.95,-55.30,101.85|0.15,-0.13,-0.04,125.57,-38.53,-205.32
0.15,-0.00,-0.02,69.82,-37.51,6.50|0.06,-0.19,0.53,32.20,-123.47,63.67|-0.03,-0.20,-0.11,48.44,-121.29,-53.88
0.56,-0.04,0.10,85.21,-24.26,13.82|-0.16,-0.33,0.73,13.79,-73.90,83.66|-0.36,-0.43,-0.32,-48.79,-162.56,-110.27
0.94,0.06,0.16,93.69,-8.26,-29.88|-0.54,-0.68,1.00,-40.75,-36.53,107.95|-0.60,0.07,-1.00,-135.68,-40.67,-215.95
1.00,0.09,0.13,128.16,-3.15,42.52|-0.30,-0.28,1.00,-76.37,-72.31,90.50|-0.09,-0.03,-0.83,-231.89,114.47,-250.14
0.74,-0.03,0.11,128.54,-5.11,11.85|-0.39,-0.32,1.00,-55.41,-56.47,114.40|0.34,1.00,-0.15,-28.39,153.19,-20.87
0.46,-0.05,0.18,158.81,39.70,12.66|-0.26,-0.22,0.73,-65.83,-63.63,130.93|0.34,0.98,0.30,43.05,170.96,-109.61
-0.07,0.14,-0.11,139.42,6.45,12.74|-0.12,-0.04,0.55,-78.69,-57.12,133.09|0.05,-0.01,-0.07,250.13,44.99,-18.86
-0.01,0.06,-0.06,121.64,-31.66,1.50|-0.10,-0.10,0.34,-41.77,-39.71,126.63|0.17,-0.35,-0.03,213.42,-20.34,-54.10
0.50,0.08,0.04,118.29,-46.55,7.59|-0.14,-0.09,0.53,8.37,-57.84,106.05|-0.09,-0.66,-0.21,108.04,-87.47,-93.15
0.77,0.00,-0.02,99.24,-46.83,15.76|-0.25,-0.38,1.00,33.20,-68.62,85.85|-0.37,-0.52,-0.60,-45.11,-133.69,-156.59
1.00,-0.32,0.18,119.47,29.04,-16.15|-0.30,-0.72,1.00,-94.63,-83.49,124.76|-0.53,0.07,-1.00,-155.95,-111.65,-125.46
0.98,0.20,0.10,148.74,-8.10,27.02|-0.20,-0.45,1.00,-85.84,-43.26,105.34|-0.50,0.70,-1.00,-250.14,127.00,-250.14
0.65,-0.15,0.06,151.37,74.76,-13.05|-0.17,-0.18,0.90,-67.29,-55.97,102.79|0.29,1.00,-0.11,-58.93,57.33,-5.55
0.06,-0.07,0.06,158.75,16.96,7.72|-0.05,-0.08,0.69,-41.23,-48.57,103.31|0.22,0.63,0.40,31.36,96.22,-23.85
-0.03,-0.01,0.04,144.83,4.31,23.98|-0.11,-0.02,0.48,-62.62,-72.05,115.24|-0.09,-0.27,-0.21,185.54,51.39,-61.11
-0.01,0.11,-0.05,123.63,-6.56,18.44|-0.14,-0.03,0.43,-54.91,-75.66,139.92|0.01,-0.28,-0.24,175.85,-37.50,-123.91
0.51,0.00,0.00,102.89,-57.50,37.36|-0.20,-0.16,0.70,14.10,-100.41,128.66|-0.26,-0.37,-0.38,41.02,-124.75,-113.75
0.70,0.13,-0.05,104.13,-42.73,-11.27|-0.31,-0.43,1.00,23.21,-56.84,125.42|-0.42,-0.20,-0.64,-82.32,-148.85,-167.86
0.86,0.03,0.17,74.85,8.30,-1.92|-0.13,-0.54,1.00,-27.54,-66.69,116.82|-0.32,0.35,-1.00,-174.76,-74.81,-242.38
0.72,-0.00,0.12,109.46,-22.00,13.20|-0.11,-0.46,1.00,-27.04,-55.88,43.37|-0.09,0.95,-0.80,-250.14,183.75,-196.27
0.72,0.12,0.10,111.60,-3.09,8.25|-0.27,-0.27,1.00,-15.81,-47.95,72.39|0.30,0.56,-0.21,-14.11,64.61,-71.70
0.47,-0.03,0.10,134.84,5.02,-0.08|-0.24,-0.18,0.86,-4.46,-50.01,54.76|0.44,1.00,0.21,112.54,180.45,76.85
0.29,0.01,0.01,141.47,3.70,9.37|-0.21,-0.00,0.69,0.16,-37.66,96.92|-0.15,-0.26,-0.32,250.13,44.05,-44.35
0.12,0.10,-0.03,101.27,-21.42,3.98|-0.09,-0.12,0.59,-31.22,-27.75,116.95|0.13,-0.07,-0.06,209.65,21.34,-135.38
0.16,-0.01,0.00,83.32,-27.08,-5.15|-0.04,-0.04,0.55,-24.62,-33.53,119.30|0.04,-0.47,-0.21,82.28,-145.26,-19.56
0.58,0.00,0.02,66.18,-8.46,-5.03|-0.23,-0.30,0.76,-10.91,-38.82,146.77|-0.27,-0.49,-0.64,-85.18,-159.43,-104.21
0.99,-0.13,-0.05,76.11,-31.49,-8.68|-0.11,-0.30,1.00,5.18,-42.35,138.52|-0.35,0.46,-1.00,-238.52,-78.19,-182.81
0.99,-0.20,0.12,130.35,46.28,13.68|0.01,-0.14,1.00,-70.50,-52.51,140.35|-0.40,0.51,-1.00,-250.14,131.30,-146.60
0.56,-0.04,0.06,150.07,45.52,-10.34|-0.11,-0.21,0.93,-99.97,-24.25,129.95|0.07,1.00,-0.28,-88.51,115.34,-100.52
