0.46,-0.34,0.02,120.08,-43.11,18.34|-0.11,-0.27,1.00,-33.16,-96.13,113.76|0.64,-0.31,-0.03,250.13,-0.72,24.69
0.38,-0.37,0.12,131.36,-68.78,7.03|-0.09,-0.34,0.93,-20.73,-105.08,147.73|0.52,-0.23,-0.24,250.13,-126.70,-169.34
0.28,-0.31,0.01,152.43,-93.91,2.80|-0.07,-0.28,0.77,-9.20,-92.89,131.97|0.19,-0.22,-0.24,201.10,-250.14,-132.69
0.36,-0.23,-0.01,154.59,-87.31,-1.98|-0.09,-0.26,0.78,9.55,-79.01,122.27|-0.01,-0.24,-0.14,132.21,-250.14,-91.94
0.51,-0.18,-0.04,147.73,-67.38,1.53|-0.14,-0.25,0.89,5.47,-64.84,121.70|-0.19,-0.36,-0.32,37.46,-250.14,-112.48
0.44,-0.15,-0.08,109.53,-60.68,4.39|-0.11,-0.43,0.93,-9.61,-99.85,121.63|-0.24,-0.48,-0.27,-51.61,-250.14,-121.15
0.50,-0.11,-0.08,101.29,-73.05,1.74|-0.23,-0.37,0.76,1.21,-63.00,120.59|-0.36,-0.43,-0.26,-172.82,-250.14,-134.66
0.56,-0.14,-0.05,99.50,-55.69,-8.66|-0.11,-0.49,0.81,-32.71,-63.05,102.95|-0.45,-0.22,-0.34,-250.14,-178.59,-123.84
0.50,-0.06,-0.03,80.46,-32.40,-9.11|-0.09,-0.32,0.87,-14.98,-52.57,71.11|-0.40,-0.01,-0.44,-250.14,-95.53,-74.49
0.41,-0.09,0.00,77.28,-15.75,-6.80|-0.16,-0.30,0.79,-24.59,-50.20,83.82|-0.41,0.15,-0.59,-250.14,96.37,-0.94
0.45,-0.09,-0.06,95.44,-27.19,-16.39|-0.21,-0.26,0.72,-58.86,-46.50,77.69|-0.34,0.59,-0.68,-250.14,226.92,177.03
0.53,-0.06,0.03,101.17,-33.00,-31.19|-0.20,-0.28,0.84,-78.15,-52.92,96.26|-0.22,0.60,-0.38,34.55,250.13,221.81
