0.42,0.06,0.10,-31.59,12.05,8.86|-0.02,-0.33,0.96,-121.83,80.77,0.18|-0.11,-0.35,-0.45,-227.19,116.35,56.92
0.46,0.10,0.12,-30.07,7.53,17.16|0.01,-0.36,0.77,-70.12,54.09,47.99|-0.13,-0.35,-0.57,-247.26,132.15,110.59
0.48,0.13,0.10,-21.08,2.31,24.39|-0.03,-0.36,0.87,-106.56,143.94,38.86|0.23,0.03,-0.02,-169.36,250.13,154.57
0.43,0.22,0.05,-7.61,8.85,19.29|0.02,-0.42,0.77,-104.48,76.95,42.02|0.44,-0.32,-0.04,54.80,-218.07,-48.31
0.46,0.12,0.18,-21.91,3.28,26.39|0.03,-0.40,0.25,101.82,-113.23,43.40|-0.01,-0.31,-0.93,197.64,-196.84,-128.37
0.44,0.07,0.14,-17.54,-14.64,43.81|-0.25,-0.36,0.40,217.63,-191.85,-43.44|-0.20,-0.41,-0.71,250.13,-99.71,-37.66
0.50,0.05,0.14,-12.85,-10.06,50.05|-0.03,-0.49,1.00,243.27,-229.36,-26.26|-0.15,-0.41,-0.58,250.13,-127.60,-5.23
0.57,-0.04,0.10,-30.40,-1.47,29.24|0.22,-0.34,1.00,116.69,-250.14,-11.08|0.22,0.34,0.87,142.03,-52.92,-40.37
0.60,-0.06,0.11,-57.27,23.53,-2.68|0.48,-0.20,0.79,55.71,250.13,-40.31|0.14,0.02,-0.13,-62.60,-48.57,66.38
0.52,-0.37,0.05,-27.77,14.75,-33.36|-0.07,-0.46,1.00,-244.78,250.13,-161.65|0.05,-0.65,-0.62,-228.08,85.78,23.14
0.51,-0.22,-0.01,3.05,-21.52,-14.87|-0.40,-0.47,0.89,-250.14,250.13,29.18|-0.20,-0.53,-0.92,-43.35,54.21,-90.98
0.57,-0.07,0.07,-6.98,-8.89,-23.19|-0.13,-0.10,0.55,-250.14,144.30,6.82|0.11,-0.25,-0.70,-250.14,219.47,45.30
0.43,-0.16,0.05,2.37,-13.46,-0.78|-0.46,-0.41,-0.11,-93.18,231.89,10.24|-0.22,-0.17,-0.89,-250.14,250.13,148.56
0.45,-0.15,0.12,10.04,1.96,13.76|0.03,0.00,0.44,-32.50,53.57,92.33|0.75,-0.39,0.53,-113.27,15.21,50.45
0.39,-0.16,0.08,1.24,-6.03,20.69|-0.33,-0.56,0.55,8.44,-32.49,34.25|0.33,-0.07,-0.43,22.36,-64.27,7.61
0.47,-0.10,0.10,-11.50,-8.62,17.24|-0.32,-0.42,0.49,-32.14,-14.46,-38.44|0.21,-0.12,-0.44,1.12,21.86,-15.69
0.54,-0.18,0.06,-9.63,-10.30,4.24|-0.32,-0.50,0.57,-7.06,-20.69,-9.29|0.23,-0.01,-0.45,-3.95,-2.48,-0.25
0.49,-0.07,0.08,6.83,-8.74,-2.65|-0.28,-0.52,0.58,-19.16,-44.74,-2.17|0.25,-0.19,-0.43,24.53,0.27,1.88
0.49,-0.11,0.07,-1.07,-2.06,-5.76|-0.28,-0.48,0.54,5.55,11.01,12.08|0.20,-0.17,-0.37,-14.28,-11.47,11.97
0.45,-0.09,0.03,4.85,-6.07,-6.51|-0.31,-0.45,0.58,20.47,26.52,-28.75|0.27,-0.18,-0.36,-3.45,-3.40,3.96
0.47,-0.08,0.06,5.36,-5.38,-6.18|-0.28,-0.46,0.64,27.16,-47.60,-16.35|0.18,-0.14,-0.44,2.83,15.53,2.33
0.51,-0.13,0.05,15.35,-11.85,-5.50|-0.30,-0.45,0.58,34.83,-64.18,-32.35|0.24,-0.19,-0.44,29.41,-2.45,-7.41
0.55,-0.10,0.10,12.46,0.95,-6.09|-0.30,-0.43,0.58,48.73,-89.65,-20.91|0.35,-0.17,-0.44,53.12,-16.02,-32.43
0.53,-0.09,0.10,13.38,10.95,-4.36|-0.26,-0.49,0.62,94.28,-131.21,-7.47|0.41,-0.14,-0.27,110.66,-241.53,-142.20
0.49,-0.10,0.09,9.12,7.45,-1.44|-0.25,-0.49,0.65,153.51,-193.44,-10.19|-0.03,-0.14,-0.73,152.28,-203.39,-108.98
0.45,-0.14,0.07,16.51,3.63,-3.19|-0.17,-0.43,0.75,203.66,-218.82,-40.03|-0.14,-0.31,-0.58,203.68,-88.18,-63.76
0.45,-0.12,0.08,25.01,6.91,-6.02|-0.07,-0.29,0.99,189.81,-212.50,-2.24|-0.06,-0.34,-0.46,137.31,-78.65,-28.73
0.47,-0.16,0.08,21.19,2.15,-14.77|-0.02,-0.25,0.82,152.28,-216.69,-23.56|-0.02,-0.31,-0.29,77.31,-22.76,61.43
0.47,-0.15,0.05,16.45,2.54,-14.05|0.18,0.11,0.44,96.50,-101.47,-9.24|0.12,-0.15,-0.11,92.85,-76.90,113.52
0.46,-0.16,0.08,9.21,-1.63,-12.32|0.26,-0.08,0.77,-63.46,181.55,12.63|0.23,-0.36,0.05,-34.83,-46.94,67.11
0.48,-0.20,0.06,14.37,-5.32,-28.33|0.12,-0.34,1.00,-250.14,191.91,-3.49|-0.25,-0.54,-0.50,-197.95,68.63,-7.53
0.53,-0.14,0.05,21.38,-3.63,-28.88|-0.14,-0.49,0.84,-250.14,194.69,21.67|-0.06,-0.43,-0.78,-174.74,120.43,-31.60
0.60,0.04,0.12,-1.04,0.51,-18.87|-0.24,-0.54,0.57,-250.14,125.01,-57.84|-0.08,-0.51,-0.52,-174.45,227.29,74.59
0.49,0.08,0.15,-1.77,-16.76,-8.40|-0.20,-0.19,-0.50,98.78,-89.02,-0.58|0.00,-0.28,-0.79,-250.14,238.18,112.56
0.57,-0.01,0.04,26.11,31.51,28.42|-0.17,-0.68,1.00,250.13,-137.97,77.79|0.54,-0.29,0.16,-9.71,-250.14,-54.85
0.49,0.16,0.11,10.75,-6.41,11.73|0.15,-0.48,1.00,214.59,-144.18,-62.47|0.14,-0.17,-0.93,158.53,-131.67,-166.85
0.54,0.16,0.09,-11.56,-0.01,-23.28|0.13,1.00,-0.55,193.73,-250.14,109.10|-0.06,-0.12,-0.62,186.02,-97.47,-148.69
0.53,0.01,-0.05,-40.46,43.90,-23.44|0.00,-0.91,1.00,-81.27,235.51,90.30|-0.38,-0.34,-0.60,155.44,-107.23,-66.60
0.39,0.06,0.17,4.70,-17.39,-22.24|0.06,-0.38,1.00,-39.94,-116.97,-17.07|-0.26,-0.49,-0.23,223.08,26.22,-17.73
0.54,0.08,0.15,9.65,-3.95,-6.74|0.28,-0.01,0.60,14.07,-20.61,-7.11|0.04,-0.11,0.29,141.90,-175.14,157.67
0.47,0.17,0.11,-22.14,-2.05,-12.64|0.10,-0.17,1.00,-0.10,44.12,-40.02|0.16,-0.40,0.01,144.92,-135.11,65.68
0.45,-0.01,0.11,-18.01,1.34,-14.44|0.18,-0.10,0.93,-19.00,-35.92,-14.21|-0.13,-0.33,-0.20,55.98,-42.01,2.66
0.50,0.03,0.09,9.11,-10.60,-23.63|0.18,-0.18,0.95,-14.03,-12.92,-13.01|-0.27,-0.75,-0.27,-39.07,48.95,5.85
0.53,0.08,0.09,7.71,-0.78,-16.34|0.19,-0.10,0.98,3.84,-9.57,-11.82|-0.15,-0.49,-0.24,-17.19,47.99,-52.35
0.51,0.08,0.09,-1.82,0.94,-7.25|0.20,-0.14,0.94,-3.18,-10.14,5.26|-0.12,-0.54,-0.19,-1.95,-13.09,13.37
0.47,0.08,0.09,-5.72,-0.46,-5.18|0.22,-0.16,0.88,1.99,-14.53,10.05|-0.07,-0.44,-0.13,0.14,-20.88,17.34
0.48,0.10,0.12,-4.59,-4.49,-5.70|0.23,-0.19,0.89,-11.36,-4.38,7.31|-0.08,-0.41,-0.10,-6.65,-8.31,7.56
0.47,0.09,0.09,-9.63,-7.72,-7.11|0.24,-0.20,0.90,-14.07,-9.32,6.42|-0.08,-0.46,-0.14,6.67,2.98,-7.82
0.47,0.07,0.08,-10.25,-8.39,-5.58|0.25,-0.18,0.89,-12.51,-5.40,-1.09|-0.09,-0.42,-0.14,20.78,-4.27,-19.94
0.47,0.08,0.07,-6.65,-13.68,-1.66|0.22,-0.17,0.81,-16.66,2.29,-12.76|-0.07,-0.50,-0.18,12.77,-5.01,4.88
0.56,0.08,0.09,-16.53,-4.70,1.91|0.33,-0.16,0.72,-18.98,103.99,-34.24|-0.04,-0.41,-0.07,-30.69,17.41,29.42
