0.55,-0.05,0.10,2.89,-16.51,-3.60|-0.08,0.50,1.00,-13.90,14.63,18.82|0.12,-0.44,0.20,-3.33,-27.55,-5.63
0.50,-0.06,0.09,-12.05,-0.39,-5.58|-0.05,0.46,1.00,-3.32,12.80,18.14|0.12,-0.45,0.17,-15.03,-32.45,-13.33
0.48,-0.06,0.08,-18.85,5.92,-7.88|-0.03,0.45,1.00,3.98,-8.09,20.90|0.19,-0.44,0.12,-31.53,-41.56,-17.50
0.51,-0.07,0.09,-23.22,12.05,-9.74|-0.04,0.47,1.00,-0.15,-22.81,12.36|0.15,-0.48,0.10,-35.46,-48.89,-23.37
0.53,-0.05,0.09,-22.05,8.96,-7.44|-0.04,0.46,1.00,-2.75,-31.18,9.08|0.09,-0.48,0.11,-30.17,-39.23,-22.26
0.48,0.02,0.09,-20.44,6.73,-10.88|0.04,0.51,1.00,-4.15,-21.79,5.40|0.05,-0.45,0.14,-27.32,-28.11,-26.98
0.47,0.01,0.09,-22.44,12.02,-13.41|0.27,0.59,1.00,18.37,5.21,22.86|-0.02,-0.46,0.10,-44.04,-27.40,-4.96
0.50,-0.01,0.08,-47.56,-4.25,-7.37|0.54,0.72,1.00,75.38,-41.64,102.84|0.03,-0.50,-0.06,-48.33,33.41,7.72
0.54,0.02,0.11,-46.00,15.04,-4.96|0.55,0.82,1.00,129.22,-207.68,191.32|0.11,-0.53,0.06,-37.21,125.82,-33.00
0.50,0.03,0.11,-41.52,17.81,-13.03|0.47,0.97,1.00,124.56,-250.14,250.13|0.05,-0.52,0.02,-28.55,173.69,-34.83
0.50,0.05,0.16,-33.05,11.66,-7.63|0.24,0.72,1.00,40.12,-250.14,250.13|0.04,-0.45,0.18,1.95,178.95,-52.97
0.47,0.04,0.14,-13.44,16.20,-17.48|-0.03,0.38,1.00,-42.21,-250.14,250.13|0.02,-0.30,0.19,34.34,113.79,-33.43
0.51,0.07,0.15,-1.79,0.40,-23.62|-0.15,0.07,1.00,-250.14,-250.14,188.95|0.02,-0.31,0.26,85.88,65.10,12.07
0.48,0.01,0.11,-0.34,-11.03,-35.98|0.17,-0.19,1.00,-129.90,-222.45,-72.29|0.01,-0.43,0.20,72.78,10.03,35.92
0.47,0.05,0.15,-6.60,-17.58,-15.97|0.06,0.35,1.00,19.81,-117.45,-19.88|0.07,-0.60,0.14,11.73,-40.65,77.00
0.52,0.07,0.11,-25.15,-1.94,-4.05|0.06,0.10,1.00,31.31,-58.33,-21.61|0.09,-0.48,0.13,0.20,-21.73,42.25
0.49,0.08,0.11,-24.37,6.91,-9.30|0.13,0.19,1.00,24.47,-14.02,-11.18|0.11,-0.51,0.11,-8.74,-12.68,37.34
0.48,0.05,0.12,-14.26,2.44,-6.47|0.10,0.12,1.00,6.31,-10.63,15.83|0.10,-0.49,0.16,-13.15,5.15,9.92
0.49,0.09,0.12,-6.55,6.37,-1.64|0.05,0.14,1.00,-26.85,-17.08,-2.74|0.06,-0.47,0.20,-17.53,8.01,-7.15
0.50,0.09,0.14,-0.11,9.82,1.05|0.06,0.08,1.00,2.34,25.92,-43.63|0.02,-0.48,0.21,-20.06,-11.66,-5.95
0.50,0.07,0.14,-0.09,3.32,4.71|0.04,0.17,1.00,2.01,88.50,-43.07|0.04,-0.54,0.25,-35.09,-15.81,-21.00
0.47,0.07,0.13,11.41,-0.29,6.87|0.01,0.09,1.00,38.47,103.96,-134.60|0.10,-0.48,0.18,-60.89,-46.70,-30.54
0.48,0.01,0.13,30.22,-2.95,16.21|0.16,0.27,1.00,41.03,127.62,-140.92|0.15,-0.58,0.20,-72.52,-79.79,-61.08
0.53,0.06,0.14,48.45,-0.35,32.10|0.07,0.30,1.00,14.07,158.02,-132.47|0.22,-0.59,0.21,-107.79,-122.10,-68.71
0.49,0.02,0.13,59.62,2.78,31.51|0.19,0.31,1.00,-3.31,228.52,-122.48|0.30,-0.68,0.14,-108.72,-145.89,-116.32
0.51,0.05,0.14,63.31,10.59,41.96|0.08,0.34,1.00,-56.34,250.13,-178.79|0.29,-0.68,0.10,-115.44,-110.07,-176.98
0.44,-0.01,0.11,57.43,-7.36,38.47|0.33,0.39,1.00,-40.53,250.13,-130.15|0.46,-0.62,0.07,-52.52,-129.63,-250.14
0.51,0.05,0.18,48.40,-6.92,34.85|0.15,0.54,1.00,-55.56,250.13,-132.60|0.42,-0.46,-0.01,-14.64,-165.21,-250.14
0.49,-0.14,0.13,35.48,-11.04,31.05|0.32,0.54,1.00,-33.32,203.60,-83.69|0.44,-0.31,-0.29,96.57,-157.55,-250.14
0.53,-0.05,0.16,40.88,-25.23,32.58|0.20,0.58,1.00,-47.85,153.20,-85.37|0.38,-0.10,-0.34,195.61,-128.90,-235.30
0.48,-0.07,0.13,25.56,-20.89,25.01|0.21,0.52,1.00,-37.65,85.57,-57.12|0.26,-0.27,-0.26,250.13,-123.25,-221.26
0.52,-0.05,0.17,-0.24,-5.03,26.32|0.16,0.53,1.00,-34.28,59.59,-53.60|-0.38,-0.05,-0.67,250.13,-73.50,-115.18
0.45,-0.11,0.14,-14.55,10.80,37.18|0.14,0.49,1.00,-29.00,42.75,-47.71|-0.12,0.18,-0.29,228.52,-180.99,141.11
0.45,-0.10,0.09,-3.48,-2.14,8.31|0.17,0.55,1.00,-12.26,38.44,-27.01|0.15,-0.32,-0.32,110.66,-101.12,185.22
0.51,-0.11,0.13,5.70,16.42,10.29|0.16,0.50,1.00,-11.15,27.38,-23.07|0.14,-0.11,-0.43,69.34,-73.47,-12.07
0.47,-0.09,0.10,7.68,-7.74,4.28|0.14,0.53,1.00,-6.32,20.80,-5.74|0.09,-0.13,-0.48,12.75,-13.63,-7.65
0.48,-0.11,0.12,5.44,-2.85,-0.91|0.12,0.46,1.00,5.36,12.37,8.89|0.24,-0.14,-0.31,-30.04,8.53,22.27
0.48,-0.08,0.13,-1.36,3.11,-1.24|0.06,0.48,1.00,8.62,9.34,10.51|0.18,-0.18,-0.35,-53.51,12.37,7.77
0.48,-0.11,0.13,-0.36,6.72,-5.70|0.04,0.47,1.00,6.79,1.38,4.21|0.16,-0.06,-0.26,-107.42,30.81,5.02
0.47,-0.09,0.13,2.11,10.36,-5.76|0.04,0.46,1.00,4.37,3.76,-7.44|0.22,-0.23,-0.21,-140.02,47.97,36.96
0.48,-0.10,0.13,0.02,16.77,-10.03|0.07,0.46,1.00,-3.02,-16.67,-7.97|0.10,-0.11,-0.29,-125.91,71.83,60.69
0.46,-0.04,0.14,-0.47,10.15,-11.85|0.10,0.51,1.00,-3.48,-6.76,-5.20|0.18,-0.21,-0.46,-160.17,94.60,106.91
0.52,-0.08,0.15,-11.19,6.05,-14.02|0.11,0.53,1.00,-2.14,-16.21,-2.69|0.29,-0.23,-0.26,-89.19,104.25,153.03
