0.51,-0.07,0.10,-52.36,4.42,25.51|-0.08,-0.34,0.27,18.85,26.96,-1.98|0.45,0.11,-0.31,19.22,-162.89,250.13
0.44,-0.07,0.03,-21.87,-1.48,42.79|-0.03,-0.36,0.33,12.89,30.28,38.40|-0.19,-0.62,-0.25,-99.04,-13.53,-40.87
0.37,-0.17,-0.03,30.15,-13.05,-30.04|0.02,-0.59,0.35,-21.47,18.04,50.83|0.11,0.24,-0.14,-213.32,-11.82,-186.40
0.59,0.02,0.09,25.61,-3.73,-8.96|0.03,-0.56,0.31,-15.46,-10.83,8.76|0.13,-0.52,-0.29,-43.32,7.77,93.19
0.52,-0.04,0.06,-3.50,6.88,-12.64|-0.00,-0.49,0.26,-11.35,-23.58,-7.69|0.05,-0.24,-0.46,-68.08,36.13,-14.71
0.48,-0.11,0.06,-2.16,0.41,-10.24|-0.07,-0.47,0.23,-8.91,-10.35,-11.24|0.20,-0.15,-0.31,-23.83,50.55,-23.71
0.49,-0.04,0.08,-5.40,1.21,-11.56|-0.09,-0.44,0.28,-5.63,27.76,-19.17|0.18,-0.10,-0.24,-66.65,71.40,15.81
0.47,-0.05,0.06,-11.56,0.53,-17.89|-0.09,-0.45,0.26,-6.10,9.92,-5.93|0.10,-0.27,-0.30,-80.02,119.31,11.26
0.50,-0.06,0.07,-17.60,2.62,-21.58|-0.08,-0.44,0.27,-7.36,41.66,-6.47|0.02,-0.10,-0.19,-84.82,197.23,19.62
0.49,-0.02,0.08,-22.44,-1.66,-23.09|-0.08,-0.49,0.28,-0.11,31.49,-0.37|0.19,-0.31,-0.33,-116.38,169.77,105.89
0.49,-0.08,0.03,-25.74,3.52,-27.27|-0.06,-0.45,0.29,4.68,37.37,1.26|0.15,-0.40,-0.29,-49.86,241.32,170.73
0.53,-0.03,0.06,-35.33,2.69,-26.37|-0.06,-0.46,0.28,9.65,34.11,1.56|0.14,-0.32,-0.23,5.98,250.13,208.26
0.50,0.01,0.08,-47.17,-0.24,-26.04|-0.05,-0.45,0.29,14.02,31.61,3.78|-0.00,-0.49,0.13,67.02,250.13,250.13
0.48,0.05,0.07,-60.73,-1.62,-22.21|-0.05,-0.45,0.27,16.93,30.93,10.69|0.23,-0.66,0.26,46.83,245.64,189.50
0.49,0.02,0.10,-69.53,3.81,-27.26|-0.01,-0.39,0.23,17.02,42.29,21.65|0.18,-0.76,0.40,54.64,199.98,187.82
0.51,0.03,0.10,-68.34,-4.88,-24.22|0.02,-0.46,0.23,-1.90,53.42,27.58|0.17,-0.75,0.31,37.51,115.37,108.71
0.53,0.01,0.07,-60.84,-6.78,-18.50|0.06,-0.48,0.25,-26.18,55.09,27.06|0.15,-0.61,0.21,48.82,134.82,108.66
0.52,0.04,0.08,-50.64,-1.27,-13.07|0.10,-0.50,0.20,-67.99,47.37,8.21|0.10,-0.72,0.29,58.69,113.53,21.31
0.51,0.06,0.07,-46.61,-2.35,-14.76|0.15,-0.47,0.22,-84.26,37.11,-5.59|0.08,-0.47,0.23,34.40,95.30,-7.10
0.49,0.07,0.06,-56.49,-4.47,-10.33|0.25,-0.58,0.02,-123.22,34.37,-29.93|0.02,-0.56,0.15,34.56,59.81,-20.76
0.52,0.05,0.07,-83.07,0.55,-8.55|0.46,-1.00,-0.46,-102.31,103.04,-146.82|0.00,-0.48,0.19,26.53,43.04,-30.97
0.58,0.05,0.08,-60.37,20.77,-5.61|0.36,-0.61,-0.63,-118.70,250.13,-241.02|-0.03,-0.58,0.15,9.98,30.19,-43.06
0.56,0.03,0.09,-44.18,21.69,-12.13|0.26,-0.81,-0.08,-167.27,250.13,-171.63|-0.10,-0.50,0.26,2.88,21.85,-78.70
0.48,0.02,0.11,-18.98,19.92,-16.47|-0.20,-0.26,-0.09,-202.91,250.13,-115.83|-0.09,-0.35,0.26,-1.05,3.26,-59.73
0.43,-0.00,0.07,10.61,20.44,-18.92|-0.26,-0.15,0.58,-188.95,250.13,92.46|-0.07,-0.32,0.20,-2.40,-6.48,-40.08
0.51,-0.11,0.02,13.44,6.30,-8.24|-0.21,-0.63,-0.12,-170.08,250.13,229.10|-0.09,-0.39,0.28,7.37,-19.73,-22.36
0.55,-0.06,0.12,48.19,-18.44,-22.40|0.75,0.64,1.00,-46.27,172.20,250.13|-0.05,-0.26,0.37,7.85,-51.54,0.28
0.58,0.05,0.07,28.75,24.53,-44.91|-0.40,-0.56,0.35,88.95,66.02,250.13|0.10,-0.24,0.30,-13.97,-53.58,70.74
