0.49,0.05,0.07,-21.62,-5.97,-5.20|0.11,0.28,1.00,-40.60,0.06,-15.80|0.07,-0.15,0.42,21.80,-9.48,-12.87
0.52,0.05,0.08,-19.09,-3.24,-6.02|0.16,0.31,1.00,-43.24,11.59,0.16|0.06,-0.15,0.46,3.92,-7.07,-12.47
0.51,0.04,0.08,-14.64,-0.46,-7.07|0.25,0.29,1.00,-29.38,9.03,26.79|0.06,-0.13,0.46,-14.15,-7.01,-3.21
0.50,0.02,0.08,-7.65,3.43,-7.16|0.19,0.15,1.00,-3.26,-5.56,-2.50|0.06,-0.15,0.44,-29.95,-4.24,6.63
0.50,0.02,0.08,-1.73,0.80,-4.63|0.15,0.32,1.00,43.46,13.85,7.27|0.06,-0.14,0.44,-43.24,-2.17,14.15
0.52,0.04,0.09,-4.27,11.14,-5.93|0.13,0.38,1.00,75.34,53.80,91.29|0.06,-0.16,0.44,-50.31,1.82,20.73
0.51,0.04,0.09,-10.91,9.82,-7.11|0.09,0.34,1.00,75.57,76.03,123.35|0.07,-0.20,0.43,-52.32,14.11,13.01
0.49,0.04,0.08,-15.11,7.47,-10.70|0.08,0.20,1.00,68.96,63.11,90.45|0.08,-0.22,0.41,-55.75,31.88,-8.13
0.50,0.04,0.08,-21.18,1.80,-10.85|0.12,0.33,1.00,70.59,55.18,48.29|0.04,-0.31,0.42,-60.79,45.95,-30.27
0.52,0.05,0.09,-33.90,-0.25,-12.43|0.22,0.41,1.00,90.54,73.66,90.49|0.04,-0.27,0.42,-77.36,58.01,-59.06
0.49,0.06,0.10,-52.97,1.92,-14.25|0.32,0.46,1.00,118.76,67.66,121.99|0.05,-0.31,0.36,-84.78,70.94,-63.03
0.50,0.05,0.09,-61.81,5.03,-17.32|0.36,0.43,1.00,126.74,9.90,125.76|0.05,-0.35,0.35,-72.73,80.64,-66.44
0.52,0.06,0.10,-66.18,13.27,-16.48|0.36,0.49,1.00,112.23,-130.74,113.22|0.01,-0.32,0.38,-58.40,83.90,-94.30
0.49,0.03,0.10,-72.43,11.37,-16.26|0.44,0.52,1.00,88.18,-239.07,162.40|-0.00,-0.28,0.40,-31.50,73.22,-82.67
0.48,0.01,0.13,-64.72,4.65,-5.96|0.41,0.47,1.00,35.51,-250.14,220.52|0.00,-0.26,0.44,3.45,53.80,-69.24
0.48,0.02,0.15,-32.80,2.85,-3.73|0.10,0.22,1.00,-37.91,-250.14,216.58|0.02,-0.19,0.41,26.45,33.01,-46.85
0.54,0.09,0.23,0.67,8.11,-9.55|-0.22,-0.06,1.00,-176.72,-250.14,77.50|0.00,-0.15,0.43,46.44,9.50,-32.33
0.47,0.06,0.14,8.70,19.72,-25.76|-0.02,0.06,1.00,-149.80,-250.14,-133.06|0.01,-0.20,0.42,62.18,-8.01,5.47
0.45,0.13,0.16,-3.80,-3.76,-8.12|0.10,0.44,1.00,10.79,-172.07,-32.42|0.04,-0.26,0.43,70.19,-28.73,44.20
0.51,0.07,0.13,-9.44,6.97,2.66|-0.00,0.17,1.00,27.44,-44.56,21.04|0.03,-0.37,0.38,66.69,-42.12,49.08
0.50,0.10,0.11,-19.52,-6.79,1.93|0.06,0.22,1.00,34.85,-9.75,51.07|0.06,-0.34,0.42,61.48,-33.41,20.18
0.50,0.05,0.12,-21.86,1.27,3.83|0.05,0.20,1.00,-10.44,23.86,41.54|0.07,-0.24,0.44,51.26,-31.08,15.99
0.46,0.07,0.11,-26.28,-3.97,3.69|0.03,0.24,1.00,13.21,54.66,10.47|0.09,-0.26,0.43,24.33,-15.74,-1.92
0.48,0.07,0.13,-21.56,-14.73,3.10|0.02,0.13,1.00,9.50,74.94,-19.58|0.08,-0.21,0.44,-10.74,-6.40,-36.64
0.51,0.05,0.14,-9.46,-14.10,5.87|0.11,0.23,1.00,10.34,78.24,-31.48|0.04,-0.24,0.49,-38.50,-2.92,-44.76
0.51,0.05,0.16,6.96,-12.82,13.27|0.14,0.20,1.00,-0.74,120.34,-49.66|0.02,-0.17,0.46,-58.33,-21.22,-29.46
